barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	growth_promotion_three	Description
FP4A44BFObri3011endophytesoomycete	ITS1_1	FP4	A4	bio4	BFO	bri301	tech1	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio4	bri301_A4_bio4	bri301_bio4	unknown	FP4A44BFObri3011endophytesoomycete
FP4A44BFObri3012endophytesoomycete	ITS1_2	FP4	A4	bio4	BFO	bri301	tech2	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio4	bri301_A4_bio4	bri301_bio4	unknown	FP4A44BFObri3012endophytesoomycete
FP4A44BFObri3013endophytesoomycete	ITS1_3	FP4	A4	bio4	BFO	bri301	tech3	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio4	bri301_A4_bio4	bri301_bio4	unknown	FP4A44BFObri3013endophytesoomycete
FP4A44BFObri3014endophytesoomycete	ITS1_4	FP4	A4	bio4	BFO	bri301	tech4	endophytes	oomycetes	bri301_endophytes	bri301_BFO	endophytes_BFO	bri301_endophytes_BFO	na	A4_bio4	bri301_A4_bio4	bri301_bio4	unknown	FP4A44BFObri3014endophytesoomycete
FP1A1bio1BFOcyp79b2b3tech1endophytesoomycete	ITS1_21	FP1	A1	bio1	BFO	cyp79b2b3	tech1	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio1	cyp79b2b3_A1_bio1	cyp79b2b3_bio1	low	FP1A1bio1BFOcyp79b2b3tech1endophytesoomycete
FP1A1bio1BFOcyp79b2b3tech2endophytesoomycete	ITS1_22	FP1	A1	bio1	BFO	cyp79b2b3	tech2	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio1	cyp79b2b3_A1_bio1	cyp79b2b3_bio1	low	FP1A1bio1BFOcyp79b2b3tech2endophytesoomycete
FP1A1bio1BFOcyp79b2b3tech3endophytesoomycete	ITS1_23	FP1	A1	bio1	BFO	cyp79b2b3	tech3	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio1	cyp79b2b3_A1_bio1	cyp79b2b3_bio1	low	FP1A1bio1BFOcyp79b2b3tech3endophytesoomycete
FP1A1bio1BFOcyp79b2b3tech4endophytesoomycete	ITS1_24	FP1	A1	bio1	BFO	cyp79b2b3	tech4	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio1	cyp79b2b3_A1_bio1	cyp79b2b3_bio1	low	FP1A1bio1BFOcyp79b2b3tech4endophytesoomycete
FP1A1bio2BFOcyp79b2b3tech1endophytesoomycete	ITS1_75	FP1	A1	bio2	BFO	cyp79b2b3	tech1	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio2	cyp79b2b3_A1_bio2	cyp79b2b3_bio2	low	FP1A1bio2BFOcyp79b2b3tech1endophytesoomycete
FP1A1bio2BFOcyp79b2b3tech2endophytesoomycete	ITS1_76	FP1	A1	bio2	BFO	cyp79b2b3	tech2	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio2	cyp79b2b3_A1_bio2	cyp79b2b3_bio2	low	FP1A1bio2BFOcyp79b2b3tech2endophytesoomycete
FP1A1bio2BFOcyp79b2b3tech3endophytesoomycete	ITS1_77	FP1	A1	bio2	BFO	cyp79b2b3	tech3	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio2	cyp79b2b3_A1_bio2	cyp79b2b3_bio2	low	FP1A1bio2BFOcyp79b2b3tech3endophytesoomycete
FP1A1bio2BFOcyp79b2b3tech4endophytesoomycete	ITS1_78	FP1	A1	bio2	BFO	cyp79b2b3	tech4	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio2	cyp79b2b3_A1_bio2	cyp79b2b3_bio2	low	FP1A1bio2BFOcyp79b2b3tech4endophytesoomycete
FP2A1bio4BFOcyp79b2b3tech1endophytesoomycete	ITS1_25	FP2	A1	bio4	BFO	cyp79b2b3	tech1	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio4	cyp79b2b3_A1_bio4	cyp79b2b3_bio4	low	FP2A1bio4BFOcyp79b2b3tech1endophytesoomycete
FP2A1bio4BFOcyp79b2b3tech2endophytesoomycete	ITS1_26	FP2	A1	bio4	BFO	cyp79b2b3	tech2	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio4	cyp79b2b3_A1_bio4	cyp79b2b3_bio4	low	FP2A1bio4BFOcyp79b2b3tech2endophytesoomycete
FP2A1bio4BFOcyp79b2b3tech3endophytesoomycete	ITS1_27	FP2	A1	bio4	BFO	cyp79b2b3	tech3	endophytes	oomycetes	cyp79b2b3_endophytes	cyp79b2b3_BFO	endophytes_BFO	cyp79b2b3_endophytes_BFO	no	A1_bio4	cyp79b2b3_A1_bio4	cyp79b2b3_bio4	low	FP2A1bio4BFOcyp79b2b3tech3endophytesoomycete
FP3A41BFOcyp79b2b3new1endophytesoomycete	ITS1_13	FP3	A4	bio1	BFO	cyp79b2b3_new	tech1	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio1	cyp79b2b3_new_A4_bio1	cyp79b2b3_new_bio1	low	FP3A41BFOcyp79b2b3_new1endophytesoomycete
FP3A41BFOcyp79b2b3new2endophytesoomycete	ITS1_14	FP3	A4	bio1	BFO	cyp79b2b3_new	tech2	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio1	cyp79b2b3_new_A4_bio1	cyp79b2b3_new_bio1	low	FP3A41BFOcyp79b2b3_new2endophytesoomycete
FP3A41BFOcyp79b2b3new3endophytesoomycete	ITS1_15	FP3	A4	bio1	BFO	cyp79b2b3_new	tech3	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio1	cyp79b2b3_new_A4_bio1	cyp79b2b3_new_bio1	low	FP3A41BFOcyp79b2b3_new3endophytesoomycete
FP3A41BFOcyp79b2b3new4endophytesoomycete	ITS1_16	FP3	A4	bio1	BFO	cyp79b2b3_new	tech4	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio1	cyp79b2b3_new_A4_bio1	cyp79b2b3_new_bio1	low	FP3A41BFOcyp79b2b3_new4endophytesoomycete
FP3A42BFOcyp79b2b3new1endophytesoomycete	ITS1_59	FP3	A4	bio2	BFO	cyp79b2b3_new	tech1	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio2	cyp79b2b3_new_A4_bio2	cyp79b2b3_new_bio2	low	FP3A42BFOcyp79b2b3_new1endophytesoomycete
FP3A42BFOcyp79b2b3new2endophytesoomycete	ITS1_60	FP3	A4	bio2	BFO	cyp79b2b3_new	tech2	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio2	cyp79b2b3_new_A4_bio2	cyp79b2b3_new_bio2	low	FP3A42BFOcyp79b2b3_new2endophytesoomycete
FP3A42BFOcyp79b2b3new3endophytesoomycete	ITS1_61	FP3	A4	bio2	BFO	cyp79b2b3_new	tech3	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio2	cyp79b2b3_new_A4_bio2	cyp79b2b3_new_bio2	low	FP3A42BFOcyp79b2b3_new3endophytesoomycete
FP3A42BFOcyp79b2b3new4endophytesoomycete	ITS1_62	FP3	A4	bio2	BFO	cyp79b2b3_new	tech4	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio2	cyp79b2b3_new_A4_bio2	cyp79b2b3_new_bio2	low	FP3A42BFOcyp79b2b3_new4endophytesoomycete
FP4A44BFOcyp79b2b3new1endophytesoomycete	ITS1_9	FP4	A4	bio4	BFO	cyp79b2b3_new	tech1	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio4	cyp79b2b3_new_A4_bio4	cyp79b2b3_new_bio4	low	FP4A44BFOcyp79b2b3_new1endophytesoomycete
FP4A44BFOcyp79b2b3new2endophytesoomycete	ITS1_10	FP4	A4	bio4	BFO	cyp79b2b3_new	tech2	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio4	cyp79b2b3_new_A4_bio4	cyp79b2b3_new_bio4	low	FP4A44BFOcyp79b2b3_new2endophytesoomycete
FP4A44BFOcyp79b2b3new3endophytesoomycete	ITS1_11	FP4	A4	bio4	BFO	cyp79b2b3_new	tech3	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio4	cyp79b2b3_new_A4_bio4	cyp79b2b3_new_bio4	low	FP4A44BFOcyp79b2b3_new3endophytesoomycete
FP4A44BFOcyp79b2b3new4endophytesoomycete	ITS1_12	FP4	A4	bio4	BFO	cyp79b2b3_new	tech4	endophytes	oomycetes	cyp79b2b3_new_endophytes	cyp79b2b3_new_BFO	endophytes_BFO	cyp79b2b3_new_endophytes_BFO	no	A4_bio4	cyp79b2b3_new_A4_bio4	cyp79b2b3_new_bio4	low	FP4A44BFOcyp79b2b3_new4endophytesoomycete
FP1A1bio1BFOdepstech1endophytesoomycete	ITS1_25	FP1	A1	bio1	BFO	deps	tech1	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio1	deps_A1_bio1	deps_bio1	high	FP1A1bio1BFOdepstech1endophytesoomycete
FP1A1bio1BFOdepstech2endophytesoomycete	ITS1_26	FP1	A1	bio1	BFO	deps	tech2	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio1	deps_A1_bio1	deps_bio1	high	FP1A1bio1BFOdepstech2endophytesoomycete
FP1A1bio1BFOdepstech3endophytesoomycete	ITS1_27	FP1	A1	bio1	BFO	deps	tech3	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio1	deps_A1_bio1	deps_bio1	high	FP1A1bio1BFOdepstech3endophytesoomycete
FP1A1bio1BFOdepstech4endophytesoomycete	ITS1_28	FP1	A1	bio1	BFO	deps	tech4	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio1	deps_A1_bio1	deps_bio1	high	FP1A1bio1BFOdepstech4endophytesoomycete
FP1A1bio2BFOdepstech1endophytesoomycete	ITS1_79	FP1	A1	bio2	BFO	deps	tech1	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio2	deps_A1_bio2	deps_bio2	high	FP1A1bio2BFOdepstech1endophytesoomycete
FP1A1bio2BFOdepstech2endophytesoomycete	ITS1_80	FP1	A1	bio2	BFO	deps	tech2	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio2	deps_A1_bio2	deps_bio2	high	FP1A1bio2BFOdepstech2endophytesoomycete
FP1A1bio2BFOdepstech3endophytesoomycete	ITS1_81	FP1	A1	bio2	BFO	deps	tech3	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio2	deps_A1_bio2	deps_bio2	high	FP1A1bio2BFOdepstech3endophytesoomycete
FP1A1bio2BFOdepstech4endophytesoomycete	ITS1_82	FP1	A1	bio2	BFO	deps	tech4	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio2	deps_A1_bio2	deps_bio2	high	FP1A1bio2BFOdepstech4endophytesoomycete
FP2A1bio4BFOdepstech1endophytesoomycete	ITS1_28	FP2	A1	bio4	BFO	deps	tech1	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio4	deps_A1_bio4	deps_bio4	high	FP2A1bio4BFOdepstech1endophytesoomycete
FP2A1bio4BFOdepstech2endophytesoomycete	ITS1_29	FP2	A1	bio4	BFO	deps	tech2	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio4	deps_A1_bio4	deps_bio4	high	FP2A1bio4BFOdepstech2endophytesoomycete
FP2A1bio4BFOdepstech3endophytesoomycete	ITS1_30	FP2	A1	bio4	BFO	deps	tech3	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio4	deps_A1_bio4	deps_bio4	high	FP2A1bio4BFOdepstech3endophytesoomycete
FP2A1bio4BFOdepstech4endophytesoomycete	ITS1_31	FP2	A1	bio4	BFO	deps	tech4	endophytes	oomycetes	deps_endophytes	deps_BFO	endophytes_BFO	deps_endophytes_BFO	yes	A1_bio4	deps_A1_bio4	deps_bio4	high	FP2A1bio4BFOdepstech4endophytesoomycete
FP1A1bio1BFOefrfls2cerk1tech1endophytesoomycete	ITS1_13	FP1	A1	bio1	BFO	efrfls2cerk1	tech1	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio1	efrfls2cerk1_A1_bio1	efrfls2cerk1_bio1	medium	FP1A1bio1BFOefrfls2cerk1tech1endophytesoomycete
FP1A1bio1BFOefrfls2cerk1tech2endophytesoomycete	ITS1_14	FP1	A1	bio1	BFO	efrfls2cerk1	tech2	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio1	efrfls2cerk1_A1_bio1	efrfls2cerk1_bio1	medium	FP1A1bio1BFOefrfls2cerk1tech2endophytesoomycete
FP1A1bio1BFOefrfls2cerk1tech3endophytesoomycete	ITS1_15	FP1	A1	bio1	BFO	efrfls2cerk1	tech3	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio1	efrfls2cerk1_A1_bio1	efrfls2cerk1_bio1	medium	FP1A1bio1BFOefrfls2cerk1tech3endophytesoomycete
FP1A1bio1BFOefrfls2cerk1tech4endophytesoomycete	ITS1_16	FP1	A1	bio1	BFO	efrfls2cerk1	tech4	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio1	efrfls2cerk1_A1_bio1	efrfls2cerk1_bio1	medium	FP1A1bio1BFOefrfls2cerk1tech4endophytesoomycete
FP1A1bio2BFOefrfls2cerk1tech1endophytesoomycete	ITS1_67	FP1	A1	bio2	BFO	efrfls2cerk1	tech1	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio2	efrfls2cerk1_A1_bio2	efrfls2cerk1_bio2	medium	FP1A1bio2BFOefrfls2cerk1tech1endophytesoomycete
FP1A1bio2BFOefrfls2cerk1tech2endophytesoomycete	ITS1_68	FP1	A1	bio2	BFO	efrfls2cerk1	tech2	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio2	efrfls2cerk1_A1_bio2	efrfls2cerk1_bio2	medium	FP1A1bio2BFOefrfls2cerk1tech2endophytesoomycete
FP1A1bio2BFOefrfls2cerk1tech3endophytesoomycete	ITS1_69	FP1	A1	bio2	BFO	efrfls2cerk1	tech3	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio2	efrfls2cerk1_A1_bio2	efrfls2cerk1_bio2	medium	FP1A1bio2BFOefrfls2cerk1tech3endophytesoomycete
FP1A1bio2BFOefrfls2cerk1tech4endophytesoomycete	ITS1_70	FP1	A1	bio2	BFO	efrfls2cerk1	tech4	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio2	efrfls2cerk1_A1_bio2	efrfls2cerk1_bio2	medium	FP1A1bio2BFOefrfls2cerk1tech4endophytesoomycete
FP2A1bio4BFOefrfls2cerk1tech1endophytesoomycete	ITS1_17	FP2	A1	bio4	BFO	efrfls2cerk1	tech1	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio4	efrfls2cerk1_A1_bio4	efrfls2cerk1_bio4	medium	FP2A1bio4BFOefrfls2cerk1tech1endophytesoomycete
FP2A1bio4BFOefrfls2cerk1tech2endophytesoomycete	ITS1_18	FP2	A1	bio4	BFO	efrfls2cerk1	tech2	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio4	efrfls2cerk1_A1_bio4	efrfls2cerk1_bio4	medium	FP2A1bio4BFOefrfls2cerk1tech2endophytesoomycete
FP2A1bio4BFOefrfls2cerk1tech3endophytesoomycete	ITS1_19	FP2	A1	bio4	BFO	efrfls2cerk1	tech3	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio4	efrfls2cerk1_A1_bio4	efrfls2cerk1_bio4	medium	FP2A1bio4BFOefrfls2cerk1tech3endophytesoomycete
FP2A1bio4BFOefrfls2cerk1tech4endophytesoomycete	ITS1_20	FP2	A1	bio4	BFO	efrfls2cerk1	tech4	endophytes	oomycetes	efrfls2cerk1_endophytes	efrfls2cerk1_BFO	endophytes_BFO	efrfls2cerk1_endophytes_BFO	yes	A1_bio4	efrfls2cerk1_A1_bio4	efrfls2cerk1_bio4	medium	FP2A1bio4BFOefrfls2cerk1tech4endophytesoomycete
FP2A1bio1initialinitialtech1initialoomycete	ITS1_83	FP2	A1	bio1	initial	initial	tech1	initial	oomycetes	initial	initial	initial	initial	initial	A1_bio1	initial_A1_bio1	initial_bio1	not_apply	FP2A1bio1initialinitialtech1initialoomycete
FP2A1bio1initialinitialtech2initialoomycete	ITS1_84	FP2	A1	bio1	initial	initial	tech2	initial	oomycetes	initial	initial	initial	initial	initial	A1_bio1	initial_A1_bio1	initial_bio1	not_apply	FP2A1bio1initialinitialtech2initialoomycete
FP2A1bio1initialinitialtech3initialoomycete	ITS1_85	FP2	A1	bio1	initial	initial	tech3	initial	oomycetes	initial	initial	initial	initial	initial	A1_bio1	initial_A1_bio1	initial_bio1	not_apply	FP2A1bio1initialinitialtech3initialoomycete
FP2A1bio2initialinitialtech1initialoomycete	ITS1_86	FP2	A1	bio2	initial	initial	tech1	initial	oomycetes	initial	initial	initial	initial	initial	A1_bio2	initial_A1_bio2	initial_bio2	not_apply	FP2A1bio2initialinitialtech1initialoomycete
FP2A1bio2initialinitialtech2initialoomycete	ITS1_87	FP2	A1	bio2	initial	initial	tech2	initial	oomycetes	initial	initial	initial	initial	initial	A1_bio2	initial_A1_bio2	initial_bio2	not_apply	FP2A1bio2initialinitialtech2initialoomycete
FP2A1bio2initialinitialtech3initialoomycete	ITS1_88	FP2	A1	bio2	initial	initial	tech3	initial	oomycetes	initial	initial	initial	initial	initial	A1_bio2	initial_A1_bio2	initial_bio2	not_apply	FP2A1bio2initialinitialtech3initialoomycete
FP2A1bio4initialinitialtech1initialoomycete	ITS1_89	FP2	A1	bio4	initial	initial	tech1	initial	oomycetes	initial	initial	initial	initial	initial	A1_bio4	initial_A1_bio4	initial_bio4	not_apply	FP2A1bio4initialinitialtech1initialoomycete
FP2A1bio4initialinitialtech2initialoomycete	ITS1_90	FP2	A1	bio4	initial	initial	tech2	initial	oomycetes	initial	initial	initial	initial	initial	A1_bio4	initial_A1_bio4	initial_bio4	not_apply	FP2A1bio4initialinitialtech2initialoomycete
FP2A1bio4initialinitialtech3initialoomycete	ITS1_91	FP2	A1	bio4	initial	initial	tech3	initial	oomycetes	initial	initial	initial	initial	initial	A1_bio4	initial_A1_bio4	initial_bio4	not_apply	FP2A1bio4initialinitialtech3initialoomycete
FP4A41initialinitial1initialoomycete	ITS1_43	FP4	A4	bio1	initial_new	initial_new	tech1	initial_new	oomycetes	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio1	initial_new_A4_bio1	initial_new_bio1	not_apply	FP4A41initial_newinitial_new1initial_newoomycete
FP4A41initialinitial2initialoomycete	ITS1_44	FP4	A4	bio1	initial_new	initial_new	tech2	initial_new	oomycetes	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio1	initial_new_A4_bio1	initial_new_bio1	not_apply	FP4A41initial_newinitial_new2initial_newoomycete
FP4A41initialinitial3initialoomycete	ITS1_45	FP4	A4	bio1	initial_new	initial_new	tech3	initial_new	oomycetes	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio1	initial_new_A4_bio1	initial_new_bio1	not_apply	FP4A41initial_newinitial_new3initial_newoomycete
FP4A42initialinitial1initialoomycete	ITS1_46	FP4	A4	bio2	initial_new	initial_new	tech1	initial_new	oomycetes	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio2	initial_new_A4_bio2	initial_new_bio2	not_apply	FP4A42initial_newinitial_new1initial_newoomycete
FP4A42initialinitial2initialoomycete	ITS1_47	FP4	A4	bio2	initial_new	initial_new	tech2	initial_new	oomycetes	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio2	initial_new_A4_bio2	initial_new_bio2	not_apply	FP4A42initial_newinitial_new2initial_newoomycete
FP4A42initialinitial3initialoomycete	ITS1_48	FP4	A4	bio2	initial_new	initial_new	tech3	initial_new	oomycetes	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio2	initial_new_A4_bio2	initial_new_bio2	not_apply	FP4A42initial_newinitial_new3initial_newoomycete
FP4A44initialinitial1initialoomycete	ITS1_49	FP4	A4	bio4	initial_new	initial_new	tech1	initial_new	oomycetes	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio4	initial_new_A4_bio4	initial_new_bio4	not_apply	FP4A44initial_newinitial_new1initial_newoomycete
FP4A44initialinitial2initialoomycete	ITS1_50	FP4	A4	bio4	initial_new	initial_new	tech2	initial_new	oomycetes	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio4	initial_new_A4_bio4	initial_new_bio4	not_apply	FP4A44initial_newinitial_new2initial_newoomycete
FP4A44initialinitial3initialoomycete	ITS1_51	FP4	A4	bio4	initial_new	initial_new	tech3	initial_new	oomycetes	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio4	initial_new_A4_bio4	initial_new_bio4	not_apply	FP4A44initial_newinitial_new3initial_newoomycete
FP3A41BFOlyk51endophytesoomycete	ITS1_9	FP3	A4	bio1	BFO	lyk5	tech1	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio1	lyk5_A4_bio1	lyk5_bio1	medium	FP3A41BFOlyk51endophytesoomycete
FP3A41BFOlyk52endophytesoomycete	ITS1_10	FP3	A4	bio1	BFO	lyk5	tech2	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio1	lyk5_A4_bio1	lyk5_bio1	medium	FP3A41BFOlyk52endophytesoomycete
FP3A41BFOlyk53endophytesoomycete	ITS1_11	FP3	A4	bio1	BFO	lyk5	tech3	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio1	lyk5_A4_bio1	lyk5_bio1	medium	FP3A41BFOlyk53endophytesoomycete
FP3A41BFOlyk54endophytesoomycete	ITS1_12	FP3	A4	bio1	BFO	lyk5	tech4	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio1	lyk5_A4_bio1	lyk5_bio1	medium	FP3A41BFOlyk54endophytesoomycete
FP3A42BFOlyk51endophytesoomycete	ITS1_55	FP3	A4	bio2	BFO	lyk5	tech1	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio2	lyk5_A4_bio2	lyk5_bio2	medium	FP3A42BFOlyk51endophytesoomycete
FP3A42BFOlyk52endophytesoomycete	ITS1_56	FP3	A4	bio2	BFO	lyk5	tech2	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio2	lyk5_A4_bio2	lyk5_bio2	medium	FP3A42BFOlyk52endophytesoomycete
FP3A42BFOlyk53endophytesoomycete	ITS1_57	FP3	A4	bio2	BFO	lyk5	tech3	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio2	lyk5_A4_bio2	lyk5_bio2	medium	FP3A42BFOlyk53endophytesoomycete
FP3A42BFOlyk54endophytesoomycete	ITS1_58	FP3	A4	bio2	BFO	lyk5	tech4	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio2	lyk5_A4_bio2	lyk5_bio2	medium	FP3A42BFOlyk54endophytesoomycete
FP4A44BFOlyk51endophytesoomycete	ITS1_5	FP4	A4	bio4	BFO	lyk5	tech1	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio4	lyk5_A4_bio4	lyk5_bio4	medium	FP4A44BFOlyk51endophytesoomycete
FP4A44BFOlyk52endophytesoomycete	ITS1_6	FP4	A4	bio4	BFO	lyk5	tech2	endophytes	oomycetes	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio4	lyk5_A4_bio4	lyk5_bio4	medium	FP4A44BFOlyk52endophytesoomycete
