barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	growth_promotion_three	Description
FP4A44BFO35SBRI3endophytesoomycete	ITS1_35	FP4	A4	bio4	BFO	35SBRI	tech3	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_A4_bio4	35SBRI_bio4	medium	FP4A44BFO35SBRI3endophytesoomycete
FP4A44BFO35SBRI4endophytesoomycete	ITS1_36	FP4	A4	bio4	BFO	35SBRI	tech4	endophytes	oomycetes	35SBRI_endophytes	35SBRI_BFO	endophytes_BFO	35SBRI_endophytes_BFO	no	A4_bio4	35SBRI_A4_bio4	35SBRI_bio4	medium	FP4A44BFO35SBRI4endophytesoomycete
FP3A41BFOapex11endophytesoomycete	ITS1_21	FP3	A4	bio1	BFO	apex1	tech1	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_A4_bio1	apex1_bio1	medium	FP3A41BFOapex11endophytesoomycete
FP3A41BFOapex12endophytesoomycete	ITS1_22	FP3	A4	bio1	BFO	apex1	tech2	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_A4_bio1	apex1_bio1	medium	FP3A41BFOapex12endophytesoomycete
FP3A41BFOapex13endophytesoomycete	ITS1_23	FP3	A4	bio1	BFO	apex1	tech3	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_A4_bio1	apex1_bio1	medium	FP3A41BFOapex13endophytesoomycete
FP3A41BFOapex14endophytesoomycete	ITS1_24	FP3	A4	bio1	BFO	apex1	tech4	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio1	apex1_A4_bio1	apex1_bio1	medium	FP3A41BFOapex14endophytesoomycete
FP3A42BFOapex11endophytesoomycete	ITS1_67	FP3	A4	bio2	BFO	apex1	tech1	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_A4_bio2	apex1_bio2	medium	FP3A42BFOapex11endophytesoomycete
FP3A42BFOapex12endophytesoomycete	ITS1_68	FP3	A4	bio2	BFO	apex1	tech2	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_A4_bio2	apex1_bio2	medium	FP3A42BFOapex12endophytesoomycete
FP3A42BFOapex13endophytesoomycete	ITS1_69	FP3	A4	bio2	BFO	apex1	tech3	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_A4_bio2	apex1_bio2	medium	FP3A42BFOapex13endophytesoomycete
FP3A42BFOapex14endophytesoomycete	ITS1_70	FP3	A4	bio2	BFO	apex1	tech4	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio2	apex1_A4_bio2	apex1_bio2	medium	FP3A42BFOapex14endophytesoomycete
FP4A44BFOapex11endophytesoomycete	ITS1_17	FP4	A4	bio4	BFO	apex1	tech1	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio4	apex1_A4_bio4	apex1_bio4	medium	FP4A44BFOapex11endophytesoomycete
FP4A44BFOapex12endophytesoomycete	ITS1_18	FP4	A4	bio4	BFO	apex1	tech2	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio4	apex1_A4_bio4	apex1_bio4	medium	FP4A44BFOapex12endophytesoomycete
FP4A44BFOapex13endophytesoomycete	ITS1_19	FP4	A4	bio4	BFO	apex1	tech3	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio4	apex1_A4_bio4	apex1_bio4	medium	FP4A44BFOapex13endophytesoomycete
FP4A44BFOapex14endophytesoomycete	ITS1_20	FP4	A4	bio4	BFO	apex1	tech4	endophytes	oomycetes	apex1_endophytes	apex1_BFO	endophytes_BFO	apex1_endophytes_BFO	yes	A4_bio4	apex1_A4_bio4	apex1_bio4	medium	FP4A44BFOapex14endophytesoomycete
FP3A41BFOapex21endophytesoomycete	ITS1_25	FP3	A4	bio1	BFO	apex2	tech1	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio1	apex2_A4_bio1	apex2_bio1	medium	FP3A41BFOapex21endophytesoomycete
FP3A41BFOapex22endophytesoomycete	ITS1_26	FP3	A4	bio1	BFO	apex2	tech2	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio1	apex2_A4_bio1	apex2_bio1	medium	FP3A41BFOapex22endophytesoomycete
FP3A41BFOapex23endophytesoomycete	ITS1_27	FP3	A4	bio1	BFO	apex2	tech3	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio1	apex2_A4_bio1	apex2_bio1	medium	FP3A41BFOapex23endophytesoomycete
FP3A41BFOapex24endophytesoomycete	ITS1_28	FP3	A4	bio1	BFO	apex2	tech4	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio1	apex2_A4_bio1	apex2_bio1	medium	FP3A41BFOapex24endophytesoomycete
FP3A42BFOapex21endophytesoomycete	ITS1_71	FP3	A4	bio2	BFO	apex2	tech1	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio2	apex2_A4_bio2	apex2_bio2	medium	FP3A42BFOapex21endophytesoomycete
FP3A42BFOapex22endophytesoomycete	ITS1_72	FP3	A4	bio2	BFO	apex2	tech2	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio2	apex2_A4_bio2	apex2_bio2	medium	FP3A42BFOapex22endophytesoomycete
FP3A42BFOapex23endophytesoomycete	ITS1_73	FP3	A4	bio2	BFO	apex2	tech3	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio2	apex2_A4_bio2	apex2_bio2	medium	FP3A42BFOapex23endophytesoomycete
FP3A42BFOapex24endophytesoomycete	ITS1_74	FP3	A4	bio2	BFO	apex2	tech4	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio2	apex2_A4_bio2	apex2_bio2	medium	FP3A42BFOapex24endophytesoomycete
FP4A44BFOapex21endophytesoomycete	ITS1_21	FP4	A4	bio4	BFO	apex2	tech1	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio4	apex2_A4_bio4	apex2_bio4	medium	FP4A44BFOapex21endophytesoomycete
FP4A44BFOapex22endophytesoomycete	ITS1_22	FP4	A4	bio4	BFO	apex2	tech2	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio4	apex2_A4_bio4	apex2_bio4	medium	FP4A44BFOapex22endophytesoomycete
FP4A44BFOapex23endophytesoomycete	ITS1_23	FP4	A4	bio4	BFO	apex2	tech3	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio4	apex2_A4_bio4	apex2_bio4	medium	FP4A44BFOapex23endophytesoomycete
FP4A44BFOapex24endophytesoomycete	ITS1_24	FP4	A4	bio4	BFO	apex2	tech4	endophytes	oomycetes	apex2_endophytes	apex2_BFO	endophytes_BFO	apex2_endophytes_BFO	yes	A4_bio4	apex2_A4_bio4	apex2_bio4	medium	FP4A44BFOapex24endophytesoomycete
FP3A41BFOapex31endophytesoomycete	ITS1_29	FP3	A4	bio1	BFO	apex3	tech1	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio1	apex3_A4_bio1	apex3_bio1	medium	FP3A41BFOapex31endophytesoomycete
FP3A41BFOapex32endophytesoomycete	ITS1_30	FP3	A4	bio1	BFO	apex3	tech2	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio1	apex3_A4_bio1	apex3_bio1	medium	FP3A41BFOapex32endophytesoomycete
FP3A41BFOapex33endophytesoomycete	ITS1_31	FP3	A4	bio1	BFO	apex3	tech3	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio1	apex3_A4_bio1	apex3_bio1	medium	FP3A41BFOapex33endophytesoomycete
FP3A41BFOapex34endophytesoomycete	ITS1_32	FP3	A4	bio1	BFO	apex3	tech4	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio1	apex3_A4_bio1	apex3_bio1	medium	FP3A41BFOapex34endophytesoomycete
FP3A42BFOapex31endophytesoomycete	ITS1_75	FP3	A4	bio2	BFO	apex3	tech1	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio2	apex3_A4_bio2	apex3_bio2	medium	FP3A42BFOapex31endophytesoomycete
FP3A42BFOapex32endophytesoomycete	ITS1_76	FP3	A4	bio2	BFO	apex3	tech2	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio2	apex3_A4_bio2	apex3_bio2	medium	FP3A42BFOapex32endophytesoomycete
FP3A42BFOapex33endophytesoomycete	ITS1_77	FP3	A4	bio2	BFO	apex3	tech3	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio2	apex3_A4_bio2	apex3_bio2	medium	FP3A42BFOapex33endophytesoomycete
FP3A42BFOapex34endophytesoomycete	ITS1_78	FP3	A4	bio2	BFO	apex3	tech4	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio2	apex3_A4_bio2	apex3_bio2	medium	FP3A42BFOapex34endophytesoomycete
FP4A44BFOapex31endophytesoomycete	ITS1_25	FP4	A4	bio4	BFO	apex3	tech1	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio4	apex3_A4_bio4	apex3_bio4	medium	FP4A44BFOapex31endophytesoomycete
FP4A44BFOapex32endophytesoomycete	ITS1_26	FP4	A4	bio4	BFO	apex3	tech2	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio4	apex3_A4_bio4	apex3_bio4	medium	FP4A44BFOapex32endophytesoomycete
FP4A44BFOapex33endophytesoomycete	ITS1_27	FP4	A4	bio4	BFO	apex3	tech3	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio4	apex3_A4_bio4	apex3_bio4	medium	FP4A44BFOapex33endophytesoomycete
FP4A44BFOapex34endophytesoomycete	ITS1_28	FP4	A4	bio4	BFO	apex3	tech4	endophytes	oomycetes	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio4	apex3_A4_bio4	apex3_bio4	medium	FP4A44BFOapex34endophytesoomycete
FP1A1bio1BFObak1bkk1tech1endophytesoomycete	ITS1_17	FP1	A1	bio1	BFO	bak1bkk1	tech1	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio1	bak1bkk1_A1_bio1	bak1bkk1_bio1	low	FP1A1bio1BFObak1bkk1tech1endophytesoomycete
FP1A1bio1BFObak1bkk1tech2endophytesoomycete	ITS1_18	FP1	A1	bio1	BFO	bak1bkk1	tech2	endophytes	oomycetes	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio1	bak1bkk1_A1_bio1	bak1bkk1_bio1	low	FP1A1bio1BFObak1bkk1tech2endophytesoomycete
