project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_ITS1	Cq_UBQ10	ITS1_UBQ_ref
G1	bio2	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio2	tech5	G1-2-60-BF	root	plate2	16.21	19.11	1.385145364
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech1	G1-2-66-FO	root	plate10	13.47	18.52	
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech2	G1-2-67-FO	root	plate10	13.48	18.77	
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech3	G1-2-68-FO	root	plate10	14.28	18.98	
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech4	G1-2-69-FO	root	plate10	13.31	20.05	
G1	bio2	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio2	tech5	G1-2-70-FO	root	plate10	13.36	19.13	
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech1	G1-3-1-BFO	root	plate5	16.83	19.33	1.029998296
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech2	G1-3-2-BFO	root	plate5	15.07	19.17	3.148704092
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech3	G1-3-3-BFO	root	plate5	15.1	18.36	1.749230809
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech4	G1-3-4-BFO	root	plate5	17.92	19.14	0.424024311
G1	bio3	WT	BFO	WT_BFO	WT_BFO_bio3	tech5	G1-3-5-BFO	root	plate5	14.81	17.84	1.490092949
G1	bio3	WT	F	WT_F	WT_F_bio3	tech1	G1-3-11-F	root	plate7	10.5	18.87	47.2764446
G1	bio3	WT	F	WT_F	WT_F_bio3	tech2	G1-3-12-F	root	plate7	11.51	19.01	26.02745033
G1	bio3	WT	F	WT_F	WT_F_bio3	tech3	G1-3-13-F	root	plate7	10.68	18.78	39.14735333
G1	bio3	WT	F	WT_F	WT_F_bio3	tech4	G1-3-14-F	root	plate7	12.5	19.82	22.90797263
G1	bio3	WT	F	WT_F	WT_F_bio3	tech5	G1-3-15-F	root	plate7	12.25	20.05	31.79017953
G1	bio3	WT	BF	WT_BF	WT_BF_bio3	tech1	G1-3-21-BF	root	plate3	16.69	18.05	0.410412208
G1	bio3	WT	BF	WT_BF	WT_BF_bio3	tech2	G1-3-22-BF	root	plate3	16.5	18.65	0.708197604
G1	bio3	WT	BF	WT_BF	WT_BF_bio3	tech3	G1-3-23-BF	root	plate3	17.02	19.17	0.70893618
G1	bio3	WT	BF	WT_BF	WT_BF_bio3	tech4	G1-3-24-BF	root	plate3	17.32	19.12	0.555335487
G1	bio3	WT	BF	WT_BF	WT_BF_bio3	tech5	G1-3-25-BF	root	plate3	14.38	18.39	2.586272648
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech1	G1-3-31-FO	root	plate10	17.36	19.86	1.172821776
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech2	G1-3-32-FO	root	plate10	14.83	29.38	
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech3	G1-3-33-FO	root	plate10	16.05	20.7	5.198124484
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech4	G1-3-34-FO	root	plate10	17.3		1.29E-06
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech5	G1-3-35-FO	root	plate10	15.5		4.49E-06
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech1	G1-3-36-BFO	root	plate5	15.73	20.1	3.788706641
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech2	G1-3-37-BFO	root	plate5	15.69	21.73	12.01083348
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech3	G1-3-38-BFO	root	plate5	17.37	20.52	1.61942384
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech4	G1-3-39-BFO	root	plate5	14.94	19.32	3.793776222
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech5	G1-3-40-BFO	root	plate5	12.08	18.56	16.23857079
G1	bio3	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio3	tech1	G1-3-46-F	root	plate7	25.95		
G1	bio3	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio3	tech2	G1-3-47-F	root	plate7	21.61		
G1	bio3	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio3	tech3	G1-3-48-F	root	plate7			
G1	bio3	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio3	tech4	G1-3-49-F	root	plate7	14.94		
G1	bio3	cyp79b2b3	F	cyp79b2b3_F	cyp79b2b3_F_bio3	tech5	G1-3-50-F	root	plate7	9.46		
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech1	G1-3-56-BF	root	plate3	16.73	20.07	1.61929697
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech2	G1-3-57-BF	root	plate3	15.21	18.65	1.738379273
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech3	G1-3-58-BF	root	plate3	14.33	19.35	5.168294515
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech4	G1-3-59-BF	root	plate3	15.52	19.18	2.013392589
G1	bio3	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio3	tech5	G1-3-60-BF	root	plate3	14.83	19.31	3.549818747
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech1	G1-3-66-FO	root	plate10	14.08		
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech2	G1-3-67-FO	root	plate10	17.26		
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech3	G1-3-68-FO	root	plate10	15.26		
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech4	G1-3-69-FO	root	plate10			
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech5	G1-3-70-FO	root	plate10			
