project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_oITS1	Cq_UBQ10	oITS1_UBQ_ref
G1	bio3	WT	O	WT_O	WT_O_bio3	tech1	G1-3-16-O	root	plate8	14.4	19.29	11230.75721
G1	bio3	WT	O	WT_O	WT_O_bio3	tech2	G1-3-17-O	root	plate8	23.8		
G1	bio3	WT	O	WT_O	WT_O_bio3	tech3	G1-3-18-O	root	plate8	15.2	19.27	6369.22386
G1	bio3	WT	O	WT_O	WT_O_bio3	tech4	G1-3-19-O	root	plate8	14.52	19.29	10380.42345
G1	bio3	WT	O	WT_O	WT_O_bio3	tech5	G1-3-20-O	root	plate8	14.4	18.73	7603.678603
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech1	G1-3-26-BO	root	plate6	16.78	20.04	2234.937672
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech2	G1-3-27-BO	root	plate6	19.66	19.28	179.6193889
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech3	G1-3-28-BO	root	plate6	15.25	19.59	4696.362983
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech4	G1-3-29-BO	root	plate6	21.15	19.24	62.27933662
G1	bio3	WT	BO	WT_BO	WT_BO_bio3	tech5	G1-3-30-BO	root	plate6	17.13	19.13	937.8533879
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech1	G1-3-31-FO	root	plate10	14.64	19.86	6.002586118
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech2	G1-3-32-FO	root	plate10	13.65	29.38	
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech3	G1-3-33-FO	root	plate10	14.58	20.7	11.15423579
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech4	G1-3-34-FO	root	plate10	18.02		
G1	bio3	WT	FO	WT_FO	WT_FO_bio3	tech5	G1-3-35-FO	root	plate10			
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech1	G1-3-36-BFO	root	plate5	20.38	20.1	381.2447969
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech2	G1-3-37-BFO	root	plate5	22.22	21.73	328.742368
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech3	G1-3-38-BFO	root	plate5	22.78	20.52	96.53976558
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech4	G1-3-39-BFO	root	plate5	20.12	19.32	265.6081826
G1	bio3	cyp79b2b3	BFO	cyp79b2b3_BFO	cyp79b2b3_BFO_bio3	tech5	G1-3-40-BFO	root	plate5	26.41	18.56	1.998567791
G1	bio3	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio3	tech1	G1-3-51-O	root	plate8	14.64		
G1	bio3	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio3	tech2	G1-3-52-O	root	plate8			
G1	bio3	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio3	tech3	G1-3-53-O	root	plate8	14.3		
G1	bio3	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio3	tech4	G1-3-54-O	root	plate8			
G1	bio3	cyp79b2b3	O	cyp79b2b3_O	cyp79b2b3_O_bio3	tech5	G1-3-55-O	root	plate8			
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech1	G1-3-61-BO	root	plate9	19.32	18.91	242.2310071
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech2	G1-3-62-BO	root	plate9	17.48	19.1	991.8038226
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech3	G1-3-63-BO	root	plate9	17.36	18	501.564509
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech4	G1-3-64-BO	root	plate9	14.83	18.36	3738.361687
G1	bio3	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio3	tech5	G1-3-65-BO	root	plate9	16.05	18.52	1782.950185
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech1	G1-3-66-FO	root	plate10	13.78		
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech2	G1-3-67-FO	root	plate10	9.9		
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech3	G1-3-68-FO	root	plate10	13.31		
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech4	G1-3-69-FO	root	plate10	27.58		
G1	bio3	cyp79b2b3	FO	cyp79b2b3_FO	cyp79b2b3_FO_bio3	tech5	G1-3-70-FO	root	plate10			
