exp	biol1	gen	treat	FW_g	FP	No
NF1	biol1	cyp79	S-new	0.0148	fp3	p3
NF1	biol1	cyp79	S-new	0.0377	fp3	p4
NF1	biol1	cyp79	S-new	0.0156	fp4	p1
NF1	biol1	cyp79	S-new	0.0383	fp4	p2
NF1	biol1	cyp79	S-new	0.01	fp4	p3
NF1	biol1	cyp79	S-new	0.0108	fp4	p4
NF1	biol1	cyp79	S-new	0.0367	fp5	p1
NF1	biol1	cyp79	S-new	0.0142	fp5	p2
NF1	biol1	cyp79	S-new	0.0258	fp5	p3
NF1	biol1	cyp79	S-new	0.0349	fp5	p4
NF1	biol1	cyp79	S-new	0.0215	fp6	p1
NF1	biol1	cyp79	S-new	0.0497	fp6	p2
NF1	biol1	cyp79	S-new	0.0328	fp6	p3
NF1	biol1	cyp79	S-new	0.0041	fp6	p4
NF1	biol2	cyp79	S-new	0.0591	fp1	pl1
NF1	biol2	cyp79	S-new	0.0303	fp1	pl2
NF1	biol2	cyp79	S-new	0.022	fp1	pl3
NF1	biol2	cyp79	S-new	0.0355	fp1	pl4
NF1	biol2	cyp79	S-new	0.0352	fp2	pl1
NF1	biol2	cyp79	S-new	0.023	fp2	pl2
NF1	biol2	cyp79	S-new	0.0104	fp2	pl3
NF1	biol2	cyp79	S-new	0.0271	fp2	pl4
NF1	biol2	cyp79	S-new	0.0385	fp3	pl1
NF1	biol2	cyp79	S-new	0.0328	fp3	pl2
NF1	biol2	cyp79	S-new	0.0247	fp3	pl3
NF1	biol2	cyp79	S-new	0.0184	fp3	pl4
NF1	biol2	cyp79	S-new	0.0306	fp4	pl1
NF1	biol2	cyp79	S-new	0.0336	fp4	pl2
NF1	biol2	cyp79	S-new	0.0271	fp4	pl3
NF1	biol2	cyp79	S-new	0.0333	fp4	pl4
NF1	biol2	cyp79	S-new	0.0224	fp5	pl1
NF1	biol2	cyp79	S-new	0.0182	fp5	pl2
NF1	biol2	cyp79	S-new	0.0131	fp5	pl3
NF1	biol2	cyp79	S-new	0.0145	fp5	pl4
NF1	biol2	cyp79	S-new	0.0101	fp6	pl1
NF1	biol2	cyp79	S-new	0.0328	fp6	pl2
NF1	biol2	cyp79	S-new	0.0134	fp6	pl3
NF1	biol2	cyp79	S-new	0.0133	fp6	pl4
NF1	biol3	cyp79	S-new	0.0197	fp1	pl1
NF1	biol3	cyp79	S-new	0.0225	fp1	pl2
NF1	biol3	cyp79	S-new	0.0355	fp1	pl3
NF1	biol3	cyp79	S-new	0.0186	fp1	pl4
NF1	biol3	cyp79	S-new	0.0163	fp2	pl1
NF1	biol3	cyp79	S-new	0.0165	fp2	pl2
NF1	biol3	cyp79	S-new	0.0146	fp2	pl3
NF1	biol3	cyp79	S-new	0.0222	fp2	pl4
NF1	biol3	cyp79	S-new	0.0232	fp3	pl1
NF1	biol3	cyp79	S-new	0.0237	fp3	pl2
NF1	biol3	cyp79	S-new	0.0105	fp3	pl3
NF1	biol3	cyp79	S-new	0.0276	fp3	pl4
NF1	biol3	cyp79	S-new	0.0235	fp4	pl1
NF1	biol3	cyp79	S-new	0.0257	fp4	pl2
NF1	biol3	cyp79	S-new	0.0188	fp4	pl3
NF1	biol3	cyp79	S-new	0.0315	fp4	pl4
NF1	biol3	cyp79	S-new	0.0306	fp5	pl1
NF1	biol3	cyp79	S-new	0.0227	fp5	pl2
NF1	biol3	cyp79	S-new	0.0438	fp5	pl3
NF1	biol3	cyp79	S-new	0.0376	fp5	pl4
NF1	biol3	cyp79	S-new	0.0267	fp6	pl1
NF1	biol3	cyp79	S-new	0.0512	fp6	pl2
NF1	biol3	cyp79	S-new	0.0144	fp6	pl3
NF1	biol3	cyp79	S-new	0.0304	fp6	pl4
NF1	biol1	WT	BF-new	0.0273	fp1	p1
NF1	biol1	WT	BF-new	0.0892	fp1	p2
NF1	biol1	WT	BF-new	0.0322	fp1	p3
NF1	biol1	WT	BF-new	0.022	fp1	p4
NF1	biol1	WT	BF-new	0.0307	fp2	p1
NF1	biol1	WT	BF-new	0.0444	fp2	p2
NF1	biol1	WT	BF-new	0.0339	fp2	p3
NF1	biol1	WT	BF-new	0.0371	fp2	p4
NF1	biol1	WT	BF-new	0.0098	fp3	p1
NF1	biol1	WT	BF-new	0.0305	fp3	p2
NF1	biol1	WT	BF-new	0.021	fp3	p3
NF1	biol1	WT	BF-new	0.0532	fp3	p4
NF1	biol1	WT	BF-new	0.0052	fp4	p1
NF1	biol1	WT	BF-new	0.007	fp4	p2
NF1	biol1	WT	BF-new	0.0094	fp4	p3
NF1	biol1	WT	BF-new	0.0941	fp4	p4
NF1	biol1	WT	BF-new	0.0085	fp5	p1
NF1	biol1	WT	BF-new	0.0358	fp5	p2
NF1	biol1	WT	BF-new	0.0223	fp5	p3
NF1	biol1	WT	BF-new	0	fp5	p4
NF1	biol1	WT	BF-new	0.134	fp6	p1
NF1	biol1	WT	BF-new	0	fp6	p2
NF1	biol1	WT	BF-new	0	fp6	p3
NF1	biol1	WT	BF-new	0	fp6	p4
NF1	biol2	WT	BF-new	0.0987	fp1	pl1
NF1	biol2	WT	BF-new	0.0414	fp1	pl2
NF1	biol2	WT	BF-new	0.0107	fp1	pl3
NF1	biol2	WT	BF-new	0.003	fp1	pl4
NF1	biol2	WT	BF-new	0.0478	fp2	pl1
NF1	biol2	WT	BF-new	0.0054	fp2	pl2
NF1	biol2	WT	BF-new	0.0191	fp2	pl3
NF1	biol2	WT	BF-new	0.0293	fp2	pl4
NF1	biol2	WT	BF-new	0.0072	fp3	pl1
NF1	biol2	WT	BF-new	0.129	fp3	pl2
NF1	biol2	WT	BF-new	0.0425	fp3	pl3
NF1	biol2	WT	BF-new	0.0013	fp3	pl4
NF1	biol2	WT	BF-new	0.0311	fp4	pl1
NF1	biol2	WT	BF-new	0.0677	fp4	pl2
NF1	biol2	WT	BF-new	0.0435	fp4	pl3
NF1	biol2	WT	BF-new	0.0734	fp4	pl4
NF1	biol2	WT	BF-new	0.0311	fp5	pl1
NF1	biol2	WT	BF-new	0	fp5	pl2
NF1	biol2	WT	BF-new	0	fp5	pl3
NF1	biol2	WT	BF-new	0	fp5	pl4
NF1	biol2	WT	BF-new	0.082	fp6	pl1
NF1	biol2	WT	BF-new	0	fp6	pl2
NF1	biol2	WT	BF-new	0	fp6	pl3
NF1	biol2	WT	BF-new	0	fp6	pl4
NF1	biol3	WT	BF-new	0.006	fp1	pl1
NF1	biol3	WT	BF-new	0.0107	fp1	pl2
NF1	biol3	WT	BF-new	0.0317	fp1	pl3
NF1	biol3	WT	BF-new	0.1257	fp1	pl4
NF1	biol3	WT	BF-new	0.0083	fp2	pl1
NF1	biol3	WT	BF-new	0.0148	fp2	pl2
NF1	biol3	WT	BF-new	0.0338	fp2	pl3
NF1	biol3	WT	BF-new	0.0559	fp2	pl4
NF1	biol3	WT	BF-new	0.059	fp3	pl1
NF1	biol3	WT	BF-new	0.01361	fp3	pl2
NF1	biol3	WT	BF-new	0	fp3	pl3
NF1	biol3	WT	BF-new	0	fp3	pl4
NF1	biol3	WT	BF-new	0.1491	fp4	pl1
NF1	biol3	WT	BF-new	0.0153	fp4	pl2
NF1	biol3	WT	BF-new	0.0251	fp4	pl3
NF1	biol3	WT	BF-new	0.0203	fp4	pl4
NF1	biol3	WT	BF-new	0.0552	fp5	pl1
NF1	biol3	WT	BF-new	0.06	fp5	pl2
NF1	biol3	WT	BF-new	0	fp5	pl3
NF1	biol3	WT	BF-new	0	fp5	pl4
NF1	biol3	WT	BF-new	0.0498	fp6	pl1
NF1	biol3	WT	BF-new	0.0541	fp6	pl2
NF1	biol3	WT	BF-new	0.1005	fp6	pl3
NF1	biol1	WT	B-new	0.0131	fp1	p1
NF1	biol1	WT	B-new	0.0198	fp1	p2
NF1	biol1	WT	B-new	0.0079	fp1	p3
NF1	biol1	WT	B-new	0.0274	fp1	p4
NF1	biol1	WT	B-new	0.0422	fp2	p1
NF1	biol1	WT	B-new	0.0098	fp2	p2
NF1	biol1	WT	B-new	0.0447	fp2	p3
NF1	biol1	WT	B-new	0	fp2	p4
NF1	biol1	WT	B-new	0.0343	fp3	p1
NF1	biol1	WT	B-new	0.0112	fp3	p2
NF1	biol1	WT	B-new	0.0117	fp3	p3
NF1	biol1	WT	B-new	0.0156	fp3	p4
NF1	biol1	WT	B-new	0.0154	fp4	p1
NF1	biol1	WT	B-new	0.036	fp4	p2
NF1	biol1	WT	B-new	0.0242	fp4	p3
NF1	biol1	WT	B-new	0	fp4	p4
NF1	biol1	WT	B-new	0.0392	fp5	p1
NF1	biol1	WT	B-new	0.0318	fp5	p2
NF1	biol1	WT	B-new	0.0334	fp5	p3
NF1	biol1	WT	B-new	0.0032	fp5	p4
NF1	biol1	WT	B-new	0.0608	fp6	p1
NF1	biol1	WT	B-new	0.0117	fp6	p2
NF1	biol1	WT	B-new	0.0757	fp6	p3
NF1	biol1	WT	B-new	0.0115	fp6	p4
NF1	biol2	WT	B-new	0.0003	fp1	pl1
NF1	biol2	WT	B-new	0.0096	fp1	pl2
NF1	biol2	WT	B-new	0.0404	fp1	pl3
NF1	biol2	WT	B-new	0	fp1	pl4
NF1	biol2	WT	B-new	0.0189	fp2	pl1
NF1	biol2	WT	B-new	0.0413	fp2	pl2
NF1	biol2	WT	B-new	0.0157	fp2	pl3
NF1	biol2	WT	B-new	0	fp2	pl4
NF1	biol2	WT	B-new	0.0075	fp3	pl1
NF1	biol2	WT	B-new	0.0092	fp3	pl2
NF1	biol2	WT	B-new	0.0028	fp3	pl3
NF1	biol2	WT	B-new	0.0739	fp3	pl4
NF1	biol2	WT	B-new	0.028	fp4	pl1
NF1	biol2	WT	B-new	0.0404	fp4	pl2
NF1	biol2	WT	B-new	0	fp4	pl3
NF1	biol2	WT	B-new	0	fp4	pl4
NF1	biol2	WT	B-new	0.0477	fp5	pl1
NF1	biol2	WT	B-new	0.0218	fp5	pl2
NF1	biol2	WT	B-new	0.0476	fp5	pl3
NF1	biol2	WT	B-new	0.1067	fp5	pl4
NF1	biol2	WT	B-new	0.0501	fp6	pl1
NF1	biol2	WT	B-new	0.012	fp6	pl2
NF1	biol2	WT	B-new	0	fp6	pl3
NF1	biol2	WT	B-new	0.07	fp6	pl4
NF1	biol3	WT	B-new	0.0683	fp1	pl1
NF1	biol3	WT	B-new	0.0259	fp1	pl2
NF1	biol3	WT	B-new	0.0088	fp1	pl3
NF1	biol3	WT	B-new	0	fp1	pl4
NF1	biol3	WT	B-new	0.0356	fp2	pl1
NF1	biol3	WT	B-new	0.0114	fp2	pl2
NF1	biol3	WT	B-new	0.0041	fp2	pl3
NF1	biol3	WT	B-new	0	fp2	pl4
NF1	biol3	WT	B-new	0.2004	fp3	pl1
NF1	biol3	WT	B-new	0.0401	fp3	pl2
NF1	biol3	WT	B-new	0.0086	fp3	pl3
NF1	biol3	WT	B-new	0	fp3	pl4
NF1	biol3	WT	B-new	0.0074	fp4	pl1
NF1	biol3	WT	B-new	0.0071	fp4	pl2
NF1	biol3	WT	B-new	0.0134	fp4	pl3
NF1	biol3	WT	B-new	0.0497	fp4	pl4
NF1	biol3	WT	B-new	0.0089	fp5	pl1
NF1	biol3	WT	B-new	0.0193	fp5	pl2
NF1	biol3	WT	B-new	0	fp5	pl3
NF1	biol3	WT	B-new	0	fp5	pl4
NF1	biol3	WT	B-new	0.0097	fp6	pl1
NF1	biol3	WT	B-new	0.1903	fp6	pl2
NF1	biol3	WT	B-new	0	fp6	pl3
NF1	biol3	WT	B-new	0	fp6	pl4
NF1	biol1	WT	F-new	0.0156	fp1	p1
NF1	biol1	WT	F-new	0.008	fp1	p2
NF1	biol1	WT	F-new	0.0095	fp1	p3
NF1	biol1	WT	F-new	0	fp1	p4
NF1	biol1	WT	F-new	0.0487	fp2	p1
NF1	biol1	WT	F-new	0.1177	fp2	p2
NF1	biol1	WT	F-new	0.0069	fp2	p3
NF1	biol1	WT	F-new	0	fp2	p4
NF1	biol1	WT	F-new	0.0214	fp3	p1
NF1	biol1	WT	F-new	0.0347	fp3	p2
NF1	biol1	WT	F-new	0.02	fp3	p3
NF1	biol1	WT	F-new	0.1063	fp3	p4
NF1	biol1	WT	F-new	0.0381	fp4	p1
NF1	biol1	WT	F-new	0.0383	fp4	p2
NF1	biol1	WT	F-new	0.0503	fp4	p3
NF1	biol1	WT	F-new	0	fp4	p4
NF1	biol1	WT	F-new	0.0171	fp5	p1
NF1	biol1	WT	F-new	0.0449	fp5	p2
NF1	biol1	WT	F-new	0.0128	fp5	p3
NF1	biol1	WT	F-new	0.0063	fp5	p4
NF1	biol1	WT	F-new	0.0688	fp6	p1
NF1	biol1	WT	F-new	0.0703	fp6	p2
NF1	biol1	WT	F-new	0	fp6	p3
NF1	biol1	WT	F-new	0	fp6	p4
NF1	biol2	WT	F-new	0.0527	fp1	pl1
NF1	biol2	WT	F-new	0.007	fp1	pl2
NF1	biol2	WT	F-new	0.0377	fp1	pl3
NF1	biol2	WT	F-new	0.0699	fp1	pl4
NF1	biol2	WT	F-new	0	fp2	pl1
NF1	biol2	WT	F-new	0	fp2	pl2
NF1	biol2	WT	F-new	0	fp2	pl3
NF1	biol2	WT	F-new	0	fp2	pl4
NF1	biol2	WT	F-new	0.0457	fp3	pl1
NF1	biol2	WT	F-new	0	fp3	pl2
NF1	biol2	WT	F-new	0	fp3	pl3
NF1	biol2	WT	F-new	0	fp3	pl4
NF1	biol2	WT	F-new	0.097	fp4	pl1
NF1	biol2	WT	F-new	0	fp4	pl2
NF1	biol2	WT	F-new	0	fp4	pl3
NF1	biol2	WT	F-new	0	fp4	pl4
NF1	biol2	WT	F-new	0.0113	fp5	pl1
NF1	biol2	WT	F-new	0.0057	fp5	pl2
NF1	biol2	WT	F-new	0.0313	fp5	pl3
NF1	biol2	WT	F-new	0	fp5	pl4
NF1	biol2	WT	F-new	0.0837	fp6	pl1
NF1	biol2	WT	F-new	0.0291	fp6	pl2
NF1	biol2	WT	F-new	0	fp6	pl3
NF1	biol2	WT	F-new	0	fp6	pl4
NF1	biol3	WT	F-new	0.0586	fp1	pl1
NF1	biol3	WT	F-new	0.0103	fp1	pl2
NF1	biol3	WT	F-new	0.0328	fp1	pl3
NF1	biol3	WT	F-new	0.0952	fp1	pl4
NF1	biol3	WT	F-new	0.0159	fp2	pl1
NF1	biol3	WT	F-new	0.086	fp2	pl2
NF1	biol3	WT	F-new	0.072	fp2	pl3
NF1	biol3	WT	F-new	0	fp2	pl4
NF1	biol3	WT	F-new	0.0295	fp3	pl1
NF1	biol3	WT	F-new	0	fp3	pl2
NF1	biol3	WT	F-new	0	fp3	pl3
NF1	biol3	WT	F-new	0	fp3	pl4
NF1	biol3	WT	F-new	0.103	fp4	pl1
NF1	biol3	WT	F-new	0.0293	fp4	pl2
NF1	biol3	WT	F-new	0.0677	fp4	pl3
NF1	biol3	WT	F-new	0	fp4	pl4
NF1	biol3	WT	F-new	0.0434	fp5	pl1
NF1	biol3	WT	F-new	0.0465	fp5	pl2
NF1	biol3	WT	F-new	0.039	fp5	pl3
NF1	biol3	WT	F-new	0	fp5	pl4
NF1	biol3	WT	F-new	0.0328	fp6	pl1
NF1	biol3	WT	F-new	0.0773	fp6	pl2
NF1	biol3	WT	F-new	0.0854	fp6	pl3
NF1	biol3	WT	F-new	0	fp6	pl4
NF1	biol2	WT	S-new	0.0275	fp1	pl1
NF1	biol2	WT	S-new	0.0115	fp1	pl2
NF1	biol2	WT	S-new	0.0098	fp1	pl3
NF1	biol2	WT	S-new	0	fp1	pl4
NF1	biol2	WT	S-new	0.1772	fp2	pl1
NF1	biol2	WT	S-new	0.0121	fp2	pl2
NF1	biol2	WT	S-new	0.0168	fp2	pl3
NF1	biol2	WT	S-new	0	fp2	pl4
NF1	biol2	WT	S-new	0.0227	fp3	pl1
NF1	biol2	WT	S-new	0.01	fp3	pl2
NF1	biol2	WT	S-new	0.0074	fp3	pl3
NF1	biol2	WT	S-new	0	fp3	pl4
NF1	biol2	WT	S-new	0.0308	fp4	pl1
NF1	biol2	WT	S-new	0.0717	fp4	pl2
NF1	biol2	WT	S-new	0.0094	fp4	pl3
NF1	biol2	WT	S-new	0.0216	fp4	pl4
NF1	biol2	WT	S-new	0.0084	fp5	pl1
NF1	biol2	WT	S-new	0.0136	fp5	pl2
NF1	biol2	WT	S-new	0.0275	fp5	pl3
NF1	biol2	WT	S-new	0.0413	fp5	pl4
