exp	biol1	gen	treat	FW_g	FP	No
NF1	biol1	WT	BF-old	0	fp1	p4
NF1	biol1	WT	BF-old	0.0282	fp2	p1
NF1	biol1	WT	BF-old	0	fp2	p2
NF1	biol1	WT	BF-old	0	fp2	p3
NF1	biol1	WT	BF-old	0	fp2	p4
NF1	biol1	WT	BF-old	0.033	fp3	p1
NF1	biol1	WT	BF-old	0.0393	fp3	p2
NF1	biol1	WT	BF-old	0.1774	fp3	p3
NF1	biol1	WT	BF-old	0	fp3	p4
NF1	biol1	WT	BF-old	0.0666	fp4	p1
NF1	biol1	WT	BF-old	0.0414	fp4	p2
NF1	biol1	WT	BF-old	0.0067	fp4	p3
NF1	biol1	WT	BF-old	0	fp4	p4
NF1	biol1	WT	BF-old	0	fp5	p1
NF1	biol1	WT	BF-old	0	fp5	p2
NF1	biol1	WT	BF-old	0	fp5	p3
NF1	biol1	WT	BF-old	0	fp5	p4
NF1	biol1	WT	BF-old	0.0067	fp6	p1
NF1	biol1	WT	BF-old	0.1297	fp6	p2
NF1	biol1	WT	BF-old	0	fp6	p3
NF1	biol1	WT	BF-old	0	fp6	p4
NF1	biol2	WT	BF-old	0.0221	fp1	pl1
NF1	biol2	WT	BF-old	0.0327	fp1	pl2
NF1	biol2	WT	BF-old	0.0168	fp1	pl3
NF1	biol2	WT	BF-old	0.0733	fp1	pl4
NF1	biol2	WT	BF-old	0.0096	fp2	pl1
NF1	biol2	WT	BF-old	0.0209	fp2	pl2
NF1	biol2	WT	BF-old	0.0135	fp2	pl3
NF1	biol2	WT	BF-old	0	fp2	pl4
NF1	biol2	WT	BF-old	0.0518	fp3	pl1
NF1	biol2	WT	BF-old	0.0136	fp3	pl2
NF1	biol2	WT	BF-old	0	fp3	pl3
NF1	biol2	WT	BF-old	0	fp3	pl4
NF1	biol2	WT	BF-old	0.0717	fp4	pl1
NF1	biol2	WT	BF-old	0.0825	fp4	pl2
NF1	biol2	WT	BF-old	0	fp4	pl3
NF1	biol2	WT	BF-old	0	fp4	pl4
NF1	biol2	WT	BF-old	0.056	fp5	pl1
NF1	biol2	WT	BF-old	0.0308	fp5	pl2
NF1	biol2	WT	BF-old	0	fp5	pl3
NF1	biol2	WT	BF-old	0	fp5	pl4
NF1	biol2	WT	BF-old	0.0119	fp6	pl1
NF1	biol2	WT	BF-old	0.0116	fp6	pl2
NF1	biol2	WT	BF-old	0.0403	fp6	pl3
NF1	biol2	WT	BF-old	0.008	fp6	pl4
NF1	biol3	WT	BF-old	0.0305	fp1	pl1
NF1	biol3	WT	BF-old	0.0129	fp1	pl2
NF1	biol3	WT	BF-old	0.0016	fp1	pl3
NF1	biol3	WT	BF-old	0	fp1	pl4
NF1	biol3	WT	BF-old	0.0298	fp2	pl1
NF1	biol3	WT	BF-old	0	fp2	pl2
NF1	biol3	WT	BF-old	0	fp2	pl3
NF1	biol3	WT	BF-old	0	fp2	pl4
NF1	biol3	WT	BF-old	0.1473	fp3	pl1
NF1	biol3	WT	BF-old	0.03	fp3	pl2
NF1	biol3	WT	BF-old	0.0088	fp3	pl3
NF1	biol3	WT	BF-old	0	fp3	pl4
NF1	biol3	WT	BF-old	0.007	fp4	pl1
NF1	biol3	WT	BF-old	0.0984	fp4	pl2
NF1	biol3	WT	BF-old	0.0055	fp4	pl3
NF1	biol3	WT	BF-old	0.0391	fp4	pl4
NF1	biol3	WT	BF-old	0.0121	fp5	pl1
NF1	biol3	WT	BF-old	0.0299	fp5	pl2
NF1	biol3	WT	BF-old	0.0445	fp5	pl3
NF1	biol3	WT	BF-old	0.0277	fp5	pl4
NF1	biol3	WT	BF-old	0.0322	fp6	pl1
NF1	biol3	WT	BF-old	0.0482	fp6	pl2
NF1	biol3	WT	BF-old	0.0213	fp6	pl3
NF1	biol3	WT	BF-old	0.0647	fp6	pl4
NF1	biol1	WT	B-old	0.028	fp1	p1
NF1	biol1	WT	B-old	0.001	fp1	p2
NF1	biol1	WT	B-old	0.0036	fp1	p3
NF1	biol1	WT	B-old	0.0148	fp1	p4
NF1	biol1	WT	B-old	0.0621	fp2	p1
NF1	biol1	WT	B-old	0.0173	fp2	p2
NF1	biol1	WT	B-old	0	fp2	p3
NF1	biol1	WT	B-old	0	fp2	p4
NF1	biol1	WT	B-old	0	fp3	p1
NF1	biol1	WT	B-old	0	fp3	p2
NF1	biol1	WT	B-old	0	fp3	p3
NF1	biol1	WT	B-old	0	fp3	p4
NF1	biol1	WT	B-old	0.0168	fp4	p1
NF1	biol1	WT	B-old	0.0475	fp4	p2
NF1	biol1	WT	B-old	0.0191	fp4	p3
NF1	biol1	WT	B-old	0	fp4	p4
NF1	biol1	WT	B-old	0.0203	fp5	p1
NF1	biol1	WT	B-old	0.0066	fp5	p2
NF1	biol1	WT	B-old	0.1522	fp5	p3
NF1	biol1	WT	B-old	0	fp5	p4
NF1	biol1	WT	B-old	0.1047	fp6	p1
NF1	biol1	WT	B-old	0.0308	fp6	p2
NF1	biol1	WT	B-old	0	fp6	p3
NF1	biol1	WT	B-old	0	fp6	p4
NF1	biol2	WT	B-old	0.0354	fp1	pl1
NF1	biol2	WT	B-old	0.0226	fp1	pl2
NF1	biol2	WT	B-old	0.0489	fp1	pl3
NF1	biol2	WT	B-old	0.0262	fp1	pl4
NF1	biol2	WT	B-old	0.0092	fp2	pl1
NF1	biol2	WT	B-old	0.0256	fp2	pl2
NF1	biol2	WT	B-old	0.0218	fp2	pl3
NF1	biol2	WT	B-old	0	fp2	pl4
NF1	biol2	WT	B-old	0.07	fp3	pl1
NF1	biol2	WT	B-old	0.0354	fp3	pl2
NF1	biol2	WT	B-old	0.0088	fp3	pl3
NF1	biol2	WT	B-old	0	fp3	pl4
NF1	biol2	WT	B-old	0	fp4	pl1
NF1	biol2	WT	B-old	0	fp4	pl2
NF1	biol2	WT	B-old	0	fp4	pl3
NF1	biol2	WT	B-old	0	fp4	pl4
NF1	biol2	WT	B-old	0.0173	fp5	pl1
NF1	biol2	WT	B-old	0.0398	fp5	pl2
NF1	biol2	WT	B-old	0.0017	fp5	pl3
NF1	biol2	WT	B-old	0.043	fp5	pl4
NF1	biol2	WT	B-old	0.0432	fp6	pl1
