FIT1_bacteria_bio2_cyp79b2b3_B_tech3	FIT1_bacteria_bio3_WT_B_tech1	FIT1_bacteria_bio1_WT_BF_tech1	FIT1_bacteria_bio1_WT_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_BO_tech5	FIT1_bacteria_bio3_cyp79b2b3_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BO_tech2	FIT1_bacteria_bio1_WT_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_BF_tech4	FIT1_bacteria_bio3_cyp79b2b3_BF_tech3	FIT1_bacteria_bio3_WT_B_tech4	FIT1_bacteria_bio2_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BFO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio3_WT_B_tech5	FIT1_bacteria_bio3_soil_B_tech2	FIT1_bacteria_bio2_soil_BF_tech2	FIT1_bacteria_bio1_soil_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio3_initial_initial_tech3	FIT1_bacteria_bio2_initial_initial_tech1	FIT1_bacteria_bio3_cyp79b2b3_B_tech5	FIT1_bacteria_bio1_WT_BF_tech3	FIT1_bacteria_bio2_cyp79b2b3_BF_tech3	FIT1_bacteria_bio2_WT_B_tech1	FIT1_bacteria_bio3_soil_BO_tech2	FIT1_bacteria_bio2_initial_initial_tech3	FIT1_bacteria_bio3_WT_BO_tech2	FIT1_bacteria_bio1_cyp79b2b3_BO_tech3	FIT1_bacteria_bio3_cyp79b2b3_BF_tech2	FIT1_bacteria_bio1_cyp79b2b3_B_tech4	FIT1_bacteria_bio3_WT_B_tech3	FIT1_bacteria_bio2_WT_B_tech5	FIT1_bacteria_bio3_WT_BF_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech5	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio1_WT_BF_tech2	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio2_WT_BFO_tech3	FIT1_bacteria_bio1_soil_BFO_tech2	FIT1_bacteria_bio2_soil_BFO_tech1	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio3_WT_BO_tech3	FIT1_bacteria_bio2_WT_BO_tech5	FIT1_bacteria_bio2_WT_BO_tech3	FIT1_bacteria_bio1_WT_B_tech5	FIT1_bacteria_bio1_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BF_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech2	FIT1_bacteria_bio3_soil_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio1_initial_initial_tech3	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio2_cyp79b2b3_BO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech3	FIT1_bacteria_bio3_WT_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech5	FIT1_bacteria_bio3_WT_BF_tech2	FIT1_bacteria_bio3_soil_BF_tech1	FIT1_bacteria_bio3_initial_initial_tech1	FIT1_bacteria_bio1_initial_initial_tech1	FIT1_bacteria_bio2_cyp79b2b3_B_tech5	FIT1_bacteria_bio2_soil_B_tech2	FIT1_bacteria_bio2_cyp79b2b3_B_tech4	FIT1_bacteria_bio1_WT_B_tech1	FIT1_bacteria_bio1_cyp79b2b3_BF_tech1	FIT1_bacteria_bio2_soil_BO_tech1	FIT1_bacteria_bio1_WT_BF_tech5	FIT1_bacteria_bio3_cyp79b2b3_B_tech4	FIT1_bacteria_bio2_WT_BFO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BO_tech3	FIT1_bacteria_bio1_soil_B_tech1	FIT1_bacteria_bio2_initial_initial_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio2_cyp79b2b3_BF_tech1	FIT1_bacteria_bio3_WT_BO_tech4	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech2	FIT1_bacteria_bio2_WT_B_tech2	FIT1_bacteria_bio1_WT_BFO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BF_tech3	FIT1_bacteria_bio3_WT_BO_tech1	FIT1_bacteria_bio3_cyp79b2b3_BF_tech5	FIT1_bacteria_bio2_cyp79b2b3_BFO_tech4	FIT1_bacteria_bio2_cyp79b2b3_B_tech2	FIT1_bacteria_bio3_WT_BFO_tech1	FIT1_bacteria_bio3_soil_BFO_tech2	FIT1_bacteria_bio2_WT_BO_tech2	FIT1_bacteria_bio2_WT_BFO_tech4	FIT1_bacteria_bio2_soil_BO_tech2	FIT1_bacteria_bio2_WT_BF_tech2	FIT1_bacteria_bio2_WT_BF_tech3	FIT1_bacteria_bio3_WT_BFO_tech3	FIT1_bacteria_bio1_WT_B_tech3	FIT1_bacteria_bio1_WT_BO_tech3	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech1	FIT1_bacteria_bio1_WT_BFO_tech3	FIT1_bacteria_bio2_WT_BFO_tech5	FIT1_bacteria_bio3_initial_initial_tech2	FIT1_bacteria_bio1_soil_B_tech2	FIT1_bacteria_bio1_WT_BFO_tech2	FIT1_bacteria_bio2_WT_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech2	FIT1_bacteria_bio2_WT_B_tech3	FIT1_bacteria_bio1_cyp79b2b3_BF_tech5	FIT1_bacteria_bio1_WT_BFO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech3	FIT1_bacteria_bio2_WT_B_tech4	FIT1_bacteria_bio2_soil_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_B_tech2	FIT1_bacteria_bio3_cyp79b2b3_B_tech3	FIT1_bacteria_bio1_initial_initial_tech2	FIT1_bacteria_bio1_cyp79b2b3_BO_tech1	FIT1_bacteria_bio3_WT_BFO_tech5	FIT1_bacteria_bio3_WT_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech5	FIT1_bacteria_bio3_WT_BFO_tech2	FIT1_bacteria_bio1_WT_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_B_tech1	FIT1_bacteria_bio1_WT_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_BF_tech2	FIT1_bacteria_bio2_soil_BFO_tech2	FIT1_bacteria_bio2_cyp79b2b3_BO_tech1	FIT1_bacteria_bio1_cyp79b2b3_B_tech3	FIT1_bacteria_bio1_WT_BO_tech4	FIT1_bacteria_bio1_soil_BF_tech2	FIT1_bacteria_bio3_WT_BFO_tech4	FIT1_bacteria_bio1_WT_BO_tech2	FIT1_bacteria_bio3_WT_BF_tech5	FIT1_bacteria_bio1_soil_BO_tech2	FIT1_bacteria_bio3_cyp79b2b3_BFO_tech4	FIT1_bacteria_bio2_WT_BF_tech4	FIT1_bacteria_bio2_soil_B_tech1	FIT1_bacteria_bio1_soil_BF_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech5	FIT1_bacteria_bio2_WT_BO_tech1	FIT1_bacteria_bio3_WT_BO_tech5	FIT1_bacteria_bio2_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BF_tech4	FIT1_bacteria_bio1_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_B_tech1	FIT1_bacteria_bio3_soil_BO_tech1	FIT1_bacteria_bio2_cyp79b2b3_BF_tech4	FIT1_bacteria_bio3_WT_BF_tech3	FIT1_bacteria_bio2_WT_BF_tech5	FIT1_bacteria_bio1_WT_B_tech4	FIT1_bacteria_bio1_soil_BFO_tech1	FIT1_bacteria_bio2_WT_BF_tech1	FIT1_bacteria_bio3_cyp79b2b3_BO_tech4	FIT1_bacteria_bio1_cyp79b2b3_BFO_tech4
OTU_135	1	3	0	1	0	37	0	0	2	5	3	0	36	0	2	10	5	0	4	2	0	0	0	0	2	9	0	14	0	5	1	8	2	5	3	6	8	2	3	1	0	12	1	7	6	2	3	0	42	17	5	1	1	5	2	19	7	8	2	7	9	53	2	0	3	7	14	3	0	1	0	33	1	25	2	2	14	1	12	3	4	0	0	6	3	2	7	7	30	3	1	0	2	0	13	2	0	14	0	2	7	2	0	2	1	2	0	0	1	2	7	9	125	2	0	5	9	6	1	1	6	1	0	0	6	1	1	0	0	6	0	2	0	5	1	9	2	2	3	5	0	1	0	7	8	3	13	0	2	0	0	3	0
OTU_227	3	0	1	2	0	7	0	0	7	1	3	1	17	1	1	8	8	6	0	29	32	1	5	4	1	4	39	3	3	3	0	1	1	2	10	4	3	1	6	5	1	4	1	0	1	2	2	0	16	5	3	1	15	10	2	5	4	2	0	0	3	14	38	17	1	13	2	2	0	2	2	6	5	5	4	37	8	8	0	1	1	2	0	3	0	1	5	1	19	4	1	5	2	2	2	1	1	6	0	1	51	1	2	3	2	2	1	1	0	2	4	6	5	21	3	1	5	3	4	1	0	2	1	4	13	1	0	0	2	1	1	1	6	3	0	10	4	3	2	3	2	3	1	2	5	3	2	1	1	0	0	0	0
OTU_797	0	1	0	0	0	9	0	0	2	0	1	0	1	0	1	0	1	0	0	5	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	5	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0
OTU_149	18	16	0	7	10	4	6	6	7	5	11	11	3	1	17	2	2	0	0	9	3	24	6	13	3	1	8	7	6	15	3	12	15	16	1	17	41	6	3	111	0	0	12	45	9	3	1	0	2	1	2	1	17	1	69	7	5	10	23	3	17	6	22	14	8	1	10	7	22	2	0	7	63	1	1	7	2	0	39	12	47	5	4	27	3	1	15	16	4	9	50	0	2	16	20	9	6	5	6	48	19	1	3	2	6	15	0	2	5	4	1	6	4	12	1	41	2	13	43	4	12	16	3	6	2	4	7	1	0	52	6	43	3	6	3	2	0	4	11	16	10	0	5	6	0	4	2	5	5	0	0	21	0
OTU_140	1	10	0	0	4	16	2	2	4	4	35	4	0	0	16	2	3	1	0	21	6	11	18	5	2	73	6	4	4	3	3	20	2	2	2	12	5	5	2	3	2	0	5	3	1	1	2	2	2	47	1	6	6	2	0	3	6	4	8	1	1	0	28	6	1	2	0	16	2	0	2	23	1	34	1	3	1	2	11	0	1	1	3	9	3	0	0	5	0	0	6	3	8	0	0	10	7	1	1	1	31	0	0	0	34	11	7	0	1	0	0	3	13	11	6	7	1	4	0	2	0	3	0	10	0	1	5	0	0	1	4	2	1	1	0	0	3	1	2	9	0	3	1	1	8	2	1	1	5	0	0	14	0
OTU_920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	38	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	37	4	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_685	3	3	0	0	0	17	0	5	2	7	1	2	6	0	1	2	0	6	0	6	0	2	0	10	2	0	0	2	0	7	0	3	1	4	6	2	2	0	13	0	0	4	5	2	0	2	0	0	7	7	5	0	0	2	1	5	1	7	7	0	2	10	6	0	4	3	2	0	0	1	0	16	2	3	1	0	5	13	2	1	0	0	0	0	7	11	3	2	6	2	1	5	2	11	57	9	0	13	0	1	5	0	0	0	0	1	0	0	1	2	1	1	1	0	0	1	3	0	17	0	8	1	2	0	5	4	0	0	0	2	0	1	7	8	2	2	0	3	1	8	7	0	0	0	2	4	8	0	1	0	0	7	0
OTU_318D1	3	5	0	0	0	2	0	0	1	3	7	3	0	0	3	0	2	0	0	15	13	3	0	7	0	0	15	4	0	3	0	2	0	1	0	0	2	0	3	0	0	1	2	8	6	0	0	0	0	2	0	0	1	3	1	1	2	6	16	0	3	1	9	0	2	1	5	0	0	0	0	9	1	0	0	8	0	3	6	2	1	0	0	0	0	1	1	1	0	2	5	0	1	4	3	0	0	2	0	3	12	0	0	1	0	2	0	0	0	3	6	0	1	0	0	1	0	0	15	0	2	0	0	0	0	1	1	0	0	1	0	3	0	0	2	3	0	7	10	3	1	0	0	0	1	4	0	0	0	0	0	1	0
OTU_102	2	9	7	6	5	2	5	4	8	2	14	8	11	3	9	7	3	2	3	9	7	0	13	4	6	9	8	8	4	11	1	9	7	18	2	10	1	7	6	1	3	6	4	4	3	3	5	0	11	7	5	0	1	5	5	3	4	6	4	5	6	4	13	1	12	2	4	10	1	3	5	2	9	1	7	8	11	3	5	3	4	6	1	7	6	1	3	10	7	1	5	6	2	3	9	7	5	2	9	6	12	1	2	2	2	9	1	6	0	8	6	2	4	0	6	4	7	3	9	8	3	9	1	2	0	2	2	3	1	9	6	3	4	8	3	6	3	0	4	5	3	3	0	4	3	6	9	2	4	5	1	7	0
OTU_1240	25	29	2	1	3	20	5	1	4	10	23	4	3	2	29	6	2	1	0	34	41	28	0	5	3	0	40	18	4	22	1	13	12	11	1	4	11	0	3	4	2	1	22	12	8	1	4	1	2	2	3	2	32	1	7	5	2	23	32	2	7	5	33	28	14	1	23	1	1	1	0	14	6	2	0	30	5	6	28	6	17	0	0	20	11	2	6	4	2	1	7	1	1	6	8	8	10	4	1	9	28	0	1	2	3	9	4	1	4	4	2	4	15	14	2	10	2	24	13	5	24	15	2	3	2	1	7	1	0	21	4	6	5	2	3	1	0	7	9	10	15	2	1	1	0	1	3	5	3	0	0	33	0
OTU_83	7	5	11	2	11	17	3	4	11	17	15	6	49	4	11	44	17	10	15	109	94	5	3	15	10	10	90	5	8	12	1	12	2	7	10	13	13	3	4	4	25	17	4	7	4	3	2	42	39	39	37	1	63	21	2	27	6	9	4	18	12	32	112	54	19	19	14	18	2	16	6	36	6	23	42	95	19	17	10	6	3	18	2	3	2	21	6	6	53	9	5	19	12	4	13	6	2	15	12	7	141	18	8	6	13	10	7	12	6	6	23	5	16	66	4	8	17	0	9	8	5	13	3	4	16	5	4	1	17	4	9	4	14	9	6	17	23	4	3	16	3	8	7	8	9	10	14	6	3	31	0	5	0
OTU_436	2	4	0	0	0	16	0	0	9	17	7	7	16	0	0	7	10	0	0	0	0	2	0	5	5	2	1	8	0	13	0	0	0	5	9	5	1	0	3	0	0	9	2	2	1	0	0	0	7	7	4	0	0	6	3	10	1	6	2	0	4	16	0	0	4	2	1	0	0	3	0	9	3	5	0	0	5	13	0	5	1	0	0	6	6	0	0	10	10	3	3	8	7	2	7	0	0	3	0	1	1	0	0	0	0	1	0	0	5	7	6	7	3	0	0	3	8	0	2	0	2	7	0	0	9	7	0	0	0	5	0	1	0	6	10	3	0	6	1	4	1	0	0	0	2	9	10	4	0	0	0	6	0
OTU_1212	5	3	2	0	2	1	2	2	3	5	3	2	2	0	1	2	2	1	0	45	42	0	2	0	1	1	35	4	1	2	3	1	0	2	1	2	8	1	0	2	1	0	2	0	1	0	0	1	9	1	4	1	44	1	0	4	0	3	1	6	2	6	52	36	5	1	7	1	0	1	2	1	2	1	2	33	2	2	3	2	0	0	0	2	1	1	3	2	4	0	0	2	2	1	2	1	1	2	1	2	54	0	3	0	2	0	2	3	1	1	4	3	2	26	2	0	2	1	0	1	0	8	2	0	0	1	2	1	0	3	1	0	1	1	2	4	0	0	0	4	1	1	0	2	1	4	5	1	4	0	0	2	0
OTU_265	1	6	3	1	0	12	3	1	7	9	15	7	20	4	12	9	14	5	15	6	0	1	6	10	8	3	1	16	0	7	3	2	1	7	22	5	8	1	15	2	10	31	0	1	12	14	4	0	24	6	15	4	4	12	12	19	10	10	1	10	13	25	4	4	5	13	10	3	0	15	2	8	9	9	29	0	18	10	3	4	3	2	1	1	1	6	6	5	17	15	6	21	4	3	6	1	1	21	1	8	15	19	2	12	0	3	4	3	2	8	19	5	45	4	2	3	9	8	8	1	4	5	3	1	12	4	3	0	3	0	0	5	14	7	1	9	3	5	3	11	2	1	4	3	12	10	8	5	3	11	0	3	0
OTU_29	2	3	0	0	0	0	0	0	33	52	7	1	4	0	1	2	0	0	0	10	3	1	0	8	2	0	1	1	0	3	0	5	2	12	2	4	22	0	2	9	0	3	0	5	3	0	0	0	3	4	3	0	0	0	5	1	0	7	0	0	9	2	5	0	1	2	5	0	0	1	0	5	4	3	0	2	3	1	12	1	1	0	0	18	12	0	2	22	5	0	18	1	0	1	2	0	0	10	0	3	11	0	0	1	0	6	0	0	0	0	0	5	10	0	0	6	0	0	7	0	3	4	0	0	1	2	0	0	0	28	0	3	0	5	1	0	0	1	0	8	4	0	0	0	0	0	7	3	0	0	0	6	0
OTU_105	17	11	0	0	1	17	1	0	20	19	6	9	40	2	14	22	16	0	0	0	0	17	0	27	7	8	0	10	1	24	6	23	2	33	16	7	27	0	9	8	0	15	5	12	2	5	0	4	43	20	6	0	0	17	24	17	9	18	21	1	16	49	1	0	3	12	12	0	0	17	0	27	11	12	0	0	22	14	17	6	8	0	10	25	7	4	14	13	35	6	16	17	10	5	9	0	3	18	0	22	3	0	1	7	5	6	2	0	4	10	17	3	21	0	4	14	19	0	20	3	7	11	1	0	18	4	5	0	0	11	8	12	0	11	6	13	0	2	3	14	4	1	2	6	16	12	19	7	0	0	0	13	0
OTU_750	1	1	0	0	0	1	1	0	1	2	3	1	3	0	2	3	3	1	0	14	13	0	0	3	1	1	23	1	0	2	0	4	0	2	0	0	1	0	2	2	0	4	0	0	1	0	0	0	5	3	3	0	0	3	0	6	0	1	0	0	2	5	34	0	1	1	3	0	2	6	0	2	2	2	0	15	5	1	0	0	0	1	0	0	0	0	1	0	2	0	1	1	2	2	2	0	1	0	0	1	20	1	0	0	0	0	0	1	0	1	5	0	2	0	0	0	0	0	1	1	1	0	0	0	5	0	1	0	0	1	1	0	1	3	0	4	1	1	0	5	4	1	0	0	1	2	1	0	0	0	0	0	0
OTU_381	1	3	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	13	2	0	0	1	3	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	3	0	0	2	0	1	1	0	0	0	1	1	5	1	0	1	2	1	1	3	0	0	1	0	1	0	0	2	0	1	1	0	0	0	0	1	1	0	1	0	1	8	2	1	1	0	0	1	1	3	0	0	0	3	2	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
OTU_918	2	0	1	1	0	1	0	0	0	0	1	1	3	0	1	2	0	3	0	9	5	0	0	0	2	0	5	1	0	1	0	0	0	0	0	0	0	2	0	1	1	2	1	0	0	0	1	3	1	0	1	0	2	2	0	0	0	1	0	3	0	1	4	5	1	0	0	0	1	1	0	0	0	1	3	10	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	4	1	0	0	2	0	0	1	0	1	5	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0	0	3	1	2	0	1	0	0	1
OTU_708	2	4	0	0	5	2	3	1	3	2	12	1	2	0	1	0	1	0	0	21	15	0	5	1	3	6	13	3	1	1	2	5	0	0	1	5	2	3	1	2	0	2	1	0	3	0	1	0	5	3	1	2	14	2	1	2	3	2	0	0	4	4	18	8	2	1	3	1	5	0	0	1	0	1	0	13	4	2	1	3	5	2	0	2	2	1	1	2	8	0	0	2	1	0	1	0	1	3	4	4	12	0	0	1	0	4	0	0	0	1	5	3	1	9	0	2	3	3	0	0	1	5	1	4	2	2	4	0	0	1	2	1	0	5	1	5	0	1	2	5	0	0	0	2	0	6	2	0	2	0	0	2	0
OTU_483D1	9	9	1	0	1	0	1	1	8	4	5	4	1	0	7	1	0	1	3	0	0	4	2	10	4	0	0	1	0	27	1	11	5	8	0	0	11	1	1	12	0	0	7	11	3	2	0	0	2	0	2	1	0	0	5	4	2	19	8	2	5	3	0	0	1	1	1	0	0	3	1	3	4	4	1	1	6	2	12	0	5	0	0	13	6	0	5	9	0	1	9	1	2	5	22	2	1	6	1	8	1	0	3	1	1	6	3	0	3	0	1	1	0	0	3	7	7	1	34	0	9	7	0	0	1	1	0	1	0	6	3	5	2	2	0	1	1	4	5	12	1	0	2	2	1	3	1	3	2	2	0	6	0
OTU_50	1	0	0	0	0	0	0	0	3	1	1	1	8	0	1	3	0	2	1	32	14	0	2	1	0	1	20	0	0	0	2	0	0	1	1	0	2	0	0	0	1	2	0	0	0	0	2	0	2	0	0	1	3	1	0	0	0	0	0	2	1	3	43	7	1	1	0	2	0	1	0	1	0	0	3	25	2	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	1	2	1	1	2	6	0	1	51	0	0	1	1	0	0	1	0	1	3	2	1	3	1	1	0	2	0	1	1	1	0	0	0	0	0	0	0	1	0	1	2	0	0	2	1	1	2	2	0	0	0	1	0	1	1	0	0	0	0	0	0
OTU_1203	5	1	11	3	11	2	12	4	4	1	2	1	5	13	0	3	5	7	3	27	42	3	7	4	1	2	44	1	16	0	3	1	5	4	1	3	4	7	0	9	3	5	2	2	0	2	4	3	4	2	1	5	33	0	1	5	2	4	2	12	2	5	35	24	7	5	2	13	22	1	9	1	5	2	5	33	4	2	3	4	10	1	11	14	2	0	4	0	3	1	1	4	2	0	2	13	6	1	6	2	32	9	5	1	8	2	11	3	1	4	3	5	3	27	17	4	2	16	1	5	0	6	14	10	1	1	8	6	2	3	5	4	10	3	1	2	4	3	3	3	1	4	13	9	0	2	1	2	11	4	0	1	1
OTU_762	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	33	62	0	0	0	1	0	54	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	41	1	0	1	0	0	0	1	0	5	54	31	3	3	0	0	0	1	0	1	1	0	1	47	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	1	1	0	0	52	0	0	0	0	0	0	0	1	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0
OTU_236	0	0	0	0	0	2	0	1	1	2	1	1	0	1	1	3	4	2	0	0	2	1	0	0	1	2	4	0	0	1	0	0	0	3	1	0	1	0	1	0	0	3	0	1	0	0	0	0	1	0	5	0	0	0	4	3	1	1	0	1	1	0	1	0	0	1	0	0	1	1	0	2	1	1	1	0	0	1	0	1	1	0	0	2	0	0	1	1	1	0	1	6	0	0	1	0	3	2	0	1	1	0	0	0	1	1	2	0	1	1	3	0	2	0	1	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	9	4	2	0	0	0	0	0	0
OTU_239	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	66	45	0	0	0	0	0	62	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	27	2	0	0	0	0	0	0	0	0	56	35	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_73	4	0	1	1	0	0	2	0	0	1	0	4	0	2	2	0	3	1	0	36	39	0	3	3	4	2	43	2	3	2	1	5	2	2	2	0	3	1	2	0	0	1	2	0	0	0	1	0	3	2	1	1	93	1	3	1	2	2	1	3	1	1	44	55	5	1	4	2	5	0	1	5	1	1	1	33	0	0	0	3	3	3	1	1	0	3	3	0	3	1	1	0	1	3	4	4	0	0	3	2	48	0	1	3	2	2	0	1	3	5	1	1	1	49	0	2	2	2	1	1	0	2	1	2	1	1	0	0	0	3	2	0	0	1	1	0	1	1	3	4	2	1	0	1	0	1	2	1	0	0	0	2	0
OTU_172	1	2	2	1	1	2	1	1	3	6	5	0	4	0	0	1	3	2	2	0	0	4	2	1	2	10	1	2	2	6	3	8	2	1	1	0	3	3	1	6	0	1	2	3	0	0	3	0	5	4	5	2	1	2	0	4	3	5	3	3	2	8	0	0	0	0	2	0	2	0	2	3	1	3	1	0	2	1	12	2	0	1	0	11	2	0	2	3	2	1	6	3	2	3	1	0	2	0	2	1	0	1	0	0	0	8	1	0	1	3	0	0	3	0	1	4	1	1	2	1	0	3	0	0	0	0	1	1	2	4	0	2	2	0	1	0	2	1	0	5	0	0	2	0	1	1	1	0	0	2	0	0	0
OTU_745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	21	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	26	19	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	32	0	0	0	1	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	22	1	0	0	1	0	0	0	0	2	22	43	0	2	0	0	0	2	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	1	0	1	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU_85	0	1	0	0	1	0	0	1	1	0	0	1	8	1	0	3	1	2	0	26	21	0	0	3	1	1	16	0	0	0	0	0	0	0	0	0	2	1	0	2	0	3	0	0	0	1	0	0	3	2	3	0	10	1	1	0	0	0	0	1	1	2	19	16	1	1	1	0	0	2	0	0	0	2	2	21	2	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	1	0	0	0	2	1	0	0	41	2	0	0	0	0	0	0	0	1	1	0	1	16	0	0	2	0	1	0	1	1	0	0	2	2	0	0	0	1	3	1	1	0	1	0	0	0	3	1	0	0	0	2	1	1	0	1	1	1	0	1	0
