microbes	genotype	compartment	experiment_biological	_compartment_genotype_tech	fw
FP2A1bio2BFOrar1tech1endophytesfungi	BFO	rar1	endophytes	A1_bio2	A1_bio2_rar1_BFO_tech1	0.062
FP2A1bio2BFOsoiltech1soilfungi	BFO	soil	soil	A1_bio2	A1_bio2_soil_BFO_tech1	NA
FP2A1bio2BFOsoiltech2soilfungi	BFO	soil	soil	A1_bio2	A1_bio2_soil_BFO_tech2	NA
FP2A1bio2BFOsoiltech3soilfungi	BFO	soil	soil	A1_bio2	A1_bio2_soil_BFO_tech3	NA
FP2A1bio2BFOsoiltech4soilfungi	BFO	soil	soil	A1_bio2	A1_bio2_soil_BFO_tech4	NA
FP2A1bio4BFOWTtech1endophytesfungi	BFO	WT	endophytes	A1_bio4	A1_bio4_WT_BFO_tech1	0.034375
FP2A1bio4BFOWTtech2endophytesfungi	BFO	WT	endophytes	A1_bio4	A1_bio4_WT_BFO_tech2	0.030125
FP2A1bio4BFOWTtech3endophytesfungi	BFO	WT	endophytes	A1_bio4	A1_bio4_WT_BFO_tech3	0.028175
FP2A1bio4BFOkai2tech1endophytesfungi	BFO	kai2	endophytes	A1_bio4	A1_bio4_kai2_BFO_tech1	0.0218
FP2A1bio4BFOkai2tech2endophytesfungi	BFO	kai2	endophytes	A1_bio4	A1_bio4_kai2_BFO_tech2	0.026725
FP2A1bio4BFOkai2tech3endophytesfungi	BFO	kai2	endophytes	A1_bio4	A1_bio4_kai2_BFO_tech3	0.0312333333333333
FP2A1bio4BFOkai2tech4endophytesfungi	BFO	kai2	endophytes	A1_bio4	A1_bio4_kai2_BFO_tech4	0.059625
FP2A1bio4BFOwrky3340tech1endophytesfungi	BFO	wrky3340	endophytes	A1_bio4	A1_bio4_wrky3340_BFO_tech1	0.0147
FP2A1bio4BFOwrky3340tech2endophytesfungi	BFO	wrky3340	endophytes	A1_bio4	A1_bio4_wrky3340_BFO_tech2	0.029175
FP2A1bio4BFOwrky3340tech3endophytesfungi	BFO	wrky3340	endophytes	A1_bio4	A1_bio4_wrky3340_BFO_tech3	0.031225
FP2A1bio4BFOwrky3340tech4endophytesfungi	BFO	wrky3340	endophytes	A1_bio4	A1_bio4_wrky3340_BFO_tech4	0.0291666666666667
FP2A1bio4BFOefrfls2cerk1tech1endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio4	A1_bio4_efrfls2cerk1_BFO_tech1	0.02265
FP2A1bio4BFOefrfls2cerk1tech2endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio4	A1_bio4_efrfls2cerk1_BFO_tech2	0.0354
FP2A1bio4BFOefrfls2cerk1tech3endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio4	A1_bio4_efrfls2cerk1_BFO_tech3	0.029625
FP2A1bio4BFOefrfls2cerk1tech4endophytesfungi	BFO	efrfls2cerk1	endophytes	A1_bio4	A1_bio4_efrfls2cerk1_BFO_tech4	0.04195
FP2A1bio4BFObak1bkk1tech1endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio4	A1_bio4_bak1bkk1_BFO_tech1	0.02525
FP2A1bio4BFObak1bkk1tech2endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio4	A1_bio4_bak1bkk1_BFO_tech2	0.0382
FP2A1bio4BFObak1bkk1tech3endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio4	A1_bio4_bak1bkk1_BFO_tech3	0.026075
FP2A1bio4BFObak1bkk1tech4endophytesfungi	BFO	bak1bkk1	endophytes	A1_bio4	A1_bio4_bak1bkk1_BFO_tech4	0.02455
FP2A1bio4BFOcyp79b2b3tech1endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio4	A1_bio4_cyp79b2b3_BFO_tech1	0.0274
FP2A1bio4BFOcyp79b2b3tech2endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio4	A1_bio4_cyp79b2b3_BFO_tech2	0.0222666666666667
FP2A1bio4BFOcyp79b2b3tech3endophytesfungi	BFO	cyp79b2b3	endophytes	A1_bio4	A1_bio4_cyp79b2b3_BFO_tech3	0.04435
FP2A1bio4BFOdepstech1endophytesfungi	BFO	deps	endophytes	A1_bio4	A1_bio4_deps_BFO_tech1	0.0095
FP2A1bio4BFOdepstech2endophytesfungi	BFO	deps	endophytes	A1_bio4	A1_bio4_deps_BFO_tech2	0.024025
FP2A1bio4BFOdepstech3endophytesfungi	BFO	deps	endophytes	A1_bio4	A1_bio4_deps_BFO_tech3	0.06585
FP2A1bio4BFOdepstech4endophytesfungi	BFO	deps	endophytes	A1_bio4	A1_bio4_deps_BFO_tech4	0.0413
FP2A1bio4BFOquintech1endophytesfungi	BFO	quin	endophytes	A1_bio4	A1_bio4_quin_BFO_tech1	0.0161
FP2A1bio4BFOquintech2endophytesfungi	BFO	quin	endophytes	A1_bio4	A1_bio4_quin_BFO_tech2	0.0392
FP2A1bio4BFOquintech3endophytesfungi	BFO	quin	endophytes	A1_bio4	A1_bio4_quin_BFO_tech3	0.0306
FP2A1bio4BFOquintech4endophytesfungi	BFO	quin	endophytes	A1_bio4	A1_bio4_quin_BFO_tech4	NA
FP2A1bio4BFOpad4tech1endophytesfungi	BFO	pad4	endophytes	A1_bio4	A1_bio4_pad4_BFO_tech1	0.0392
FP2A1bio4BFOpad4tech2endophytesfungi	BFO	pad4	endophytes	A1_bio4	A1_bio4_pad4_BFO_tech2	0.054125
FP2A1bio4BFOpad4tech3endophytesfungi	BFO	pad4	endophytes	A1_bio4	A1_bio4_pad4_BFO_tech3	0.036675
FP2A1bio4BFOpad4tech4endophytesfungi	BFO	pad4	endophytes	A1_bio4	A1_bio4_pad4_BFO_tech4	0.0390333333333333
FP2A1bio4BFOrar1tech1endophytesfungi	BFO	rar1	endophytes	A1_bio4	A1_bio4_rar1_BFO_tech1	0.026575
FP2A1bio4BFOrar1tech2endophytesfungi	BFO	rar1	endophytes	A1_bio4	A1_bio4_rar1_BFO_tech2	0.0269
FP2A1bio4BFOrar1tech3endophytesfungi	BFO	rar1	endophytes	A1_bio4	A1_bio4_rar1_BFO_tech3	0.026575
FP2A1bio4BFOrar1tech4endophytesfungi	BFO	rar1	endophytes	A1_bio4	A1_bio4_rar1_BFO_tech4	0.015225
FP2A1bio4BFOsoiltech1soilfungi	BFO	soil	soil	A1_bio4	A1_bio4_soil_BFO_tech1	NA
FP2A1bio4BFOsoiltech2soilfungi	BFO	soil	soil	A1_bio4	A1_bio4_soil_BFO_tech2	NA
FP2A1bio4BFOsoiltech3soilfungi	BFO	soil	soil	A1_bio4	A1_bio4_soil_BFO_tech3	NA
FP2A1bio4BFOsoiltech4soilfungi	BFO	soil	soil	A1_bio4	A1_bio4_soil_BFO_tech4	NA
FP2A1bio1initialinitialtech1initialfungi	initial	initial	initial	A1_bio1	A1_bio1_initial_initial_tech1	NA
FP2A1bio1initialinitialtech2initialfungi	initial	initial	initial	A1_bio1	A1_bio1_initial_initial_tech2	NA
FP2A1bio1initialinitialtech3initialfungi	initial	initial	initial	A1_bio1	A1_bio1_initial_initial_tech3	NA
FP2A1bio2initialinitialtech1initialfungi	initial	initial	initial	A1_bio2	A1_bio2_initial_initial_tech1	NA
FP2A1bio2initialinitialtech2initialfungi	initial	initial	initial	A1_bio2	A1_bio2_initial_initial_tech2	NA
FP2A1bio2initialinitialtech3initialfungi	initial	initial	initial	A1_bio2	A1_bio2_initial_initial_tech3	NA
FP2A1bio4initialinitialtech1initialfungi	initial	initial	initial	A1_bio4	A1_bio4_initial_initial_tech1	NA
FP2A1bio4initialinitialtech2initialfungi	initial	initial	initial	A1_bio4	A1_bio4_initial_initial_tech2	NA
FP2A1bio4initialinitialtech3initialfungi	initial	initial	initial	A1_bio4	A1_bio4_initial_initial_tech3	NA
FP3A41BFOWTnew1endophytesfungi	BFO	WTnew	endophytes	A4_bio1	A4_bio1_WT_new_BFO_tech1	0.034225
FP3A41BFOWTnew2endophytesfungi	BFO	WTnew	endophytes	A4_bio1	A4_bio1_WT_new_BFO_tech2	0.034025
FP3A41BFOWTnew3endophytesfungi	BFO	WTnew	endophytes	A4_bio1	A4_bio1_WT_new_BFO_tech3	0.019225
FP3A41BFOWTnew4endophytesfungi	BFO	WTnew	endophytes	A4_bio1	A4_bio1_WT_new_BFO_tech4	0.03755
FP3A41BFObri3011endophytesfungi	BFO	bri301	endophytes	A4_bio1	A4_bio1_bri301_BFO_tech1	0.027475
FP3A41BFObri3012endophytesfungi	BFO	bri301	endophytes	A4_bio1	A4_bio1_bri301_BFO_tech2	0.022775
FP3A41BFObri3013endophytesfungi	BFO	bri301	endophytes	A4_bio1	A4_bio1_bri301_BFO_tech3	0.029425
FP3A41BFObri3014endophytesfungi	BFO	bri301	endophytes	A4_bio1	A4_bio1_bri301_BFO_tech4	0.0194
FP3A41BFOlyk51endophytesfungi	BFO	lyk5	endophytes	A4_bio1	A4_bio1_lyk5_BFO_tech1	0.023
FP3A41BFOlyk52endophytesfungi	BFO	lyk5	endophytes	A4_bio1	A4_bio1_lyk5_BFO_tech2	0.0497333333333333
FP3A41BFOlyk53endophytesfungi	BFO	lyk5	endophytes	A4_bio1	A4_bio1_lyk5_BFO_tech3	0.0315
FP3A41BFOlyk54endophytesfungi	BFO	lyk5	endophytes	A4_bio1	A4_bio1_lyk5_BFO_tech4	0.02895
FP3A41BFOcyp79b2b3new1endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio1	A4_bio1_cyp79b2b3_new_BFO_tech1	0.0178
FP3A41BFOcyp79b2b3new2endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio1	A4_bio1_cyp79b2b3_new_BFO_tech2	0.0092
FP3A41BFOcyp79b2b3new3endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio1	A4_bio1_cyp79b2b3_new_BFO_tech3	0.0493333333333333
FP3A41BFOcyp79b2b3new4endophytesfungi	BFO	cyp79b2b3new	endophytes	A4_bio1	A4_bio1_cyp79b2b3_new_BFO_tech4	0.0429
FP3A41BFOwrky331endophytesfungi	BFO	wrky33	endophytes	A4_bio1	A4_bio1_wrky33_BFO_tech1	0.04175
FP3A41BFOwrky332endophytesfungi	BFO	wrky33	endophytes	A4_bio1	A4_bio1_wrky33_BFO_tech2	0.037425
FP3A41BFOwrky333endophytesfungi	BFO	wrky33	endophytes	A4_bio1	A4_bio1_wrky33_BFO_tech3	0.0253
FP3A41BFOwrky334endophytesfungi	BFO	wrky33	endophytes	A4_bio1	A4_bio1_wrky33_BFO_tech4	0.021675
FP3A41BFOapex11endophytesfungi	BFO	apex1	endophytes	A4_bio1	A4_bio1_apex1_BFO_tech1	0.0345
FP3A41BFOapex12endophytesfungi	BFO	apex1	endophytes	A4_bio1	A4_bio1_apex1_BFO_tech2	0.038125
FP3A41BFOapex13endophytesfungi	BFO	apex1	endophytes	A4_bio1	A4_bio1_apex1_BFO_tech3	0.03885
FP3A41BFOapex14endophytesfungi	BFO	apex1	endophytes	A4_bio1	A4_bio1_apex1_BFO_tech4	0.0272
FP3A41BFOapex21endophytesfungi	BFO	apex2	endophytes	A4_bio1	A4_bio1_apex2_BFO_tech1	0.0449
