	barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	exp_bio_gen_microbes_tech	Description
FP2A1bio4initialinitialtech1initialfungi	ITS1_89	FP2	A1	bio4	initial	initial	tech1	initial	fungi	initial	initial	initial	initial	initial	A1_bio4	initial_A1_bio4	initial_bio4	A1_bio4_initial_initial_tech1	FP2A1bio4initialinitialtech1initialfungi
FP2A1bio4initialinitialtech2initialfungi	ITS1_90	FP2	A1	bio4	initial	initial	tech2	initial	fungi	initial	initial	initial	initial	initial	A1_bio4	initial_A1_bio4	initial_bio4	A1_bio4_initial_initial_tech2	FP2A1bio4initialinitialtech2initialfungi
FP2A1bio4initialinitialtech3initialfungi	ITS1_91	FP2	A1	bio4	initial	initial	tech3	initial	fungi	initial	initial	initial	initial	initial	A1_bio4	initial_A1_bio4	initial_bio4	A1_bio4_initial_initial_tech3	FP2A1bio4initialinitialtech3initialfungi
FP4A41initialinitial1initialfungi	ITS1_43	FP4	A4	bio1	initial_new	initial_new	tech1	initial_new	fungi	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio1	initial_new_A4_bio1	initial_new_bio1	A4_bio1_initial_new_initial_new_tech1	FP4A41initial_newinitial_new1initial_newfungi
FP4A41initialinitial2initialfungi	ITS1_44	FP4	A4	bio1	initial_new	initial_new	tech2	initial_new	fungi	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio1	initial_new_A4_bio1	initial_new_bio1	A4_bio1_initial_new_initial_new_tech2	FP4A41initial_newinitial_new2initial_newfungi
FP4A41initialinitial3initialfungi	ITS1_45	FP4	A4	bio1	initial_new	initial_new	tech3	initial_new	fungi	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio1	initial_new_A4_bio1	initial_new_bio1	A4_bio1_initial_new_initial_new_tech3	FP4A41initial_newinitial_new3initial_newfungi
FP4A42initialinitial1initialfungi	ITS1_46	FP4	A4	bio2	initial_new	initial_new	tech1	initial_new	fungi	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio2	initial_new_A4_bio2	initial_new_bio2	A4_bio2_initial_new_initial_new_tech1	FP4A42initial_newinitial_new1initial_newfungi
FP4A42initialinitial2initialfungi	ITS1_47	FP4	A4	bio2	initial_new	initial_new	tech2	initial_new	fungi	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio2	initial_new_A4_bio2	initial_new_bio2	A4_bio2_initial_new_initial_new_tech2	FP4A42initial_newinitial_new2initial_newfungi
FP4A42initialinitial3initialfungi	ITS1_48	FP4	A4	bio2	initial_new	initial_new	tech3	initial_new	fungi	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio2	initial_new_A4_bio2	initial_new_bio2	A4_bio2_initial_new_initial_new_tech3	FP4A42initial_newinitial_new3initial_newfungi
FP4A44initialinitial1initialfungi	ITS1_49	FP4	A4	bio4	initial_new	initial_new	tech1	initial_new	fungi	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio4	initial_new_A4_bio4	initial_new_bio4	A4_bio4_initial_new_initial_new_tech1	FP4A44initial_newinitial_new1initial_newfungi
FP4A44initialinitial2initialfungi	ITS1_50	FP4	A4	bio4	initial_new	initial_new	tech2	initial_new	fungi	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio4	initial_new_A4_bio4	initial_new_bio4	A4_bio4_initial_new_initial_new_tech2	FP4A44initial_newinitial_new2initial_newfungi
FP4A44initialinitial3initialfungi	ITS1_51	FP4	A4	bio4	initial_new	initial_new	tech3	initial_new	fungi	initial_new	initial_new	initial_new	initial_new	initial_new	A4_bio4	initial_new_A4_bio4	initial_new_bio4	A4_bio4_initial_new_initial_new_tech3	FP4A44initial_newinitial_new3initial_newfungi
FP3A41BFOlyk51endophytesfungi	ITS1_9	FP3	A4	bio1	BFO	lyk5	tech1	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio1	lyk5_A4_bio1	lyk5_bio1	A4_bio1_lyk5_BFO_tech1	FP3A41BFOlyk51endophytesfungi
FP3A41BFOlyk52endophytesfungi	ITS1_10	FP3	A4	bio1	BFO	lyk5	tech2	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio1	lyk5_A4_bio1	lyk5_bio1	A4_bio1_lyk5_BFO_tech2	FP3A41BFOlyk52endophytesfungi
FP3A41BFOlyk53endophytesfungi	ITS1_11	FP3	A4	bio1	BFO	lyk5	tech3	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio1	lyk5_A4_bio1	lyk5_bio1	A4_bio1_lyk5_BFO_tech3	FP3A41BFOlyk53endophytesfungi
FP3A41BFOlyk54endophytesfungi	ITS1_12	FP3	A4	bio1	BFO	lyk5	tech4	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio1	lyk5_A4_bio1	lyk5_bio1	A4_bio1_lyk5_BFO_tech4	FP3A41BFOlyk54endophytesfungi
FP3A42BFOlyk51endophytesfungi	ITS1_55	FP3	A4	bio2	BFO	lyk5	tech1	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio2	lyk5_A4_bio2	lyk5_bio2	A4_bio2_lyk5_BFO_tech1	FP3A42BFOlyk51endophytesfungi
FP3A42BFOlyk52endophytesfungi	ITS1_56	FP3	A4	bio2	BFO	lyk5	tech2	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio2	lyk5_A4_bio2	lyk5_bio2	A4_bio2_lyk5_BFO_tech2	FP3A42BFOlyk52endophytesfungi
FP3A42BFOlyk53endophytesfungi	ITS1_57	FP3	A4	bio2	BFO	lyk5	tech3	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio2	lyk5_A4_bio2	lyk5_bio2	A4_bio2_lyk5_BFO_tech3	FP3A42BFOlyk53endophytesfungi
FP3A42BFOlyk54endophytesfungi	ITS1_58	FP3	A4	bio2	BFO	lyk5	tech4	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio2	lyk5_A4_bio2	lyk5_bio2	A4_bio2_lyk5_BFO_tech4	FP3A42BFOlyk54endophytesfungi
FP4A44BFOlyk51endophytesfungi	ITS1_5	FP4	A4	bio4	BFO	lyk5	tech1	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio4	lyk5_A4_bio4	lyk5_bio4	A4_bio4_lyk5_BFO_tech1	FP4A44BFOlyk51endophytesfungi
FP4A44BFOlyk52endophytesfungi	ITS1_6	FP4	A4	bio4	BFO	lyk5	tech2	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio4	lyk5_A4_bio4	lyk5_bio4	A4_bio4_lyk5_BFO_tech2	FP4A44BFOlyk52endophytesfungi
FP4A44BFOlyk53endophytesfungi	ITS1_7	FP4	A4	bio4	BFO	lyk5	tech3	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio4	lyk5_A4_bio4	lyk5_bio4	A4_bio4_lyk5_BFO_tech3	FP4A44BFOlyk53endophytesfungi
FP4A44BFOlyk54endophytesfungi	ITS1_8	FP4	A4	bio4	BFO	lyk5	tech4	endophytes	fungi	lyk5_endophytes	lyk5_BFO	endophytes_BFO	lyk5_endophytes_BFO	no	A4_bio4	lyk5_A4_bio4	lyk5_bio4	A4_bio4_lyk5_BFO_tech4	FP4A44BFOlyk54endophytesfungi
FP1A1bio1BFOpad4tech1endophytesfungi	ITS1_33	FP1	A1	bio1	BFO	pad4	tech1	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio1	pad4_A1_bio1	pad4_bio1	A1_bio1_pad4_BFO_tech1	FP1A1bio1BFOpad4tech1endophytesfungi
FP1A1bio1BFOpad4tech2endophytesfungi	ITS1_34	FP1	A1	bio1	BFO	pad4	tech2	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio1	pad4_A1_bio1	pad4_bio1	A1_bio1_pad4_BFO_tech2	FP1A1bio1BFOpad4tech2endophytesfungi
FP1A1bio1BFOpad4tech3endophytesfungi	ITS1_35	FP1	A1	bio1	BFO	pad4	tech3	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio1	pad4_A1_bio1	pad4_bio1	A1_bio1_pad4_BFO_tech3	FP1A1bio1BFOpad4tech3endophytesfungi
FP1A1bio1BFOpad4tech4endophytesfungi	ITS1_36	FP1	A1	bio1	BFO	pad4	tech4	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio1	pad4_A1_bio1	pad4_bio1	A1_bio1_pad4_BFO_tech4	FP1A1bio1BFOpad4tech4endophytesfungi
FP1A1bio2BFOpad4tech1endophytesfungi	ITS1_87	FP1	A1	bio2	BFO	pad4	tech1	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio2	pad4_A1_bio2	pad4_bio2	A1_bio2_pad4_BFO_tech1	FP1A1bio2BFOpad4tech1endophytesfungi
FP1A1bio2BFOpad4tech2endophytesfungi	ITS1_88	FP1	A1	bio2	BFO	pad4	tech2	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio2	pad4_A1_bio2	pad4_bio2	A1_bio2_pad4_BFO_tech2	FP1A1bio2BFOpad4tech2endophytesfungi
FP1A1bio2BFOpad4tech3endophytesfungi	ITS1_89	FP1	A1	bio2	BFO	pad4	tech3	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio2	pad4_A1_bio2	pad4_bio2	A1_bio2_pad4_BFO_tech3	FP1A1bio2BFOpad4tech3endophytesfungi
FP1A1bio2BFOpad4tech4endophytesfungi	ITS1_90	FP1	A1	bio2	BFO	pad4	tech4	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio2	pad4_A1_bio2	pad4_bio2	A1_bio2_pad4_BFO_tech4	FP1A1bio2BFOpad4tech4endophytesfungi
FP2A1bio4BFOpad4tech1endophytesfungi	ITS1_36	FP2	A1	bio4	BFO	pad4	tech1	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio4	pad4_A1_bio4	pad4_bio4	A1_bio4_pad4_BFO_tech1	FP2A1bio4BFOpad4tech1endophytesfungi
FP2A1bio4BFOpad4tech2endophytesfungi	ITS1_37	FP2	A1	bio4	BFO	pad4	tech2	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio4	pad4_A1_bio4	pad4_bio4	A1_bio4_pad4_BFO_tech2	FP2A1bio4BFOpad4tech2endophytesfungi
FP2A1bio4BFOpad4tech3endophytesfungi	ITS1_38	FP2	A1	bio4	BFO	pad4	tech3	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio4	pad4_A1_bio4	pad4_bio4	A1_bio4_pad4_BFO_tech3	FP2A1bio4BFOpad4tech3endophytesfungi
FP2A1bio4BFOpad4tech4endophytesfungi	ITS1_39	FP2	A1	bio4	BFO	pad4	tech4	endophytes	fungi	pad4_endophytes	pad4_BFO	endophytes_BFO	pad4_endophytes_BFO	no	A1_bio4	pad4_A1_bio4	pad4_bio4	A1_bio4_pad4_BFO_tech4	FP2A1bio4BFOpad4tech4endophytesfungi
FP1A1bio1BFOrar1tech1endophytesfungi	ITS1_37	FP1	A1	bio1	BFO	rar1	tech1	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio1	rar1_A1_bio1	rar1_bio1	A1_bio1_rar1_BFO_tech1	FP1A1bio1BFOrar1tech1endophytesfungi
FP1A1bio1BFOrar1tech2endophytesfungi	ITS1_38	FP1	A1	bio1	BFO	rar1	tech2	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio1	rar1_A1_bio1	rar1_bio1	A1_bio1_rar1_BFO_tech2	FP1A1bio1BFOrar1tech2endophytesfungi
FP1A1bio1BFOrar1tech3endophytesfungi	ITS1_39	FP1	A1	bio1	BFO	rar1	tech3	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio1	rar1_A1_bio1	rar1_bio1	A1_bio1_rar1_BFO_tech3	FP1A1bio1BFOrar1tech3endophytesfungi
FP1A1bio1BFOrar1tech4endophytesfungi	ITS1_40	FP1	A1	bio1	BFO	rar1	tech4	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio1	rar1_A1_bio1	rar1_bio1	A1_bio1_rar1_BFO_tech4	FP1A1bio1BFOrar1tech4endophytesfungi
FP1A1bio2BFOrar1tech2endophytesfungi	ITS1_91	FP1	A1	bio2	BFO	rar1	tech2	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio2	rar1_A1_bio2	rar1_bio2	A1_bio2_rar1_BFO_tech2	FP1A1bio2BFOrar1tech2endophytesfungi
FP1A1bio2BFOrar1tech3endophytesfungi	ITS1_92	FP1	A1	bio2	BFO	rar1	tech3	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio2	rar1_A1_bio2	rar1_bio2	A1_bio2_rar1_BFO_tech3	FP1A1bio2BFOrar1tech3endophytesfungi
FP2A1bio2BFOrar1tech1endophytesfungi	ITS1_1	FP2	A1	bio2	BFO	rar1	tech1	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio2	rar1_A1_bio2	rar1_bio2	A1_bio2_rar1_BFO_tech1	FP2A1bio2BFOrar1tech1endophytesfungi
FP2A1bio4BFOrar1tech1endophytesfungi	ITS1_40	FP2	A1	bio4	BFO	rar1	tech1	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio4	rar1_A1_bio4	rar1_bio4	A1_bio4_rar1_BFO_tech1	FP2A1bio4BFOrar1tech1endophytesfungi
FP2A1bio4BFOrar1tech2endophytesfungi	ITS1_41	FP2	A1	bio4	BFO	rar1	tech2	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio4	rar1_A1_bio4	rar1_bio4	A1_bio4_rar1_BFO_tech2	FP2A1bio4BFOrar1tech2endophytesfungi
FP2A1bio4BFOrar1tech3endophytesfungi	ITS1_42	FP2	A1	bio4	BFO	rar1	tech3	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio4	rar1_A1_bio4	rar1_bio4	A1_bio4_rar1_BFO_tech3	FP2A1bio4BFOrar1tech3endophytesfungi
FP2A1bio4BFOrar1tech4endophytesfungi	ITS1_43	FP2	A1	bio4	BFO	rar1	tech4	endophytes	fungi	rar1_endophytes	rar1_BFO	endophytes_BFO	rar1_endophytes_BFO	no	A1_bio4	rar1_A1_bio4	rar1_bio4	A1_bio4_rar1_BFO_tech4	FP2A1bio4BFOrar1tech4endophytesfungi
FP1A1bio1BFOsoiltech1soilfungi	ITS1_41	FP1	A1	bio1	BFO	soil	tech1	soil	fungi	soil_soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio1	soil_A1_bio1	soil_bio1	A1_bio1_soil_BFO_tech1	FP1A1bio1BFOsoiltech1soilfungi
FP1A1bio1BFOsoiltech2soilfungi	ITS1_42	FP1	A1	bio1	BFO	soil	tech2	soil	fungi	soil_soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio1	soil_A1_bio1	soil_bio1	A1_bio1_soil_BFO_tech2	FP1A1bio1BFOsoiltech2soilfungi
FP1A1bio1BFOsoiltech3soilfungi	ITS1_43	FP1	A1	bio1	BFO	soil	tech3	soil	fungi	soil_soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio1	soil_A1_bio1	soil_bio1	A1_bio1_soil_BFO_tech3	FP1A1bio1BFOsoiltech3soilfungi
FP1A1bio1BFOsoiltech4soilfungi	ITS1_44	FP1	A1	bio1	BFO	soil	tech4	soil	fungi	soil_soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio1	soil_A1_bio1	soil_bio1	A1_bio1_soil_BFO_tech4	FP1A1bio1BFOsoiltech4soilfungi
FP2A1bio2BFOsoiltech1soilfungi	ITS1_2	FP2	A1	bio2	BFO	soil	tech1	soil	fungi	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio2	soil_A1_bio2	soil_bio2	A1_bio2_soil_BFO_tech1	FP2A1bio2BFOsoiltech1soilfungi
FP2A1bio2BFOsoiltech2soilfungi	ITS1_3	FP2	A1	bio2	BFO	soil	tech2	soil	fungi	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio2	soil_A1_bio2	soil_bio2	A1_bio2_soil_BFO_tech2	FP2A1bio2BFOsoiltech2soilfungi
FP2A1bio2BFOsoiltech3soilfungi	ITS1_4	FP2	A1	bio2	BFO	soil	tech3	soil	fungi	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio2	soil_A1_bio2	soil_bio2	A1_bio2_soil_BFO_tech3	FP2A1bio2BFOsoiltech3soilfungi
FP2A1bio2BFOsoiltech4soilfungi	ITS1_5	FP2	A1	bio2	BFO	soil	tech4	soil	fungi	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio2	soil_A1_bio2	soil_bio2	A1_bio2_soil_BFO_tech4	FP2A1bio2BFOsoiltech4soilfungi
FP2A1bio4BFOsoiltech1soilfungi	ITS1_44	FP2	A1	bio4	BFO	soil	tech1	soil	fungi	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio4	soil_A1_bio4	soil_bio4	A1_bio4_soil_BFO_tech1	FP2A1bio4BFOsoiltech1soilfungi
FP2A1bio4BFOsoiltech2soilfungi	ITS1_45	FP2	A1	bio4	BFO	soil	tech2	soil	fungi	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio4	soil_A1_bio4	soil_bio4	A1_bio4_soil_BFO_tech2	FP2A1bio4BFOsoiltech2soilfungi
FP2A1bio4BFOsoiltech3soilfungi	ITS1_46	FP2	A1	bio4	BFO	soil	tech3	soil	fungi	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio4	soil_A1_bio4	soil_bio4	A1_bio4_soil_BFO_tech3	FP2A1bio4BFOsoiltech3soilfungi
FP2A1bio4BFOsoiltech4soilfungi	ITS1_47	FP2	A1	bio4	BFO	soil	tech4	soil	fungi	soil	soil_BFO	soil_BFO	soil_soil_BFO	soil	A1_bio4	soil_A1_bio4	soil_bio4	A1_bio4_soil_BFO_tech4	FP2A1bio4BFOsoiltech4soilfungi
FP3A41BFOsoil1soilfungi	ITS1_41	FP3	A4	bio1	BFO	soil_new	tech1	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	A4_bio1_soil_new_BFO_tech1	FP3A41BFOsoil_new1soil_newfungi
FP3A41BFOsoil2soilfungi	ITS1_42	FP3	A4	bio1	BFO	soil_new	tech2	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	A4_bio1_soil_new_BFO_tech2	FP3A41BFOsoil_new2soil_newfungi
FP3A41BFOsoil3soilfungi	ITS1_43	FP3	A4	bio1	BFO	soil_new	tech3	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	A4_bio1_soil_new_BFO_tech3	FP3A41BFOsoil_new3soil_newfungi
FP3A41BFOsoil4soilfungi	ITS1_44	FP3	A4	bio1	BFO	soil_new	tech4	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	A4_bio1_soil_new_BFO_tech4	FP3A41BFOsoil_new4soil_newfungi
FP3A41BFOsoil5soilfungi	ITS1_45	FP3	A4	bio1	BFO	soil_new	tech5	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	A4_bio1_soil_new_BFO_tech5	FP3A41BFOsoil_new5soil_newfungi
FP3A41BFOsoil6soilfungi	ITS1_46	FP3	A4	bio1	BFO	soil_new	tech6	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio1	soil_new_A4_bio1	soil_new_bio1	A4_bio1_soil_new_BFO_tech6	FP3A41BFOsoil_new6soil_newfungi
FP3A42BFOsoil1soilfungi	ITS1_87	FP3	A4	bio2	BFO	soil_new	tech1	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	A4_bio2_soil_new_BFO_tech1	FP3A42BFOsoil_new1soil_newfungi
FP3A42BFOsoil2soilfungi	ITS1_88	FP3	A4	bio2	BFO	soil_new	tech2	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	A4_bio2_soil_new_BFO_tech2	FP3A42BFOsoil_new2soil_newfungi
FP3A42BFOsoil3soilfungi	ITS1_89	FP3	A4	bio2	BFO	soil_new	tech3	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	A4_bio2_soil_new_BFO_tech3	FP3A42BFOsoil_new3soil_newfungi
FP3A42BFOsoil4soilfungi	ITS1_90	FP3	A4	bio2	BFO	soil_new	tech4	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	A4_bio2_soil_new_BFO_tech4	FP3A42BFOsoil_new4soil_newfungi
FP3A42BFOsoil5soilfungi	ITS1_91	FP3	A4	bio2	BFO	soil_new	tech5	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	A4_bio2_soil_new_BFO_tech5	FP3A42BFOsoil_new5soil_newfungi
FP3A42BFOsoil6soilfungi	ITS1_92	FP3	A4	bio2	BFO	soil_new	6	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio2	soil_new_A4_bio2	soil_new_bio2	A4_bio2_soil_new_BFO_6	FP3A42BFOsoil_new6soil_newfungi
FP4A44BFOsoil1soilfungi	ITS1_37	FP4	A4	bio4	BFO	soil_new	tech1	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	A4_bio4_soil_new_BFO_tech1	FP4A44BFOsoil_new1soil_newfungi
FP4A44BFOsoil2soilfungi	ITS1_38	FP4	A4	bio4	BFO	soil_new	tech2	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	A4_bio4_soil_new_BFO_tech2	FP4A44BFOsoil_new2soil_newfungi
FP4A44BFOsoil3soilfungi	ITS1_39	FP4	A4	bio4	BFO	soil_new	tech3	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	A4_bio4_soil_new_BFO_tech3	FP4A44BFOsoil_new3soil_newfungi
FP4A44BFOsoil4soilfungi	ITS1_40	FP4	A4	bio4	BFO	soil_new	tech4	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	A4_bio4_soil_new_BFO_tech4	FP4A44BFOsoil_new4soil_newfungi
FP4A55BFOsoil5soilfungi	ITS1_41	FP4	A4	bio4	BFO	soil_new	tech5	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	A4_bio4_soil_new_BFO_tech5	FP4A55BFOsoil_new5soil_newfungi
FP4A66BFOsoil6soilfungi	ITS1_42	FP4	A4	bio4	BFO	soil_new	tech6	soil_new	fungi	soil_new_soil_new	soil_new_BFO	soil_new_BFO	soil_new_soil_new_BFO	soil_new	A4_bio4	soil_new_A4_bio4	soil_new_bio4	A4_bio4_soil_new_BFO_tech6	FP4A66BFOsoil_new6soil_newfungi
FP3A41BFOwrky331endophytesfungi	ITS1_17	FP3	A4	bio1	BFO	wrky33	tech1	endophytes	fungi	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio1	wrky33_A4_bio1	wrky33_bio1	A4_bio1_wrky33_BFO_tech1	FP3A41BFOwrky331endophytesfungi
FP3A41BFOwrky332endophytesfungi	ITS1_18	FP3	A4	bio1	BFO	wrky33	tech2	endophytes	fungi	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio1	wrky33_A4_bio1	wrky33_bio1	A4_bio1_wrky33_BFO_tech2	FP3A41BFOwrky332endophytesfungi
FP3A41BFOwrky333endophytesfungi	ITS1_19	FP3	A4	bio1	BFO	wrky33	tech3	endophytes	fungi	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio1	wrky33_A4_bio1	wrky33_bio1	A4_bio1_wrky33_BFO_tech3	FP3A41BFOwrky333endophytesfungi
FP3A41BFOwrky334endophytesfungi	ITS1_20	FP3	A4	bio1	BFO	wrky33	tech4	endophytes	fungi	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio1	wrky33_A4_bio1	wrky33_bio1	A4_bio1_wrky33_BFO_tech4	FP3A41BFOwrky334endophytesfungi
FP3A42BFOwrky331endophytesfungi	ITS1_63	FP3	A4	bio2	BFO	wrky33	tech1	endophytes	fungi	wrky33_endophytes	wrky33_BFO	endophytes_BFO	wrky33_endophytes_BFO	no	A4_bio2	wrky33_A4_bio2	wrky33_bio2	A4_bio2_wrky33_BFO_tech1	FP3A42BFOwrky331endophytesfungi
