	barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	exp_bio_gen_microbes_tech	Description
FP4A44BFOapex32endophytesfungi	ITS1_26	FP4	A4	bio4	BFO	apex3	tech2	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio4	apex3_A4_bio4	apex3_bio4	A4_bio4_apex3_BFO_tech2	FP4A44BFOapex32endophytesfungi
FP4A44BFOapex33endophytesfungi	ITS1_27	FP4	A4	bio4	BFO	apex3	tech3	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio4	apex3_A4_bio4	apex3_bio4	A4_bio4_apex3_BFO_tech3	FP4A44BFOapex33endophytesfungi
FP4A44BFOapex34endophytesfungi	ITS1_28	FP4	A4	bio4	BFO	apex3	tech4	endophytes	fungi	apex3_endophytes	apex3_BFO	endophytes_BFO	apex3_endophytes_BFO	yes	A4_bio4	apex3_A4_bio4	apex3_bio4	A4_bio4_apex3_BFO_tech4	FP4A44BFOapex34endophytesfungi
FP1A1bio1BFObak1bkk1tech1endophytesfungi	ITS1_17	FP1	A1	bio1	BFO	bak1bkk1	tech1	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio1	bak1bkk1_A1_bio1	bak1bkk1_bio1	A1_bio1_bak1bkk1_BFO_tech1	FP1A1bio1BFObak1bkk1tech1endophytesfungi
FP1A1bio1BFObak1bkk1tech2endophytesfungi	ITS1_18	FP1	A1	bio1	BFO	bak1bkk1	tech2	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio1	bak1bkk1_A1_bio1	bak1bkk1_bio1	A1_bio1_bak1bkk1_BFO_tech2	FP1A1bio1BFObak1bkk1tech2endophytesfungi
FP1A1bio1BFObak1bkk1tech3endophytesfungi	ITS1_19	FP1	A1	bio1	BFO	bak1bkk1	tech3	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio1	bak1bkk1_A1_bio1	bak1bkk1_bio1	A1_bio1_bak1bkk1_BFO_tech3	FP1A1bio1BFObak1bkk1tech3endophytesfungi
FP1A1bio1BFObak1bkk1tech4endophytesfungi	ITS1_20	FP1	A1	bio1	BFO	bak1bkk1	tech4	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio1	bak1bkk1_A1_bio1	bak1bkk1_bio1	A1_bio1_bak1bkk1_BFO_tech4	FP1A1bio1BFObak1bkk1tech4endophytesfungi
FP1A1bio2BFObak1bkk1tech1endophytesfungi	ITS1_71	FP1	A1	bio2	BFO	bak1bkk1	tech1	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio2	bak1bkk1_A1_bio2	bak1bkk1_bio2	A1_bio2_bak1bkk1_BFO_tech1	FP1A1bio2BFObak1bkk1tech1endophytesfungi
FP1A1bio2BFObak1bkk1tech2endophytesfungi	ITS1_72	FP1	A1	bio2	BFO	bak1bkk1	tech2	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio2	bak1bkk1_A1_bio2	bak1bkk1_bio2	A1_bio2_bak1bkk1_BFO_tech2	FP1A1bio2BFObak1bkk1tech2endophytesfungi
FP1A1bio2BFObak1bkk1tech3endophytesfungi	ITS1_73	FP1	A1	bio2	BFO	bak1bkk1	tech3	endophytes	fungi	bak1bkk1_endophytes	bak1bkk1_BFO	endophytes_BFO	bak1bkk1_endophytes_BFO	no	A1_bio2	bak1bkk1_A1_bio2	bak1bkk1_bio2	A1_bio2_bak1bkk1_BFO_tech3	FP1A1bio2BFObak1bkk1tech3endophytesfungi
