	shannon
FP3A41BFOwrky334endophytesfungi	1.2698040387316627
FP3A42BFOsoil5soilfungi	2.088800549868707
FP3A42BFOwrky331endophytesfungi	0.8081526547620596
FP3A42BFOlyk53endophytesfungi	1.7378878649648162
FP3A42BFO35SBRI3endophytesfungi	0.8315398330315644
FP3A41BFObri3012endophytesfungi	1.9514080352284466
FP3A42BFObri3014endophytesfungi	1.5174074533576725
FP3A42BFObri3013endophytesfungi	1.6116629959525064
FP3A42BFOcyp79b2b3new1endophytesfungi	1.5241417100133656
FP3A41BFOcyp79b2b3new3endophytesfungi	1.7967026866570244
FP3A41BFOlyk52endophytesfungi	1.4289882834017762
FP3A41BFObak1bkk1cerk14endophytesfungi	2.3512807903391337
FP3A42BFOwrky332endophytesfungi	1.13128316646282
FP3A41BFOcyp79b2b3new1endophytesfungi	1.668391269004412
FP3A41BFO35SBRI3endophytesfungi	1.392542912046504
FP3A42BFOapex31endophytesfungi	1.7715085202791796
FP3A42BFOWTnew3endophytesfungi	0.9420708385874536
FP3A42BFOlyk54endophytesfungi	1.8403863377108831
FP3A41BFOapex12endophytesfungi	1.8606539852904134
FP3A42BFOapex34endophytesfungi	1.2826292979498906
FP3A42BFObri3011endophytesfungi	1.6732436192304825
FP3A42BFOapex21endophytesfungi	1.3597230268011942
FP3A41BFOapex23endophytesfungi	1.7360195361335131
FP3A42BFOWTnew2endophytesfungi	1.2781820573059086
FP3A42BFOapex22endophytesfungi	1.668011906328502
FP3A42BFOsoil4soilfungi	2.200550563672808
FP3A41BFOapex21endophytesfungi	2.2541699680000438
FP3A42BFObak1bkk1cerk12endophytesfungi	1.476554066066531
FP3A42BFOapex32endophytesfungi	1.0468048367152332
FP3A42BFO35SBRI2endophytesfungi	1.9665303255488285
FP3A42BFOapex13endophytesfungi	1.3340427745074526
FP3A42BFOapex33endophytesfungi	1.627973626408143
FP3A41BFOWTnew3endophytesfungi	1.2989588223394408
FP3A41BFOapex22endophytesfungi	1.9556848004371248
FP3A43BFOWTnew4endophytesfungi	2.184743834352081
FP3A42BFOWTnew4endophytesfungi	1.2225320666389463
FP3A41BFO35SBRI1endophytesfungi	1.8393600790420233
FP3A42BFOlyk51endophytesfungi	1.4117519456153587
FP3A41BFOsoil6soilfungi	2.0502066669995944
FP3A42BFOsoil2soilfungi	1.2160042571994343
FP3A42BFO35SBRI4endophytesfungi	1.5202212020158699
FP3A41BFObri3013endophytesfungi	2.2231111478697354
FP3A41BFOWTnew4endophytesfungi	2.125707835038109
FP3A41BFOapex31endophytesfungi	1.6086024845728473
FP3A42BFOsoil6soilfungi	1.322754304324779
FP3A41BFOwrky332endophytesfungi	1.4447659664504389
FP3A41BFOWTnew1endophytesfungi	2.0458329710030307
FP3A42BFOapex12endophytesfungi	1.439971250825563
FP3A41BFObak1bkk1cerk11endophytesfungi	2.136411069383005
FP3A41BFOsoil5soilfungi	1.6373152781786904
FP3A42BFObak1bkk1cerk13endophytesfungi	1.3005159393659877
FP3A41BFOapex13endophytesfungi	1.448048227463523
FP3A42BFO35SBRI1endophytesfungi	1.8461358817220646
FP3A41BFOapex11endophytesfungi	1.50412431290484
FP3A41BFObri3011endophytesfungi	1.8059167927232112
FP3A41BFOapex34endophytesfungi	1.5609984734096611
FP3A42BFOwrky334endophytesfungi	1.1304750725097066
FP3A41BFOapex33endophytesfungi	1.4030771567743914
FP3A41BFOlyk54endophytesfungi	2.07871605268998
FP3A42BFOsoil1soilfungi	1.8460645146364674
FP3A42BFOwrky333endophytesfungi	1.4301197251350548
FP3A42BFObak1bkk1cerk11endophytesfungi	0.9340573691580498
FP3A41BFO35SBRI2endophytesfungi	2.142018418575199
FP3A41BFObak1bkk1cerk12endophytesfungi	1.5080619153890165
FP3A41BFOsoil4soilfungi	1.654318182170214
FP3A42BFObri3012endophytesfungi	1.6751704669618073
FP3A43BFOWTnew2endophytesfungi	1.4270984883457787
FP3A41BFOcyp79b2b3new2endophytesfungi	1.7031047588511454
FP3A42BFObak1bkk1cerk14endophytesfungi	1.4830513752207162
FP3A41BFOsoil1soilfungi	1.8492914322144538
FP3A42BFOWTnew1endophytesfungi	1.2688604232760015
FP3A42BFOcyp79b2b3new4endophytesfungi	0.6172561600295533
FP3A41BFOsoil2soilfungi	1.873868082660875
FP3A41BFOWTnew2endophytesfungi	1.951543795158388
FP4A44BFO35SBRI3endophytesfungi	1.1611314912625874
FP4A44BFOsoil2soilfungi	2.424655388315422
FP4A41initialinitial2initialfungi	3.3625272354474927
FP4A41initialinitial1initialfungi	3.426069029348608
FP4A42initialinitial1initialfungi	3.469658163250654
FP4A44BFOapex21endophytesfungi	1.4485686405838845
FP4A44BFOapex31endophytesfungi	2.3625932065493647
FP4A41initialinitial3initialfungi	3.2106727093372536
FP4A44BFOlyk52endophytesfungi	1.8488370653203905
FP4A44BFOapex11endophytesfungi	1.4274705648982378
FP4A44BFObri3014endophytesfungi	2.109484985153684
FP4A44BFOlyk51endophytesfungi	2.350241954116843
FP4A42initialinitial2initialfungi	3.524097576985744
FP4A44BFOwrky331endophytesfungi	1.2036462033326787
FP4A44BFOsoil1soilfungi	2.3613425082131094
FP4A44initialinitial3initialfungi	3.3330468092580263
FP4A44BFObri3012endophytesfungi	1.689488588038594
FP4A44BFOcyp79b2b3new2endophytesfungi	2.2745260055219796
FP4A44BFOapex14endophytesfungi	2.1951788993424834
FP4A44BFOsoil4soilfungi	2.8568034751040807
FP4A44BFObak1bkk1cerk13endophytesfungi	1.40004392572753
FP4A44initialinitial2initialfungi	3.494759029160925
FP4A44BFOapex12endophytesfungi	1.2593312040975833
FP4A44BFOapex33endophytesfungi	1.9829264167866183
FP4A44BFO35SBRI4endophytesfungi	2.2354743670746475
FP4A44BFOwrky333endophytesfungi	1.1731028314771188
FP4A44BFO35SBRI2endophytesfungi	1.8442961856063778
FP4A42initialinitial3initialfungi	3.5204940533603017
FP4A44BFOcyp79b2b3new1endophytesfungi	1.4924676555561338
FP4A44initialinitial1initialfungi	3.497293045496768
FP4A44BFObri3013endophytesfungi	1.760296696537153
FP4A44BFOapex22endophytesfungi	2.0833233729128926
FP4A44BFObri3011endophytesfungi	1.9141625611386468
FP4A44BFOwrky332endophytesfungi	1.9130681503201912
FP4A44BFOcyp79b2b3new4endophytesfungi	1.0315415002571398
FP4A44BFOlyk53endophytesfungi	2.035104070077481
FP4A44BFObak1bkk1cerk14endophytesfungi	1.7814403949811464
FP4A44BFOlyk54endophytesfungi	2.2699081886642225
FP4A44BFOapex24endophytesfungi	1.6655499150751472
FP4A66BFOsoil6soilfungi	2.417847192139157
FP4A44BFOapex23endophytesfungi	1.7191843292730093
FP4A44BFO35SBRI1endophytesfungi	2.116580030297834
FP4A55BFOsoil5soilfungi	1.76684295453298
FP4A44BFOapex13endophytesfungi	2.9898932261801505
FP4A44BFOapex34endophytesfungi	1.5816351266683484
FP4A44BFOsoil3soilfungi	2.4241891479372586
FP4A44BFOwrky334endophytesfungi	2.036717259993978
FP4A44BFObak1bkk1cerk12endophytesfungi	2.154697450753233
FP4A44BFObak1bkk1cerk11endophytesfungi	2.003583632174867
FP4A44BFOapex32endophytesfungi	1.972981939299485
FP4A44BFOcyp79b2b3new3endophytesfungi	1.6006161755065602
