	chao1
FP4A44initialinitial2initialfungi	19.0
FP4A44BFOapex12endophytesfungi	17.0
FP4A44BFOapex33endophytesfungi	12.0
FP4A44BFO35SBRI4endophytesfungi	14.0
FP4A44BFOwrky333endophytesfungi	12.0
FP4A44BFO35SBRI2endophytesfungi	10.0
FP4A42initialinitial3initialfungi	19.0
FP4A44BFOcyp79b2b3new1endophytesfungi	13.0
FP4A44initialinitial1initialfungi	20.0
FP4A44BFObri3013endophytesfungi	12.0
FP4A44BFOapex22endophytesfungi	15.0
FP4A44BFObri3011endophytesfungi	13.0
FP4A44BFOwrky332endophytesfungi	16.0
FP4A44BFOcyp79b2b3new4endophytesfungi	12.333333333333334
FP4A44BFOlyk53endophytesfungi	14.0
FP4A44BFObak1bkk1cerk14endophytesfungi	12.0
FP4A44BFOlyk54endophytesfungi	15.0
FP4A44BFOapex24endophytesfungi	12.0
FP4A66BFOsoil6soilfungi	14.0
FP4A44BFOapex23endophytesfungi	12.0
FP4A44BFO35SBRI1endophytesfungi	12.5
FP4A55BFOsoil5soilfungi	12.0
FP4A44BFOapex13endophytesfungi	15.0
FP4A44BFOapex34endophytesfungi	16.0
FP4A44BFOsoil3soilfungi	14.0
FP4A44BFOwrky334endophytesfungi	14.0
FP4A44BFObak1bkk1cerk12endophytesfungi	15.0
FP4A44BFObak1bkk1cerk11endophytesfungi	14.0
FP4A44BFOapex32endophytesfungi	14.5
FP4A44BFOcyp79b2b3new3endophytesfungi	10.0
