SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	genotype_combined	genotype_combined2	ITS_UBQ	X16S_UBQ_ref
FP1A1bio2BFOdepstech1endophytesbacteria	ITS_79	FP1	FP1_ITS_79	A1	bio2	BFO	deps	deps	tech1	endophytes	plate2	deps	deps	3.938709602	1.046662861
FP1A1bio2BFOdepstech3endophytesbacteria	ITS_81	FP1	FP1_ITS_81	A1	bio2	BFO	deps	deps	tech3	endophytes	plate2	deps	deps	2.956096899	0.785545813
FP1A1bio2BFOpad4tech1endophytesbacteria	ITS_87	FP1	FP1_ITS_87	A1	bio2	BFO	pad4	pad4	tech1	endophytes	plate2	pad4	pad4	7.231372518	1.921646887
FP1A1bio2BFOpad4tech2endophytesbacteria	ITS_88	FP1	FP1_ITS_88	A1	bio2	BFO	pad4	pad4	tech2	endophytes	plate2	pad4	pad4	8.032491526	2.134534253
FP1A1bio2BFOpad4tech3endophytesbacteria	ITS_89	FP1	FP1_ITS_89	A1	bio2	BFO	pad4	pad4	tech3	endophytes	plate2	pad4	pad4	8.199482674	2.178910064
FP1A1bio2BFOpad4tech4endophytesbacteria	ITS_90	FP1	FP1_ITS_90	A1	bio2	BFO	pad4	pad4	tech4	endophytes	plate2	pad4	pad4	21.530607	5.721489776
FP1A1bio2BFOrar1tech3endophytesbacteria	ITS_92	FP1	FP1_ITS_92	A1	bio2	BFO	rar1	rar1	tech3	endophytes	plate3	rar1	rar1	4.435625075	1.052281294
FP1A1bio2nowrky3340tech1endophytesbacteria	ITS_95	FP1	FP1_ITS_95	A1	bio2	no	wrky3340	wrky3340	tech1	endophytes	plate3	wrky3340	wrky3340	0.023006567	0.005457941
FP1A1bio2noefrfls2cerk1tech1endophytesbacteria	ITS_96	FP1	FP1_ITS_96	A1	bio2	no	efrfls2cerk1	efrfls2cerk1	tech1	endophytes	plate3	efrfls2cerk1	efrfls2cerk1	0.112262171	0.026632409
FP2A12BFOrar11endophytesbacteria	ITS_01	FP2	FP2_ITS_01	A1	bio2	BFO	rar1	rar1	tech1	endophytes	plate3	rar1	rar1	3.399038297	0.806367616
FP2A14BFOWT1endophytesbacteria	ITS_06	FP2	FP2_ITS_06	A1	bio4	BFO	2aWT	2aWT	tech1	endophytes	plate3	2aWT	2aWT	5.371295844	1.274254259
FP2A14BFOWT2endophytesbacteria	ITS_07	FP2	FP2_ITS_07	A1	bio4	BFO	2aWT	2aWT	tech2	endophytes	plate3	2aWT	2aWT	4.638113768	1.100318506
FP2A14BFOWT3endophytesbacteria	ITS_08	FP2	FP2_ITS_08	A1	bio4	BFO	2aWT	2aWT	tech3	endophytes	plate3	2aWT	2aWT	6.360055716	1.508821766
FP2A14BFOwrky33401endophytesbacteria	ITS_13	FP2	FP2_ITS_13	A1	bio4	BFO	wrky3340	wrky3340	tech1	endophytes	plate3	wrky3340	wrky3340	9.710773099	2.303726016
FP2A14BFOwrky33402endophytesbacteria	ITS_14	FP2	FP2_ITS_14	A1	bio4	BFO	wrky3340	wrky3340	tech2	endophytes	plate3	wrky3340	wrky3340	9.957835908	2.362337726
FP2A14BFOwrky33403endophytesbacteria	ITS_15	FP2	FP2_ITS_15	A1	bio4	BFO	wrky3340	wrky3340	tech3	endophytes	plate3	wrky3340	wrky3340	9.162679844	2.173699634
FP2A14BFOwrky33404endophytesbacteria	ITS_16	FP2	FP2_ITS_16	A1	bio4	BFO	wrky3340	wrky3340	tech4	endophytes	plate3	wrky3340	wrky3340	14.02564116	3.327359636
FP2A14BFOefrfls2cerk11endophytesbacteria	ITS_17	FP2	FP2_ITS_17	A1	bio4	BFO	efrfls2cerk1	efrfls2cerk1	tech1	endophytes	plate3	efrfls2cerk1	efrfls2cerk1	7.589705813	1.800536637
FP2A14BFOefrfls2cerk12endophytesbacteria	ITS_18	FP2	FP2_ITS_18	A1	bio4	BFO	efrfls2cerk1	efrfls2cerk1	tech2	endophytes	plate3	efrfls2cerk1	efrfls2cerk1	12.29255709	2.916213085
FP2A14BFOefrfls2cerk13endophytesbacteria	ITS_19	FP2	FP2_ITS_19	A1	bio4	BFO	efrfls2cerk1	efrfls2cerk1	tech3	endophytes	plate3	efrfls2cerk1	efrfls2cerk1	7.370168887	1.748455003
FP2A14BFOefrfls2cerk14endophytesbacteria	ITS_20	FP2	FP2_ITS_20	A1	bio4	BFO	efrfls2cerk1	efrfls2cerk1	tech4	endophytes	plate3	efrfls2cerk1	efrfls2cerk1	6.597566687	1.565167455
FP2A14BFObak1bkk11endophytesbacteria	ITS_21	FP2	FP2_ITS_21	A1	bio4	BFO	bak1bkk1	bak1bkk1	tech1	endophytes	plate3	bak1bkk1	bak1bkk1	9.894804144	2.347384446
FP2A14BFObak1bkk12endophytesbacteria	ITS_22	FP2	FP2_ITS_22	A1	bio4	BFO	bak1bkk1	bak1bkk1	tech2	endophytes	plate3	bak1bkk1	bak1bkk1	9.291949832	2.204366877
FP2A14BFObak1bkk13endophytesbacteria	ITS_23	FP2	FP2_ITS_23	A1	bio4	BFO	bak1bkk1	bak1bkk1	tech3	endophytes	plate3	bak1bkk1	bak1bkk1	10.59177306	2.512729203
FP2A14BFObak1bkk14endophytesbacteria	ITS_24	FP2	FP2_ITS_24	A1	bio4	BFO	bak1bkk1	bak1bkk1	tech4	endophytes	plate3	bak1bkk1	bak1bkk1	9.043557721	2.145439811
FP2A14BFOcyp79b2b33endophytesbacteria	ITS_27	FP2	FP2_ITS_27	A1	bio4	BFO	cyp79b2b3	cyp79b2b3	tech3	endophytes	plate3	cyp79b2b3	cyp79b2b3	6.35013954	1.506469311
FP2A14BFOdeps1endophytesbacteria	ITS_28	FP2	FP2_ITS_28	A1	bio4	BFO	deps	deps	tech1	endophytes	plate3	deps	deps	10.14057379	2.405689373
FP2A14BFOdeps2endophytesbacteria	ITS_29	FP2	FP2_ITS_29	A1	bio4	BFO	deps	deps	tech2	endophytes	plate3	deps	deps	2.302899659	0.546326209
FP2A14BFOdeps3endophytesbacteria	ITS_30	FP2	FP2_ITS_30	A1	bio4	BFO	deps	deps	tech3	endophytes	plate3	deps	deps	3.394583287	0.805310736
FP2A14BFOdeps4endophytesbacteria	ITS_31	FP2	FP2_ITS_31	A1	bio4	BFO	deps	deps	tech4	endophytes	plate3	deps	deps	2.410771934	0.571917186
FP2A14BFOpad41endophytesbacteria	ITS_36	FP2	FP2_ITS_36	A1	bio4	BFO	pad4	pad4	tech1	endophytes	plate3	pad4	pad4	3.834095524	0.909578003
FP2A14BFOpad42endophytesbacteria	ITS_37	FP2	FP2_ITS_37	A1	bio4	BFO	pad4	pad4	tech2	endophytes	plate3	pad4	pad4	4.301052705	1.020356146
FP2A14BFOpad43endophytesbacteria	ITS_38	FP2	FP2_ITS_38	A1	bio4	BFO	pad4	pad4	tech3	endophytes	plate3	pad4	pad4	4.251914388	1.008698864
FP2A14BFOpad44endophytesbacteria	ITS_39	FP2	FP2_ITS_39	A1	bio4	BFO	pad4	pad4	tech4	endophytes	plate3	pad4	pad4	5.494180789	1.303406752
FP2A14BFOrar11endophytesbacteria	ITS_40	FP2	FP2_ITS_40	A1	bio4	BFO	rar1	rar1	tech1	endophytes	plate4	rar1	rar1	0.015297871	0.003866663
FP2A14BFOrar12endophytesbacteria	ITS_41	FP2	FP2_ITS_41	A1	bio4	BFO	rar1	rar1	tech2	endophytes	plate4	rar1	rar1	7.94525009	2.008227341
FP2A14BFOrar13endophytesbacteria	ITS_42	FP2	FP2_ITS_42	A1	bio4	BFO	rar1	rar1	tech3	endophytes	plate4	rar1	rar1	4.979771354	1.258678188
FP2A14BFOrar14endophytesbacteria	ITS_43	FP2	FP2_ITS_43	A1	bio4	BFO	rar1	rar1	tech4	endophytes	plate4	rar1	rar1	5.558388161	1.404928347
FP3A41BFOWTnew1endophytesbacteria	ITS_01	FP3	FP3_ITS_01	A4	bio1	BFO	2aWT_new	2aWT_new	tech1	endophytes	plate4	2aWT	2aWT	3.913955799	0.989284536
FP3A41BFOWTnew2endophytesbacteria	ITS_02	FP3	FP3_ITS_02	A4	bio1	BFO	2aWT_new	2aWT_new	tech2	endophytes	plate4	2aWT	2aWT	2.022708127	0.511256124
FP3A41BFOWTnew3endophytesbacteria	ITS_03	FP3	FP3_ITS_03	A4	bio1	BFO	2aWT_new	2aWT_new	tech3	endophytes	plate4	2aWT	2aWT	5.229319159	1.321753449
FP3A41BFOWTnew4endophytesbacteria	ITS_04	FP3	FP3_ITS_04	A4	bio1	BFO	2aWT_new	2aWT_new	tech4	endophytes	plate4	2aWT	2aWT	2.773177799	0.700943509
FP3A41BFObri3011endophytesbacteria	ITS_05	FP3	FP3_ITS_05	A4	bio1	BFO	bri301	bri301	tech1	endophytes	plate4	bri301	bri301	3.198941441	0.808558773
FP3A41BFObri3012endophytesbacteria	ITS_06	FP3	FP3_ITS_06	A4	bio1	BFO	bri301	bri301	tech2	endophytes	plate4	bri301	bri301	2.789197828	0.704992703
FP3A41BFObri3013endophytesbacteria	ITS_07	FP3	FP3_ITS_07	A4	bio1	BFO	bri301	bri301	tech3	endophytes	plate4	bri301	bri301	2.452682462	0.619935675
FP3A41BFObri3014endophytesbacteria	ITS_08	FP3	FP3_ITS_08	A4	bio1	BFO	bri301	bri301	tech4	endophytes	plate4	bri301	bri301	3.080760188	0.778687489
FP3A41BFOlyk51endophytesbacteria	ITS_09	FP3	FP3_ITS_09	A4	bio1	BFO	lyk5	lyk5	tech1	endophytes	plate4	lyk5	lyk5	2.107600144	0.53271328
FP3A41BFOlyk52endophytesbacteria	ITS_10	FP3	FP3_ITS_10	A4	bio1	BFO	lyk5	lyk5	tech2	endophytes	plate4	lyk5	lyk5	2.642338978	0.66787292
FP3A41BFOlyk53endophytesbacteria	ITS_11	FP3	FP3_ITS_11	A4	bio1	BFO	lyk5	lyk5	tech3	endophytes	plate4	lyk5	lyk5	1.768106383	0.446903438
FP3A41BFOlyk54endophytesbacteria	ITS_12	FP3	FP3_ITS_12	A4	bio1	BFO	lyk5	lyk5	tech4	endophytes	plate4	lyk5	lyk5	3.29258333	0.832227531
FP3A41BFOcyp79b2b3new1endophytesbacteria	ITS_13	FP3	FP3_ITS_13	A4	bio1	BFO	cyp79b2b3_new	cyp79b2b3_new	tech1	endophytes	plate4	cyp79b2b3	cyp79b2b3	4.195963152	1.060564215
FP3A41BFOcyp79b2b3new2endophytesbacteria	ITS_14	FP3	FP3_ITS_14	A4	bio1	BFO	cyp79b2b3_new	cyp79b2b3_new	tech2	endophytes	plate4	cyp79b2b3	cyp79b2b3	7.048042418	1.781450719
FP3A41BFOcyp79b2b3new3endophytesbacteria	ITS_15	FP3	FP3_ITS_15	A4	bio1	BFO	cyp79b2b3_new	cyp79b2b3_new	tech3	endophytes	plate4	cyp79b2b3	cyp79b2b3	2.858633971	0.72254326
FP3A41BFOcyp79b2b3new4endophytesbacteria	ITS_16	FP3	FP3_ITS_16	A4	bio1	BFO	cyp79b2b3_new	cyp79b2b3_new	tech4	endophytes	plate4	cyp79b2b3	cyp79b2b3	6.908882449	1.746276891
FP3A41BFOwrky331endophytesbacteria	ITS_17	FP3	FP3_ITS_17	A4	bio1	BFO	wrky33	wrky33	tech1	endophytes	plate4	wrky33	wrky33	3.706222957	0.93677835
FP3A41BFOwrky332endophytesbacteria	ITS_18	FP3	FP3_ITS_18	A4	bio1	BFO	wrky33	wrky33	tech2	endophytes	plate4	wrky33	wrky33	5.626234743	1.422077129
FP3A41BFOwrky333endophytesbacteria	ITS_19	FP3	FP3_ITS_19	A4	bio1	BFO	wrky33	wrky33	tech3	endophytes	plate4	wrky33	wrky33	3.445181949	0.870798088
FP3A41BFOwrky334endophytesbacteria	ITS_20	FP3	FP3_ITS_20	A4	bio1	BFO	wrky33	wrky33	tech4	endophytes	plate4	wrky33	wrky33	4.115564475	1.040242787
FP3A41BFOapex11endophytesbacteria	ITS_21	FP3	FP3_ITS_21	A4	bio1	BFO	apex1	apex1	tech1	endophytes	plate4	apex1	apex1	4.46598493	1.128814441
FP3A41BFOapex12endophytesbacteria	ITS_22	FP3	FP3_ITS_22	A4	bio1	BFO	apex1	apex1	tech2	endophytes	plate4	apex1	apex1	2.265880876	0.572720037
FP3A41BFOapex13endophytesbacteria	ITS_23	FP3	FP3_ITS_23	A4	bio1	BFO	apex1	apex1	tech3	endophytes	plate4	apex1	apex1	3.763662595	0.951296692
FP3A41BFOapex14endophytesbacteria	ITS_24	FP3	FP3_ITS_24	A4	bio1	BFO	apex1	apex1	tech4	endophytes	plate4	apex1	apex1	3.677571265	0.9295364
FP3A41BFOapex21endophytesbacteria	ITS_25	FP3	FP3_ITS_25	A4	bio1	BFO	apex2	apex2	tech1	endophytes	plate4	apex2	apex2	1.913557332	0.483667362
FP3A41BFOapex22endophytesbacteria	ITS_26	FP3	FP3_ITS_26	A4	bio1	BFO	apex2	apex2	tech2	endophytes	plate4	apex2	apex2	1.355004073	0.34248843
FP3A41BFOapex23endophytesbacteria	ITS_27	FP3	FP3_ITS_27	A4	bio1	BFO	apex2	apex2	tech3	endophytes	plate4	apex2	apex2	1.998269344	0.50507902
FP3A41BFOapex24endophytesbacteria	ITS_28	FP3	FP3_ITS_28	A4	bio1	BFO	apex2	apex2	tech4	endophytes	plate4	apex2	apex2	1.368737779	0.345959737
FP3A41BFOapex31endophytesbacteria	ITS_29	FP3	FP3_ITS_29	A4	bio1	BFO	apex3	apex3	tech1	endophytes	plate4	apex3	apex3	1.55253056	0.392414874
FP3A41BFOapex32endophytesbacteria	ITS_30	FP3	FP3_ITS_30	A4	bio1	BFO	apex3	apex3	tech2	endophytes	plate4	apex3	apex3	3.64416407	0.921092456
FP3A41BFOapex33endophytesbacteria	ITS_31	FP3	FP3_ITS_31	A4	bio1	BFO	apex3	apex3	tech3	endophytes	plate4	apex3	apex3	4.010517819	1.013691381
FP3A41BFOapex34endophytesbacteria	ITS_32	FP3	FP3_ITS_32	A4	bio1	BFO	apex3	apex3	tech4	endophytes	plate4	apex3	apex3	1.715727519	0.433664249
FP3A41BFObak1bkk1cerk11endophytesbacteria	ITS_33	FP3	FP3_ITS_33	A4	bio1	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech1	endophytes	plate4	bak1bkk1cerk1	bak1bkk1cerk1	1.66334399	0.420423881
FP3A41BFObak1bkk1cerk12endophytesbacteria	ITS_34	FP3	FP3_ITS_34	A4	bio1	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech2	endophytes	plate5	bak1bkk1cerk1	bak1bkk1cerk1	6.395993169	1.482272098
FP3A41BFObak1bkk1cerk13endophytesbacteria	ITS_35	FP3	FP3_ITS_35	A4	bio1	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech3	endophytes	plate5	bak1bkk1cerk1	bak1bkk1cerk1	3.097239491	0.717785582
FP3A41BFObak1bkk1cerk14endophytesbacteria	ITS_36	FP3	FP3_ITS_36	A4	bio1	BFO	bak1bkk1cerk1	bak1bkk1cerk1	tech4	endophytes	plate5	bak1bkk1cerk1	bak1bkk1cerk1	2.223822494	0.5153711
FP3A41BFO35SBRI1endophytesbacteria	ITS_37	FP3	FP3_ITS_37	A4	bio1	BFO	35SBRI	35SBRI	tech1	endophytes	plate5	35SBRI	35SBRI	1.615086371	0.374296439
FP3A41BFO35SBRI2endophytesbacteria	ITS_38	FP3	FP3_ITS_38	A4	bio1	BFO	35SBRI	35SBRI	tech2	endophytes	plate5	35SBRI	35SBRI	2.985519631	0.691894492
FP3A41BFO35SBRI3endophytesbacteria	ITS_39	FP3	FP3_ITS_39	A4	bio1	BFO	35SBRI	35SBRI	tech3	endophytes	plate5	35SBRI	35SBRI	1.858279011	0.430656359
FP3A41BFO35SBRI4endophytesbacteria	ITS_40	FP3	FP3_ITS_40	A4	bio1	BFO	35SBRI	35SBRI	tech4	endophytes	plate5	35SBRI	35SBRI	1.552541162	0.35980158
