SampleID	barcode_name	library	qPCR_name	experiment	biological	microbes	genotype	genotype2	technical	compartment	qPCR_plate	Cq_16S	Cq_UBQ10	X16S_UBQ	X16S_UBQ_ref
FP2A12BFOrar11endophytesbacteria	ITS_01	FP2	FP2_ITS_01	A1	bio2	BFO	rar1	rar1	tech1	endophytes	plate28	12.30971349	19.54456384	150.6284378	0.924649092
FP2A14BFOWT1endophytesbacteria	ITS_06	FP2	FP2_ITS_06	A1	bio4	BFO	2aWT	2aWT	tech1	endophytes	plate28	12.40607818	18.50239164	68.41844727	0.4199941
FP2A14BFOWT2endophytesbacteria	ITS_07	FP2	FP2_ITS_07	A1	bio4	BFO	2aWT	2aWT	tech2	endophytes	plate28	12.16250065	19.27995001	138.8563519	0.852384859
FP2A14BFOWT3endophytesbacteria	ITS_08	FP2	FP2_ITS_08	A1	bio4	BFO	2aWT	2aWT	tech3	endophytes	plate28	12.24271011	18.65952373	85.43845286	0.52447326
FP2A14BFOwrky33401endophytesbacteria	ITS_13	FP2	FP2_ITS_13	A1	bio4	BFO	wrky3340	wrky3340	tech1	endophytes	plate28	12.02542319	19.77980653	215.9245306	1.325476279
FP2A14BFOwrky33402endophytesbacteria	ITS_14	FP2	FP2_ITS_14	A1	bio4	BFO	wrky3340	wrky3340	tech2	endophytes	plate28	11.17014464	19.31959888	283.9423519	1.743011092
FP2A14BFOwrky33403endophytesbacteria	ITS_15	FP2	FP2_ITS_15	A1	bio4	BFO	wrky3340	wrky3340	tech3	endophytes	plate28	11.49732247	18.69580784	146.8791062	0.901633411
FP2A14BFOwrky33404endophytesbacteria	ITS_16	FP2	FP2_ITS_16	A1	bio4	BFO	wrky3340	wrky3340	tech4	endophytes	plate28	11.68529958	20.21359469	369.2093066	2.266431592
FP2A14BFOefrfls2cerk11endophytesbacteria	ITS_17	FP2	FP2_ITS_17	A1	bio4	BFO	efrfls2cerk1	efrfls2cerk1	tech1	endophytes	plate28	12.00474947	19.01073868	128.5324847	0.789010674
FP2A14BFOefrfls2cerk12endophytesbacteria	ITS_18	FP2	FP2_ITS_18	A1	bio4	BFO	efrfls2cerk1	efrfls2cerk1	tech2	endophytes	plate28	12.65789595	19.98405697	160.4701366	0.985063433
FP2A14BFOefrfls2cerk13endophytesbacteria	ITS_19	FP2	FP2_ITS_19	A1	bio4	BFO	efrfls2cerk1	efrfls2cerk1	tech3	endophytes	plate28	10.77388001	18.62825183	231.4203332	1.420598953
FP2A14BFOefrfls2cerk14endophytesbacteria	ITS_20	FP2	FP2_ITS_20	A1	bio4	BFO	efrfls2cerk1	efrfls2cerk1	tech4	endophytes	plate28	12.25128279	18.23492074	63.27825667	0.388440479
FP2A14BFObak1bkk11endophytesbacteria	ITS_21	FP2	FP2_ITS_21	A1	bio4	BFO	bak1bkk1	bak1bkk1	tech1	endophytes	plate29	9.017873817	19.56681124	1498.119952	9.196372703
FP2A14BFObak1bkk12endophytesbacteria	ITS_22	FP2	FP2_ITS_22	A1	bio4	BFO	bak1bkk1	bak1bkk1	tech2	endophytes	plate29	11.19910837	18.83147179	198.4130933	1.217980411
FP2A14BFObak1bkk13endophytesbacteria	ITS_23	FP2	FP2_ITS_23	A1	bio4	BFO	bak1bkk1	bak1bkk1	tech3	endophytes	plate29	9.677100168	18.99586217	638.5970185	3.92009744
FP2A14BFObak1bkk14endophytesbacteria	ITS_24	FP2	FP2_ITS_24	A1	bio4	BFO	bak1bkk1	bak1bkk1	tech4	endophytes	plate29	9.822421402	18.45577165	397.0977139	2.437627622
FP2A14BFOcyp79b2b33endophytesbacteria	ITS_27	FP2	FP2_ITS_27	A1	bio4	BFO	cyp79b2b3	cyp79b2b3	tech3	endophytes	plate29	11.79611235	18.926181	140.0762595	0.859873395
FP2A14BFOdeps1endophytesbacteria	ITS_28	FP2	FP2_ITS_28	A1	bio4	BFO	deps	deps	tech1	endophytes	plate29	10.22827135	20.61707066	1340.726555	8.230196172
FP2A14BFOdeps2endophytesbacteria	ITS_29	FP2	FP2_ITS_29	A1	bio4	BFO	deps	deps	tech2	endophytes	plate29	10.58080611	19.10721428	368.7267242	2.263469208
FP2A14BFOdeps3endophytesbacteria	ITS_30	FP2	FP2_ITS_30	A1	bio4	BFO	deps	deps	tech3	endophytes	plate29	11.80374056	18.43972019	99.45552585	0.610518592
FP2A14BFOdeps4endophytesbacteria	ITS_31	FP2	FP2_ITS_31	A1	bio4	BFO	deps	deps	tech4	endophytes	plate29	12.70448039	19.11655952	85.1585297	0.522754922
FP2A14BFOpad41endophytesbacteria	ITS_36	FP2	FP2_ITS_36	A1	bio4	BFO	pad4	pad4	tech1	endophytes	plate29	11.37060068	19.42137021	265.1692235	1.627770196
FP2A14BFOpad42endophytesbacteria	ITS_37	FP2	FP2_ITS_37	A1	bio4	BFO	pad4	pad4	tech2	endophytes	plate29	12.50002861	19.74032085	151.1976846	0.928143476
FP2A14BFOpad43endophytesbacteria	ITS_38	FP2	FP2_ITS_38	A1	bio4	BFO	pad4	pad4	tech3	endophytes	plate29	12.19482716	19.72093636	184.32516	1.131500096
FP2A14BFOpad44endophytesbacteria	ITS_39	FP2	FP2_ITS_39	A1	bio4	BFO	pad4	pad4	tech4	endophytes	plate29	12.63230157	20.16317728	184.935158	1.135244635
FP2A14BFOrar11endophytesbacteria	ITS_40	FP2	FP2_ITS_40	A1	bio4	BFO	rar1	rar1	tech1	endophytes	plate29	11.5500655	19.63089748	270.7527129	1.961367685
FP2A14BFOrar12endophytesbacteria	ITS_41	FP2	FP2_ITS_41	A1	bio4	BFO	rar1	rar1	tech2	endophytes	plate29	12.45608671	19.44653649	127.155476	0.921130721
FP2A14BFOrar13endophytesbacteria	ITS_42	FP2	FP2_ITS_42	A1	bio4	BFO	rar1	rar1	tech3	endophytes	plate29	12.05208115	19.42300775	165.5274417	1.199102206
FP2A14BFOrar14endophytesbacteria	ITS_43	FP2	FP2_ITS_43	A1	bio4	BFO	rar1	rar1	tech4	endophytes	plate29	12.29017115	19.67187724	166.7688572	1.20809518
FP3A41BFOWTnew1endophytesbacteria	ITS_01	FP3	FP3_ITS_01	A4	bio1	BFO	2aWT	2aWT	tech1	endophytes	plate29	13.02440271	18.5669227	46.60846151	0.337637726
FP3A41BFOWTnew3endophytesbacteria	ITS_03	FP3	FP3_ITS_03	A4	bio1	BFO	2aWT	2aWT	tech3	endophytes	plate30	11.02935579	20.28501541	611.2673195	4.428099555
FP3A41BFOWTnew4endophytesbacteria	ITS_04	FP3	FP3_ITS_04	A4	bio1	BFO	2aWT	2aWT	tech4	endophytes	plate30	11.7918911	19.79717973	256.9401651	1.861307802
FP3A41BFObri3011endophytesbacteria	ITS_05	FP3	FP3_ITS_05	A4	bio1	BFO	bri301	bri301	tech1	endophytes	plate30	11.70800815	19.96582843	306.0917351	2.217368135
FP3A41BFObri3012endophytesbacteria	ITS_06	FP3	FP3_ITS_06	A4	bio1	BFO	bri301	bri301	tech2	endophytes	plate30	12.24945376	19.58238294	161.2247232	1.167932756
FP3A41BFObri3013endophytesbacteria	ITS_07	FP3	FP3_ITS_07	A4	bio1	BFO	bri301	bri301	tech3	endophytes	plate30	12.12377686	19.62586976	181.2821299	1.313231206
