barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio2tp1WTendophytestech2	ITS1o_84	GR1	B1	bio2	tp1	WT	endophytes	tech2	oomycetes	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2tp1WTendophytestech2
Gr1B1bio2tp1WTendophytestech3	ITS1o_85	GR1	B1	bio2	tp1	WT	endophytes	tech3	oomycetes	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2tp1WTendophytestech3
Gr1B1bio2tp1WTendophytestech4	ITS1o_86	GR1	B1	bio2	tp1	WT	endophytes	tech4	oomycetes	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2tp1WTendophytestech4
Gr1B1bio2tp1wrkyendophytestech1	ITS1o_90	GR1	B1	bio2	tp1	wrky3340	endophytes	tech1	oomycetes	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2tp1wrkyendophytestech1
Gr1B1bio2tp1wrkyendophytestech2	ITS1o_91	GR1	B1	bio2	tp1	wrky3340	endophytes	tech2	oomycetes	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2tp1wrkyendophytestech2
Gr1B1bio2tp1wrkyendophytestech3	ITS1o_92	GR1	B1	bio2	tp1	wrky3340	endophytes	tech3	oomycetes	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2tp1wrkyendophytestech3
Gr1B1bio2tp1wrkyendophytestech4	ITS1o_93	GR1	B1	bio2	tp1	wrky3340	endophytes	tech4	oomycetes	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2tp1wrkyendophytestech4
Gr1B1bio2tp1efcendophytestech1	ITS1o_94	GR1	B1	bio2	tp1	efc	endophytes	tech1	oomycetes	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr1B1bio2tp1efcendophytestech1
Gr1B1bio2tp1efcendophytestech2	ITS1o_95	GR1	B1	bio2	tp1	efc	endophytes	tech2	oomycetes	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr1B1bio2tp1efcendophytestech2
Gr1B1bio2tp1efcendophytestech3	ITS1o_96	GR1	B1	bio2	tp1	efc	endophytes	tech3	oomycetes	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr1B1bio2tp1efcendophytestech3
Gr2B1bio2tp1efcendophytestech4	ITS1o_1	GR2	B1	bio2	tp1	efc	endophytes	tech4	oomycetes	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr2B1bio2tp1efcendophytestech4
Gr2B1bio2tp1bbendophytestech1	ITS1o_2	GR2	B1	bio2	tp1	bb	endophytes	tech1	oomycetes	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2tp1bbendophytestech1
Gr2B1bio2tp1bbendophytestech2	ITS1o_3	GR2	B1	bio2	tp1	bb	endophytes	tech2	oomycetes	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2tp1bbendophytestech2
Gr2B1bio2tp1bbendophytestech3	ITS1o_4	GR2	B1	bio2	tp1	bb	endophytes	tech3	oomycetes	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2tp1bbendophytestech3
Gr2B1bio2tp1bbendophytestech4	ITS1o_5	GR2	B1	bio2	tp1	bb	endophytes	tech4	oomycetes	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2tp1bbendophytestech4
Gr2B1bio2tp1cyp79endophytestech1	ITS1o_6	GR2	B1	bio2	tp1	cyp79	endophytes	tech1	oomycetes	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2tp1cyp79endophytestech1
Gr2B1bio2tp1cyp79endophytestech2	ITS1o_7	GR2	B1	bio2	tp1	cyp79	endophytes	tech2	oomycetes	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2tp1cyp79endophytestech2
Gr2B1bio2tp1cyp79endophytestech3	ITS1o_8	GR2	B1	bio2	tp1	cyp79	endophytes	tech3	oomycetes	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2tp1cyp79endophytestech3
Gr2B1bio2tp1cyp79endophytestech4	ITS1o_9	GR2	B1	bio2	tp1	cyp79	endophytes	tech4	oomycetes	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2tp1cyp79endophytestech4
Gr2B1bio2tp1depsendophytestech1	ITS1o_10	GR2	B1	bio2	tp1	deps	endophytes	tech1	oomycetes	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2tp1depsendophytestech1
Gr2B1bio2tp1depsendophytestech2	ITS1o_11	GR2	B1	bio2	tp1	deps	endophytes	tech2	oomycetes	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2tp1depsendophytestech2
Gr2B1bio2tp1depsendophytestech3	ITS1o_12	GR2	B1	bio2	tp1	deps	endophytes	tech3	oomycetes	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2tp1depsendophytestech3
Gr2B1bio2tp1depsendophytestech4	ITS1o_13	GR2	B1	bio2	tp1	deps	endophytes	tech4	oomycetes	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2tp1depsendophytestech4
Gr2B1bio2tp1pad4endophytestech1	ITS1o_18	GR2	B1	bio2	tp1	pad4	endophytes	tech1	oomycetes	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2tp1pad4endophytestech1
Gr2B1bio2tp1pad4endophytestech2	ITS1o_19	GR2	B1	bio2	tp1	pad4	endophytes	tech2	oomycetes	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2tp1pad4endophytestech2
Gr2B1bio2tp1pad4endophytestech3	ITS1o_20	GR2	B1	bio2	tp1	pad4	endophytes	tech3	oomycetes	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2tp1pad4endophytestech3
Gr2B1bio2tp1pad4endophytestech4	ITS1o_21	GR2	B1	bio2	tp1	pad4	endophytes	tech4	oomycetes	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2tp1pad4endophytestech4
Gr2B1bio2tp1rar1endophytestech1	ITS1o_22	GR2	B1	bio2	tp1	rar1	endophytes	tech1	oomycetes	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2tp1rar1endophytestech1
