barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio1tp2wrkyendophytestech3	ITS1_49	GR1	B1	bio1	tp2	wrky3340	endophytes	tech3	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1tp2wrkyendophytestech3
Gr1B1bio1tp2wrkyendophytestech4	ITS1_50	GR1	B1	bio1	tp2	wrky3340	endophytes	tech4	fungi	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1tp2wrkyendophytestech4
Gr1B1bio1tp2efcendophytestech1	ITS1_51	GR1	B1	bio1	tp2	efc	endophytes	tech1	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1tp2efcendophytestech1
Gr1B1bio1tp2efcendophytestech2	ITS1_52	GR1	B1	bio1	tp2	efc	endophytes	tech2	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1tp2efcendophytestech2
Gr1B1bio1tp2efcendophytestech3	ITS1_53	GR1	B1	bio1	tp2	efc	endophytes	tech3	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1tp2efcendophytestech3
Gr1B1bio1tp2efcendophytestech4	ITS1_54	GR1	B1	bio1	tp2	efc	endophytes	tech4	fungi	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1tp2efcendophytestech4
Gr1B1bio1tp2bbendophytestech1	ITS1_55	GR1	B1	bio1	tp2	bb	endophytes	tech1	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1tp2bbendophytestech1
Gr1B1bio1tp2bbendophytestech2	ITS1_56	GR1	B1	bio1	tp2	bb	endophytes	tech2	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1tp2bbendophytestech2
Gr1B1bio1tp2bbendophytestech3	ITS1_57	GR1	B1	bio1	tp2	bb	endophytes	tech3	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1tp2bbendophytestech3
Gr1B1bio1tp2bbendophytestech4	ITS1_58	GR1	B1	bio1	tp2	bb	endophytes	tech4	fungi	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1tp2bbendophytestech4
Gr1B1bio1tp2cyp79endophytestech1	ITS1_59	GR1	B1	bio1	tp2	cyp79	endophytes	tech1	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1tp2cyp79endophytestech1
Gr1B1bio1tp2cyp79endophytestech2	ITS1_60	GR1	B1	bio1	tp2	cyp79	endophytes	tech2	fungi	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1tp2cyp79endophytestech2
