barcode_name	location	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio1tp2WTendophytestech4	B5_42	greenhouse	Gr1	B1	bio1	tp2	WT	endophytes	tech4	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio1	Gr1B1bio1t2WTendophytestech4
Gr1B1bio1tp2wrkyendophytestech1	B5_47	greenhouse	Gr1	B1	bio1	tp2	wrky3340	endophytes	tech1	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1t2wrkyendophytestech1
Gr1B1bio1tp2wrkyendophytestech2	B5_48	greenhouse	Gr1	B1	bio1	tp2	wrky3340	endophytes	tech2	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1t2wrkyendophytestech2
Gr1B1bio1tp2wrkyendophytestech3	B5_49	greenhouse	Gr1	B1	bio1	tp2	wrky3340	endophytes	tech3	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1t2wrkyendophytestech3
Gr1B1bio1tp2wrkyendophytestech4	B5_50	greenhouse	Gr1	B1	bio1	tp2	wrky3340	endophytes	tech4	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio1	Gr1B1bio1t2wrkyendophytestech4
Gr1B1bio1tp2efcendophytestech1	B5_51	greenhouse	Gr1	B1	bio1	tp2	efc	endophytes	tech1	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1t2efcendophytestech1
Gr1B1bio1tp2efcendophytestech2	B5_52	greenhouse	Gr1	B1	bio1	tp2	efc	endophytes	tech2	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1t2efcendophytestech2
Gr1B1bio1tp2efcendophytestech3	B5_53	greenhouse	Gr1	B1	bio1	tp2	efc	endophytes	tech3	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1t2efcendophytestech3
Gr1B1bio1tp2efcendophytestech4	B5_54	greenhouse	Gr1	B1	bio1	tp2	efc	endophytes	tech4	bacteria	efc_endophytes	efc_tp2	endophytes_tp2	efc_endophytes_tp2	B1_bio1	Gr1B1bio1t2efcendophytestech4
Gr1B1bio1tp2bbendophytestech1	B5_55	greenhouse	Gr1	B1	bio1	tp2	bb	endophytes	tech1	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1t2bbendophytestech1
Gr1B1bio1tp2bbendophytestech2	B5_56	greenhouse	Gr1	B1	bio1	tp2	bb	endophytes	tech2	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1t2bbendophytestech2
Gr1B1bio1tp2bbendophytestech3	B5_57	greenhouse	Gr1	B1	bio1	tp2	bb	endophytes	tech3	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1t2bbendophytestech3
Gr1B1bio1tp2bbendophytestech4	B5_58	greenhouse	Gr1	B1	bio1	tp2	bb	endophytes	tech4	bacteria	bb_endophytes	bb_tp2	endophytes_tp2	bb_endophytes_tp2	B1_bio1	Gr1B1bio1t2bbendophytestech4
Gr1B1bio1tp2cyp79endophytestech1	B5_59	greenhouse	Gr1	B1	bio1	tp2	cyp79	endophytes	tech1	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1t2cyp79endophytestech1
Gr1B1bio1tp2cyp79endophytestech2	B5_60	greenhouse	Gr1	B1	bio1	tp2	cyp79	endophytes	tech2	bacteria	cyp79_endophytes	cyp79_tp2	endophytes_tp2	cyp79_endophytes_tp2	B1_bio1	Gr1B1bio1t2cyp79endophytestech2
