barcode_name	location	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
GR4B2bio1tp1bbcendophytestech3bacteria	B5_19	greenhouse	GR4	B2	bio1	tp1	bbc	endophytes	tech3	bacteria	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio1	GR4B2bio1tp1bbcendophytestech3bacteria
GR4B2bio1tp1bbcendophytestech4bacteria	B5_20	greenhouse	GR4	B2	bio1	tp1	bbc	endophytes	tech4	bacteria	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio1	GR4B2bio1tp1bbcendophytestech4bacteria
GR4B2bio1tp1apex1endophytestech1bacteria	B5_21	greenhouse	GR4	B2	bio1	tp1	apex1	endophytes	tech1	bacteria	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex1endophytestech1bacteria
GR4B2bio1tp1apex1endophytestech2bacteria	B5_22	greenhouse	GR4	B2	bio1	tp1	apex1	endophytes	tech2	bacteria	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex1endophytestech2bacteria
GR4B2bio1tp1apex1endophytestech3bacteria	B5_23	greenhouse	GR4	B2	bio1	tp1	apex1	endophytes	tech3	bacteria	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex1endophytestech3bacteria
GR4B2bio1tp1apex1endophytestech4bacteria	B5_24	greenhouse	GR4	B2	bio1	tp1	apex1	endophytes	tech4	bacteria	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex1endophytestech4bacteria
GR4B2bio1tp1apex2endophytestech1bacteria	B5_25	greenhouse	GR4	B2	bio1	tp1	apex2	endophytes	tech1	bacteria	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex2endophytestech1bacteria
GR4B2bio1tp1apex2endophytestech2bacteria	B5_26	greenhouse	GR4	B2	bio1	tp1	apex2	endophytes	tech2	bacteria	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex2endophytestech2bacteria
GR4B2bio1tp1apex2endophytestech3bacteria	B5_27	greenhouse	GR4	B2	bio1	tp1	apex2	endophytes	tech3	bacteria	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex2endophytestech3bacteria
GR4B2bio1tp1apex2endophytestech4bacteria	B5_28	greenhouse	GR4	B2	bio1	tp1	apex2	endophytes	tech4	bacteria	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex2endophytestech4bacteria
GR4B2bio1tp1apex3endophytestech1bacteria	B5_29	greenhouse	GR4	B2	bio1	tp1	apex3	endophytes	tech1	bacteria	apex3_endophytes	apex3_tp1	endophytes_tp1	apex3_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex3endophytestech1bacteria
GR4B2bio1tp1apex3endophytestech2bacteria	B5_30	greenhouse	GR4	B2	bio1	tp1	apex3	endophytes	tech2	bacteria	apex3_endophytes	apex3_tp1	endophytes_tp1	apex3_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex3endophytestech2bacteria
GR4B2bio1tp1apex3endophytestech3bacteria	B5_31	greenhouse	GR4	B2	bio1	tp1	apex3	endophytes	tech3	bacteria	apex3_endophytes	apex3_tp1	endophytes_tp1	apex3_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex3endophytestech3bacteria
GR4B2bio1tp1apex3endophytestech4bacteria	B5_32	greenhouse	GR4	B2	bio1	tp1	apex3	endophytes	tech4	bacteria	apex3_endophytes	apex3_tp1	endophytes_tp1	apex3_endophytes_tp1	B2_bio1	GR4B2bio1tp1apex3endophytestech4bacteria
GR4B2bio1tp1bri301endophytestech1bacteria	B5_33	greenhouse	GR4	B2	bio1	tp1	bri301	endophytes	tech1	bacteria	bri301_endophytes	bri301_tp1	endophytes_tp1	bri301_endophytes_tp1	B2_bio1	GR4B2bio1tp1bri301endophytestech1bacteria
GR4B2bio1tp1bri301endophytestech2bacteria	B5_34	greenhouse	GR4	B2	bio1	tp1	bri301	endophytes	tech2	bacteria	bri301_endophytes	bri301_tp1	endophytes_tp1	bri301_endophytes_tp1	B2_bio1	GR4B2bio1tp1bri301endophytestech2bacteria
GR4B2bio1tp1bri301endophytestech3bacteria	B5_35	greenhouse	GR4	B2	bio1	tp1	bri301	endophytes	tech3	bacteria	bri301_endophytes	bri301_tp1	endophytes_tp1	bri301_endophytes_tp1	B2_bio1	GR4B2bio1tp1bri301endophytestech3bacteria
GR4B2bio1tp1bri301endophytestech4bacteria	B5_36	greenhouse	GR4	B2	bio1	tp1	bri301	endophytes	tech4	bacteria	bri301_endophytes	bri301_tp1	endophytes_tp1	bri301_endophytes_tp1	B2_bio1	GR4B2bio1tp1bri301endophytestech4bacteria
GR4B2bio1tp135SBRIendophytestech1bacteria	B5_37	greenhouse	GR4	B2	bio1	tp1	35SBRI	endophytes	tech1	bacteria	35SBRI_endophytes	35SBRI_tp1	endophytes_tp1	35SBRI_endophytes_tp1	B2_bio1	GR4B2bio1tp135SBRIendophytestech1bacteria
GR4B2bio1tp135SBRIendophytestech2bacteria	B5_38	greenhouse	GR4	B2	bio1	tp1	35SBRI	endophytes	tech2	bacteria	35SBRI_endophytes	35SBRI_tp1	endophytes_tp1	35SBRI_endophytes_tp1	B2_bio1	GR4B2bio1tp135SBRIendophytestech2bacteria
GR4B2bio1tp135SBRIendophytestech3bacteria	B5_39	greenhouse	GR4	B2	bio1	tp1	35SBRI	endophytes	tech3	bacteria	35SBRI_endophytes	35SBRI_tp1	endophytes_tp1	35SBRI_endophytes_tp1	B2_bio1	GR4B2bio1tp135SBRIendophytestech3bacteria
GR4B2bio1tp135SBRIendophytestech4bacteria	B5_40	greenhouse	GR4	B2	bio1	tp1	35SBRI	endophytes	tech4	bacteria	35SBRI_endophytes	35SBRI_tp1	endophytes_tp1	35SBRI_endophytes_tp1	B2_bio1	GR4B2bio1tp135SBRIendophytestech4bacteria
GR4B2bio2tp1WT_newendophytestech1bacteria	B5_49	greenhouse	GR4	B2	bio2	tp1	WT_new	endophytes	tech1	bacteria	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio2	GR4B2bio2tp1WT_newendophytestech1bacteria
GR4B2bio2tp1WT_newendophytestech2bacteria	B5_50	greenhouse	GR4	B2	bio2	tp1	WT_new	endophytes	tech2	bacteria	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio2	GR4B2bio2tp1WT_newendophytestech2bacteria
GR4B2bio2tp1WT_newendophytestech3bacteria	B5_51	greenhouse	GR4	B2	bio2	tp1	WT_new	endophytes	tech3	bacteria	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio2	GR4B2bio2tp1WT_newendophytestech3bacteria
GR4B2bio2tp1WT_newendophytestech4bacteria	B5_52	greenhouse	GR4	B2	bio2	tp1	WT_new	endophytes	tech4	bacteria	WT_new_endophytes	WT_new_tp1	endophytes_tp1	WT_new_endophytes_tp1	B2_bio2	GR4B2bio2tp1WT_newendophytestech4bacteria
GR4B2bio2tp1wrky33endophytestech1bacteria	B5_53	greenhouse	GR4	B2	bio2	tp1	wrky33	endophytes	tech1	bacteria	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio2	GR4B2bio2tp1wrky33endophytestech1bacteria
GR4B2bio2tp1wrky33endophytestech2bacteria	B5_54	greenhouse	GR4	B2	bio2	tp1	wrky33	endophytes	tech2	bacteria	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio2	GR4B2bio2tp1wrky33endophytestech2bacteria
GR4B2bio2tp1wrky33endophytestech3bacteria	B5_55	greenhouse	GR4	B2	bio2	tp1	wrky33	endophytes	tech3	bacteria	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio2	GR4B2bio2tp1wrky33endophytestech3bacteria
GR4B2bio2tp1wrky33endophytestech4bacteria	B5_56	greenhouse	GR4	B2	bio2	tp1	wrky33	endophytes	tech4	bacteria	wrky33_endophytes	wrky33_tp1	endophytes_tp1	wrky33_endophytes_tp1	B2_bio2	GR4B2bio2tp1wrky33endophytestech4bacteria
GR4B2bio2tp1wrky40endophytestech1bacteria	B5_57	greenhouse	GR4	B2	bio2	tp1	wrky40	endophytes	tech1	bacteria	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio2	GR4B2bio2tp1wrky40endophytestech1bacteria
GR4B2bio2tp1wrky40endophytestech2bacteria	B5_58	greenhouse	GR4	B2	bio2	tp1	wrky40	endophytes	tech2	bacteria	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio2	GR4B2bio2tp1wrky40endophytestech2bacteria
GR4B2bio2tp1wrky40endophytestech3bacteria	B5_59	greenhouse	GR4	B2	bio2	tp1	wrky40	endophytes	tech3	bacteria	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio2	GR4B2bio2tp1wrky40endophytestech3bacteria
GR4B2bio2tp1wrky40endophytestech4bacteria	B5_60	greenhouse	GR4	B2	bio2	tp1	wrky40	endophytes	tech4	bacteria	wrky40_endophytes	wrky40_tp1	endophytes_tp1	wrky40_endophytes_tp1	B2_bio2	GR4B2bio2tp1wrky40endophytestech4bacteria
GR4B2bio2tp1lyk5endophytestech1bacteria	B5_61	greenhouse	GR4	B2	bio2	tp1	lyk5	endophytes	tech1	bacteria	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio2	GR4B2bio2tp1lyk5endophytestech1bacteria
GR4B2bio2tp1lyk5endophytestech2bacteria	B5_62	greenhouse	GR4	B2	bio2	tp1	lyk5	endophytes	tech2	bacteria	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio2	GR4B2bio2tp1lyk5endophytestech2bacteria
GR4B2bio2tp1lyk5endophytestech3bacteria	B5_63	greenhouse	GR4	B2	bio2	tp1	lyk5	endophytes	tech3	bacteria	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio2	GR4B2bio2tp1lyk5endophytestech3bacteria
GR4B2bio2tp1lyk5endophytestech4bacteria	B5_64	greenhouse	GR4	B2	bio2	tp1	lyk5	endophytes	tech4	bacteria	lyk5_endophytes	lyk5_tp1	endophytes_tp1	lyk5_endophytes_tp1	B2_bio2	GR4B2bio2tp1lyk5endophytestech4bacteria
GR4B2bio2tp1bbcendophytestech1bacteria	B5_65	greenhouse	GR4	B2	bio2	tp1	bbc	endophytes	tech1	bacteria	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio2	GR4B2bio2tp1bbcendophytestech1bacteria
GR4B2bio2tp1bbcendophytestech2bacteria	B5_66	greenhouse	GR4	B2	bio2	tp1	bbc	endophytes	tech2	bacteria	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio2	GR4B2bio2tp1bbcendophytestech2bacteria
GR4B2bio2tp1bbcendophytestech3bacteria	B5_67	greenhouse	GR4	B2	bio2	tp1	bbc	endophytes	tech3	bacteria	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio2	GR4B2bio2tp1bbcendophytestech3bacteria
GR4B2bio2tp1bbcendophytestech4bacteria	B5_68	greenhouse	GR4	B2	bio2	tp1	bbc	endophytes	tech4	bacteria	bbc_endophytes	bbc_tp1	endophytes_tp1	bbc_endophytes_tp1	B2_bio2	GR4B2bio2tp1bbcendophytestech4bacteria
GR4B2bio2tp1apex1endophytestech1bacteria	B5_69	greenhouse	GR4	B2	bio2	tp1	apex1	endophytes	tech1	bacteria	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex1endophytestech1bacteria
GR4B2bio2tp1apex1endophytestech2bacteria	B5_70	greenhouse	GR4	B2	bio2	tp1	apex1	endophytes	tech2	bacteria	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex1endophytestech2bacteria
GR4B2bio2tp1apex1endophytestech3bacteria	B5_71	greenhouse	GR4	B2	bio2	tp1	apex1	endophytes	tech3	bacteria	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex1endophytestech3bacteria
GR4B2bio2tp1apex1endophytestech4bacteria	B5_72	greenhouse	GR4	B2	bio2	tp1	apex1	endophytes	tech4	bacteria	apex1_endophytes	apex1_tp1	endophytes_tp1	apex1_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex1endophytestech4bacteria
GR4B2bio2tp1apex2endophytestech1bacteria	B5_73	greenhouse	GR4	B2	bio2	tp1	apex2	endophytes	tech1	bacteria	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex2endophytestech1bacteria
GR4B2bio2tp1apex2endophytestech2bacteria	B5_74	greenhouse	GR4	B2	bio2	tp1	apex2	endophytes	tech2	bacteria	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex2endophytestech2bacteria
GR4B2bio2tp1apex2endophytestech3bacteria	B5_75	greenhouse	GR4	B2	bio2	tp1	apex2	endophytes	tech3	bacteria	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex2endophytestech3bacteria
GR4B2bio2tp1apex2endophytestech4bacteria	B5_76	greenhouse	GR4	B2	bio2	tp1	apex2	endophytes	tech4	bacteria	apex2_endophytes	apex2_tp1	endophytes_tp1	apex2_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex2endophytestech4bacteria
GR4B2bio2tp1apex3endophytestech1bacteria	B5_77	greenhouse	GR4	B2	bio2	tp1	apex3	endophytes	tech1	bacteria	apex3_endophytes	apex3_tp1	endophytes_tp1	apex3_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex3endophytestech1bacteria
GR4B2bio2tp1apex3endophytestech2bacteria	B5_78	greenhouse	GR4	B2	bio2	tp1	apex3	endophytes	tech2	bacteria	apex3_endophytes	apex3_tp1	endophytes_tp1	apex3_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex3endophytestech2bacteria
GR4B2bio2tp1apex3endophytestech3bacteria	B5_79	greenhouse	GR4	B2	bio2	tp1	apex3	endophytes	tech3	bacteria	apex3_endophytes	apex3_tp1	endophytes_tp1	apex3_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex3endophytestech3bacteria
GR4B2bio2tp1apex3endophytestech4bacteria	B5_80	greenhouse	GR4	B2	bio2	tp1	apex3	endophytes	tech4	bacteria	apex3_endophytes	apex3_tp1	endophytes_tp1	apex3_endophytes_tp1	B2_bio2	GR4B2bio2tp1apex3endophytestech4bacteria
GR4B2bio2tp1bri301endophytestech1bacteria	B5_81	greenhouse	GR4	B2	bio2	tp1	bri301	endophytes	tech1	bacteria	bri301_endophytes	bri301_tp1	endophytes_tp1	bri301_endophytes_tp1	B2_bio2	GR4B2bio2tp1bri301endophytestech1bacteria
GR4B2bio2tp1bri301endophytestech2bacteria	B5_82	greenhouse	GR4	B2	bio2	tp1	bri301	endophytes	tech2	bacteria	bri301_endophytes	bri301_tp1	endophytes_tp1	bri301_endophytes_tp1	B2_bio2	GR4B2bio2tp1bri301endophytestech2bacteria
GR4B2bio2tp1bri301endophytestech3bacteria	B5_83	greenhouse	GR4	B2	bio2	tp1	bri301	endophytes	tech3	bacteria	bri301_endophytes	bri301_tp1	endophytes_tp1	bri301_endophytes_tp1	B2_bio2	GR4B2bio2tp1bri301endophytestech3bacteria
GR4B2bio2tp1bri301endophytestech4bacteria	B5_84	greenhouse	GR4	B2	bio2	tp1	bri301	endophytes	tech4	bacteria	bri301_endophytes	bri301_tp1	endophytes_tp1	bri301_endophytes_tp1	B2_bio2	GR4B2bio2tp1bri301endophytestech4bacteria
GR4B2bio2tp135SBRIendophytestech1bacteria	B5_85	greenhouse	GR4	B2	bio2	tp1	35SBRI	endophytes	tech1	bacteria	35SBRI_endophytes	35SBRI_tp1	endophytes_tp1	35SBRI_endophytes_tp1	B2_bio2	GR4B2bio2tp135SBRIendophytestech1bacteria
GR4B2bio2tp135SBRIendophytestech2bacteria	B5_86	greenhouse	GR4	B2	bio2	tp1	35SBRI	endophytes	tech2	bacteria	35SBRI_endophytes	35SBRI_tp1	endophytes_tp1	35SBRI_endophytes_tp1	B2_bio2	GR4B2bio2tp135SBRIendophytestech2bacteria
GR4B2bio2tp135SBRIendophytestech3bacteria	B5_87	greenhouse	GR4	B2	bio2	tp1	35SBRI	endophytes	tech3	bacteria	35SBRI_endophytes	35SBRI_tp1	endophytes_tp1	35SBRI_endophytes_tp1	B2_bio2	GR4B2bio2tp135SBRIendophytestech3bacteria
GR4B2bio2tp135SBRIendophytestech4bacteria	B5_88	greenhouse	GR4	B2	bio2	tp1	35SBRI	endophytes	tech4	bacteria	35SBRI_endophytes	35SBRI_tp1	endophytes_tp1	35SBRI_endophytes_tp1	B2_bio2	GR4B2bio2tp135SBRIendophytestech4bacteria
GR5B2bio1tp2WT_newendophytestech1bacteria	B5_1	greenhouse	GR5	B2	bio1	tp2	WT_new	endophytes	tech1	bacteria	WT_new_endophytes	WT_new_tp2	endophytes_tp2	WT_new_endophytes_tp2	B2_bio1	GR5B2bio1tp2WT_newendophytestech1bacteria
GR5B2bio1tp2WT_newendophytestech2bacteria	B5_2	greenhouse	GR5	B2	bio1	tp2	WT_new	endophytes	tech2	bacteria	WT_new_endophytes	WT_new_tp2	endophytes_tp2	WT_new_endophytes_tp2	B2_bio1	GR5B2bio1tp2WT_newendophytestech2bacteria
GR5B2bio1tp2WT_newendophytestech3bacteria	B5_3	greenhouse	GR5	B2	bio1	tp2	WT_new	endophytes	tech3	bacteria	WT_new_endophytes	WT_new_tp2	endophytes_tp2	WT_new_endophytes_tp2	B2_bio1	GR5B2bio1tp2WT_newendophytestech3bacteria
GR5B2bio1tp2WT_newendophytestech4bacteria	B5_4	greenhouse	GR5	B2	bio1	tp2	WT_new	endophytes	tech4	bacteria	WT_new_endophytes	WT_new_tp2	endophytes_tp2	WT_new_endophytes_tp2	B2_bio1	GR5B2bio1tp2WT_newendophytestech4bacteria
GR5B2bio1tp2wrky33endophytestech1bacteria	B5_5	greenhouse	GR5	B2	bio1	tp2	wrky33	endophytes	tech1	bacteria	wrky33_endophytes	wrky33_tp2	endophytes_tp2	wrky33_endophytes_tp2	B2_bio1	GR5B2bio1tp2wrky33endophytestech1bacteria
GR5B2bio1tp2wrky33endophytestech2bacteria	B5_6	greenhouse	GR5	B2	bio1	tp2	wrky33	endophytes	tech2	bacteria	wrky33_endophytes	wrky33_tp2	endophytes_tp2	wrky33_endophytes_tp2	B2_bio1	GR5B2bio1tp2wrky33endophytestech2bacteria
GR5B2bio1tp2wrky33endophytestech3bacteria	B5_7	greenhouse	GR5	B2	bio1	tp2	wrky33	endophytes	tech3	bacteria	wrky33_endophytes	wrky33_tp2	endophytes_tp2	wrky33_endophytes_tp2	B2_bio1	GR5B2bio1tp2wrky33endophytestech3bacteria
GR5B2bio1tp2wrky33endophytestech4bacteria	B5_8	greenhouse	GR5	B2	bio1	tp2	wrky33	endophytes	tech4	bacteria	wrky33_endophytes	wrky33_tp2	endophytes_tp2	wrky33_endophytes_tp2	B2_bio1	GR5B2bio1tp2wrky33endophytestech4bacteria
GR5B2bio1tp2wrky40endophytestech1bacteria	B5_9	greenhouse	GR5	B2	bio1	tp2	wrky40	endophytes	tech1	bacteria	wrky40_endophytes	wrky40_tp2	endophytes_tp2	wrky40_endophytes_tp2	B2_bio1	GR5B2bio1tp2wrky40endophytestech1bacteria
GR5B2bio1tp2wrky40endophytestech2bacteria	B5_10	greenhouse	GR5	B2	bio1	tp2	wrky40	endophytes	tech2	bacteria	wrky40_endophytes	wrky40_tp2	endophytes_tp2	wrky40_endophytes_tp2	B2_bio1	GR5B2bio1tp2wrky40endophytestech2bacteria
GR5B2bio1tp2wrky40endophytestech3bacteria	B5_11	greenhouse	GR5	B2	bio1	tp2	wrky40	endophytes	tech3	bacteria	wrky40_endophytes	wrky40_tp2	endophytes_tp2	wrky40_endophytes_tp2	B2_bio1	GR5B2bio1tp2wrky40endophytestech3bacteria
GR5B2bio1tp2wrky40endophytestech4bacteria	B5_12	greenhouse	GR5	B2	bio1	tp2	wrky40	endophytes	tech4	bacteria	wrky40_endophytes	wrky40_tp2	endophytes_tp2	wrky40_endophytes_tp2	B2_bio1	GR5B2bio1tp2wrky40endophytestech4bacteria
GR5B2bio1tp2lyk5endophytestech1bacteria	B5_13	greenhouse	GR5	B2	bio1	tp2	lyk5	endophytes	tech1	bacteria	lyk5_endophytes	lyk5_tp2	endophytes_tp2	lyk5_endophytes_tp2	B2_bio1	GR5B2bio1tp2lyk5endophytestech1bacteria
GR5B2bio1tp2lyk5endophytestech2bacteria	B5_14	greenhouse	GR5	B2	bio1	tp2	lyk5	endophytes	tech2	bacteria	lyk5_endophytes	lyk5_tp2	endophytes_tp2	lyk5_endophytes_tp2	B2_bio1	GR5B2bio1tp2lyk5endophytestech2bacteria
GR5B2bio1tp2lyk5endophytestech3bacteria	B5_15	greenhouse	GR5	B2	bio1	tp2	lyk5	endophytes	tech3	bacteria	lyk5_endophytes	lyk5_tp2	endophytes_tp2	lyk5_endophytes_tp2	B2_bio1	GR5B2bio1tp2lyk5endophytestech3bacteria
GR5B2bio1tp2lyk5endophytestech4bacteria	B5_16	greenhouse	GR5	B2	bio1	tp2	lyk5	endophytes	tech4	bacteria	lyk5_endophytes	lyk5_tp2	endophytes_tp2	lyk5_endophytes_tp2	B2_bio1	GR5B2bio1tp2lyk5endophytestech4bacteria
GR5B2bio1tp2bbcendophytestech1bacteria	B5_17	greenhouse	GR5	B2	bio1	tp2	bbc	endophytes	tech1	bacteria	bbc_endophytes	bbc_tp2	endophytes_tp2	bbc_endophytes_tp2	B2_bio1	GR5B2bio1tp2bbcendophytestech1bacteria
GR5B2bio1tp2bbcendophytestech2bacteria	B5_18	greenhouse	GR5	B2	bio1	tp2	bbc	endophytes	tech2	bacteria	bbc_endophytes	bbc_tp2	endophytes_tp2	bbc_endophytes_tp2	B2_bio1	GR5B2bio1tp2bbcendophytestech2bacteria
GR5B2bio1tp2bbcendophytestech3bacteria	B5_19	greenhouse	GR5	B2	bio1	tp2	bbc	endophytes	tech3	bacteria	bbc_endophytes	bbc_tp2	endophytes_tp2	bbc_endophytes_tp2	B2_bio1	GR5B2bio1tp2bbcendophytestech3bacteria
GR5B2bio1tp2bbcendophytestech4bacteria	B5_20	greenhouse	GR5	B2	bio1	tp2	bbc	endophytes	tech4	bacteria	bbc_endophytes	bbc_tp2	endophytes_tp2	bbc_endophytes_tp2	B2_bio1	GR5B2bio1tp2bbcendophytestech4bacteria
GR5B2bio1tp2apex1endophytestech1bacteria	B5_21	greenhouse	GR5	B2	bio1	tp2	apex1	endophytes	tech1	bacteria	apex1_endophytes	apex1_tp2	endophytes_tp2	apex1_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex1endophytestech1bacteria
GR5B2bio1tp2apex1endophytestech2bacteria	B5_22	greenhouse	GR5	B2	bio1	tp2	apex1	endophytes	tech2	bacteria	apex1_endophytes	apex1_tp2	endophytes_tp2	apex1_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex1endophytestech2bacteria
GR5B2bio1tp2apex1endophytestech3bacteria	B5_23	greenhouse	GR5	B2	bio1	tp2	apex1	endophytes	tech3	bacteria	apex1_endophytes	apex1_tp2	endophytes_tp2	apex1_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex1endophytestech3bacteria
GR5B2bio1tp2apex1endophytestech4bacteria	B5_24	greenhouse	GR5	B2	bio1	tp2	apex1	endophytes	tech4	bacteria	apex1_endophytes	apex1_tp2	endophytes_tp2	apex1_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex1endophytestech4bacteria
GR5B2bio1tp2apex2endophytestech1bacteria	B5_25	greenhouse	GR5	B2	bio1	tp2	apex2	endophytes	tech1	bacteria	apex2_endophytes	apex2_tp2	endophytes_tp2	apex2_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex2endophytestech1bacteria
GR5B2bio1tp2apex2endophytestech2bacteria	B5_26	greenhouse	GR5	B2	bio1	tp2	apex2	endophytes	tech2	bacteria	apex2_endophytes	apex2_tp2	endophytes_tp2	apex2_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex2endophytestech2bacteria
GR5B2bio1tp2apex2endophytestech3bacteria	B5_27	greenhouse	GR5	B2	bio1	tp2	apex2	endophytes	tech3	bacteria	apex2_endophytes	apex2_tp2	endophytes_tp2	apex2_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex2endophytestech3bacteria
GR5B2bio1tp2apex2endophytestech4bacteria	B5_28	greenhouse	GR5	B2	bio1	tp2	apex2	endophytes	tech4	bacteria	apex2_endophytes	apex2_tp2	endophytes_tp2	apex2_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex2endophytestech4bacteria
GR5B2bio1tp2apex3endophytestech1bacteria	B5_29	greenhouse	GR5	B2	bio1	tp2	apex3	endophytes	tech1	bacteria	apex3_endophytes	apex3_tp2	endophytes_tp2	apex3_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex3endophytestech1bacteria
GR5B2bio1tp2apex3endophytestech2bacteria	B5_30	greenhouse	GR5	B2	bio1	tp2	apex3	endophytes	tech2	bacteria	apex3_endophytes	apex3_tp2	endophytes_tp2	apex3_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex3endophytestech2bacteria
GR5B2bio1tp2apex3endophytestech3bacteria	B5_31	greenhouse	GR5	B2	bio1	tp2	apex3	endophytes	tech3	bacteria	apex3_endophytes	apex3_tp2	endophytes_tp2	apex3_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex3endophytestech3bacteria
GR5B2bio1tp2apex3endophytestech4bacteria	B5_32	greenhouse	GR5	B2	bio1	tp2	apex3	endophytes	tech4	bacteria	apex3_endophytes	apex3_tp2	endophytes_tp2	apex3_endophytes_tp2	B2_bio1	GR5B2bio1tp2apex3endophytestech4bacteria
GR5B2bio1tp2bri301endophytestech1bacteria	B5_33	greenhouse	GR5	B2	bio1	tp2	bri301	endophytes	tech1	bacteria	bri301_endophytes	bri301_tp2	endophytes_tp2	bri301_endophytes_tp2	B2_bio1	GR5B2bio1tp2bri301endophytestech1bacteria
GR5B2bio1tp2bri301endophytestech2bacteria	B5_34	greenhouse	GR5	B2	bio1	tp2	bri301	endophytes	tech2	bacteria	bri301_endophytes	bri301_tp2	endophytes_tp2	bri301_endophytes_tp2	B2_bio1	GR5B2bio1tp2bri301endophytestech2bacteria
GR5B2bio1tp2bri301endophytestech3bacteria	B5_35	greenhouse	GR5	B2	bio1	tp2	bri301	endophytes	tech3	bacteria	bri301_endophytes	bri301_tp2	endophytes_tp2	bri301_endophytes_tp2	B2_bio1	GR5B2bio1tp2bri301endophytestech3bacteria
